step,train_total_loss,h_loss,hu_loss,hv_loss,c_loss,ice_loss,gpu_vram_mib
50,0.004784705117344856,0.007339383475482464,0.002174841007217765,0.005019649863243103,0.005382107570767403,0.004007543902844191,1331.849609375
100,0.014554888010025024,0.022197570651769638,0.005827607586979866,0.02187538333237171,0.014059440232813358,0.008814438246190548,1331.849609375
150,0.0018791211768984795,0.0028710635378956795,0.0005781737272627652,0.0016400512540712953,0.0038739016745239496,0.00043241577805019915,1331.849609375
200,0.05515569448471069,0.06458989530801773,0.06657460331916809,0.0993531346321106,0.03762063384056091,0.007640192750841379,1331.849609375
250,0.42873236536979675,0.4298783838748932,0.8224533796310425,0.6672443747520447,0.1420348733663559,0.08205084502696991,1331.849609375
300,0.0018943998729810119,0.0021872385405004025,0.0005699014291167259,0.0012006574543192983,0.00401367386803031,0.001500528771430254,1331.849609375
350,0.0016067527467384934,0.0024178700987249613,0.0005682270275428891,0.001340676797553897,0.0035317973233759403,0.000175192704773508,1331.849609375
400,0.00224889419041574,0.002645464614033699,0.00016907264944165945,0.001246642554178834,0.005148635245859623,0.0020346548408269882,1331.849609375
450,0.0024141420144587755,0.0030989174265414476,0.0006380573031492531,0.001831694389693439,0.004420772194862366,0.0020812677685171366,1331.849609375
500,0.04799867421388626,0.06508525460958481,0.04640265926718712,0.07900181412696838,0.03668459132313728,0.012819044291973114,1331.849609375
550,0.0025150913279503584,0.0026867836713790894,0.00039267298416234553,0.002099907724186778,0.004778553266078234,0.002617539605125785,1331.849609375
600,0.19375114142894745,0.1811906397342682,0.41996634006500244,0.2210436463356018,0.11168839782476425,0.03486665338277817,1331.849609375
650,0.0027852312196046114,0.0036404056008905172,0.0007876099552959204,0.0029537538066506386,0.004696507938206196,0.0018478784477338195,1331.849609375
700,0.04338349029421806,0.04015280306339264,0.03846098855137825,0.051001399755477905,0.04039504751563072,0.04690719395875931,1331.849609375
750,0.5954896211624146,0.41333723068237305,0.6079638600349426,1.4909852743148804,0.40178564190864563,0.06337592005729675,1331.849609375
800,0.0008013259503059089,0.0008635820122435689,0.0002093716902891174,0.00032963286503218114,0.0015103622572496533,0.0010936809703707695,1331.849609375
850,0.0021201593335717916,0.0037201016675680876,0.0004893703735433519,0.0017586660105735064,0.0036611617542803288,0.0009714960469864309,1331.849609375
900,0.0011854971526190639,0.001553115900605917,0.0002314781304448843,0.0007819195743650198,0.003183825174346566,0.00017714654677547514,1331.849609375
950,0.009286895394325256,0.015307679772377014,0.005368685349822044,0.010540768504142761,0.012209548614919186,0.0030077931005507708,1331.849609375
1000,0.0007721722358837724,0.0011964988661929965,0.00027996141579933465,0.0003792059433180839,0.0015135434223338962,0.0004916515899822116,1331.849609375
1050,0.002370410365983844,0.0031323900911957026,0.0007901692879386246,0.0016459475737065077,0.0046618846245110035,0.0016216598451137543,1331.849609375
1100,0.0017339829355478287,0.0018880597781389952,0.0002576850529294461,0.0010042909998446703,0.002594297518953681,0.002925581531599164,1331.849609375
1150,0.07065509259700775,0.08048369735479355,0.07930498570203781,0.12161879986524582,0.05149543657898903,0.020372526720166206,1331.849609375
1200,0.020614633336663246,0.0264205913990736,0.007610917091369629,0.02763877809047699,0.019202787429094315,0.022200096398591995,1331.849609375
1250,0.00837500300258398,0.01263642217963934,0.004121189471334219,0.009893723763525486,0.0071117770858109,0.008111899718642235,1331.849609375
1300,0.0019562505185604095,0.0025829793885350227,0.0004774299741256982,0.0015637535834684968,0.004019544459879398,0.001137545914389193,1331.849609375
1350,0.0018436097307130694,0.0024767881259322166,0.0003967279626522213,0.001591003267094493,0.0036852778866887093,0.0010682512074708939,1331.849609375
1400,0.03776241093873978,0.050405919551849365,0.03856824338436127,0.048105206340551376,0.03063899651169777,0.021093685179948807,1331.849609375
1450,0.31822848320007324,0.2249591201543808,0.27847495675086975,0.6927818655967712,0.2439894825220108,0.15093696117401123,1331.849609375
1500,0.002406791318207979,0.002616979880258441,0.0005387653945945203,0.00217256648465991,0.004338180646300316,0.0023674641270190477,1331.849609375
1550,0.016464659944176674,0.024902213364839554,0.00953614804893732,0.01856192573904991,0.019947070628404617,0.009375943802297115,1331.849609375
1600,0.0006466774502769113,0.0007920514908619225,0.00022972199076320976,0.00023056738427840173,0.001346013741567731,0.0006350326002575457,1331.849609375
1650,0.0024620441254228354,0.002838035812601447,0.0005135659012012184,0.0021436919923871756,0.0044244443997740746,0.0023904824629426003,1331.849609375
1700,0.4652756154537201,0.3963076174259186,0.43197721242904663,1.2594215869903564,0.12126529216766357,0.1174064576625824,1331.849609375
1750,0.0024904434103518724,0.002654945245012641,0.0009899069555103779,0.0037970806006342173,0.0036376535426825285,0.0013726303586736321,1331.849609375
1800,0.11458825320005417,0.10604488849639893,0.21790170669555664,0.15633903443813324,0.07279273122549057,0.01986287534236908,1331.849609375
1850,0.001516022370196879,0.0016203185077756643,0.00015715598419774324,0.0008653767290525138,0.00318037043325603,0.0017568899784237146,1331.849609375
1900,0.5056438446044922,0.31627508997917175,0.31768175959587097,1.2014398574829102,0.34625914692878723,0.34656351804733276,1331.849609375
1950,0.010519679635763168,0.01717716082930565,0.00426242733374238,0.015930354595184326,0.011299245990812778,0.00392921082675457,1331.849609375
2000,0.001341541181318462,0.0015687994891777635,0.00033233658177778125,0.0010278236586600542,0.002663256134837866,0.0011154896346852183,1331.849609375
2050,0.019451994448900223,0.02663096785545349,0.013775271363556385,0.024007759988307953,0.0174899622797966,0.015356003306806087,1331.849609375
2100,0.0016016040463000536,0.001763964188285172,0.00027373500051908195,0.0017942091217264533,0.0039151506498456,0.0002609610091894865,1331.849609375
2150,0.0009244670509360731,0.0009045982733368874,0.00026393940788693726,0.0005230696988292038,0.0014332891441881657,0.0014974387595430017,1331.849609375
2200,0.005161977838724852,0.003772144205868244,0.0008704239153303206,0.0034164341632276773,0.0068609570153057575,0.010889929719269276,1331.849609375
2250,0.032369256019592285,0.04056401178240776,0.012650053016841412,0.05823075771331787,0.027563167735934258,0.022838285192847252,1331.849609375
2300,0.04177221655845642,0.05071979761123657,0.0610460601747036,0.05459534376859665,0.036155324429273605,0.006344568450003862,1331.849609375
2350,0.001120930421166122,0.0016448062378913164,0.0004274403618182987,0.0005921298288740218,0.0021868960466235876,0.0007533791940659285,1331.849609375
2400,0.0036248674150556326,0.003008820815011859,0.0005881316028535366,0.0019814218394458294,0.0051576835103333,0.0073882779106497765,1331.849609375
2450,0.0009357432718388736,0.0010888257529586554,0.00036097323754802346,0.0005628264625556767,0.002389703644439578,0.0002763873781077564,1331.849609375
2500,0.0014323069481179118,0.00196710042655468,0.0002597286074887961,0.0008681435137987137,0.0024880142882466316,0.00157854740973562,1331.849609375
2550,0.0009927910286933184,0.0013564223190769553,0.00047486816765740514,0.0007268246845342219,0.0016828456427901983,0.0007229942129924893,1331.849609375
2600,0.033188965171575546,0.04138210415840149,0.03015635535120964,0.053353581577539444,0.0335695706307888,0.007483223453164101,1331.849609375
2650,0.0006557126180268824,0.0009784313151612878,0.0001844033831730485,0.00025956821627914906,0.0015817864332348108,0.0002743736549746245,1331.849609375
2700,0.024376196786761284,0.03291064873337746,0.01798257790505886,0.03659265860915184,0.026482680812478065,0.00791240856051445,1331.849609375
2750,0.023892929777503014,0.028774529695510864,0.021174050867557526,0.030363766476511955,0.028184588998556137,0.010967721231281757,1331.849609375
2800,0.0006667991983704269,0.001015770947560668,0.00015979589079506695,0.00033320917282253504,0.001455640303902328,0.0003695795312523842,1331.849609375
2850,0.000996859627775848,0.0010077866027131677,0.0002245832874905318,0.0003316899237688631,0.0019811424426734447,0.0014390954747796059,1331.849609375
2900,0.0037368908524513245,0.00247082207351923,0.000494179839733988,0.00209954590536654,0.005902813281863928,0.007717092055827379,1331.849609375
2950,0.0011799585772678256,0.0008321119239553809,0.0001805279025575146,0.000246379611780867,0.0020843781530857086,0.0025563950184732676,1331.849609375
3000,0.0026618463452905416,0.0034525173250585794,0.0009683251264505088,0.0024457303807139397,0.006025095470249653,0.00041756214341148734,1331.849609375
3050,0.21640335023403168,0.1935991644859314,0.37988945841789246,0.2646462321281433,0.1028381809592247,0.14104366302490234,1331.849609375
3100,0.000977376359514892,0.0013893417781218886,0.0005711318226531148,0.000856219616252929,0.0018071983940899372,0.00026298995362594724,1331.849609375
