time_s,h_rmse,h_rell2,wet_iou
10,0.24825738370418549,0.7232692837715149,0.04881838458261284
20,0.578476071357727,0.8223996758460999,0.027645823289246113
30,0.7994788885116577,0.7324745059013367,0.021637695054677837
40,0.9375101327896118,0.6158260703086853,0.019843219124810674
50,1.005942940711975,0.6496118903160095,0.019157143476313622
60,1.01382315158844,0.7160245776176453,0.0191292754689224
70,1.1400387287139893,0.8187170028686523,0.01923004478442096
80,1.0948604345321655,0.8714599609375,0.019951133059173735
90,1.1326225996017456,0.9374342560768127,0.020435932866001618
100,1.1364521980285645,0.9733802676200867,0.02031735509798235
110,1.2465254068374634,0.992159903049469,0.020016213909247033
120,1.3427387475967407,1.0031025409698486,0.019201628178777255
130,1.3842504024505615,1.0128637552261353,0.018332220844855536
140,1.3100618124008179,1.0333514213562012,0.017712084332781305
150,1.388160228729248,1.0484912395477295,0.017058760548574543
160,1.3587247133255005,1.0691403150558472,0.016596444749962348
170,1.438332438468933,1.0762585401535034,0.015889789875029727
180,1.4264408349990845,1.092319369316101,0.015412395509182988
190,1.3989073038101196,1.111087441444397,0.014885287691187181
200,1.419459581375122,1.1217317581176758,0.014231160559732555
210,1.4238048791885376,1.135443925857544,0.01376713139661403
220,1.4732178449630737,1.1386394500732422,0.013356952525050137
230,1.5336354970932007,1.1382420063018799,0.013064004478447471
240,1.5762981176376343,1.141264796257019,0.012761271216078458
250,1.6037510633468628,1.1481115818023682,0.012554513262188618
260,1.6438320875167847,1.1514421701431274,0.012212771312664713
270,1.6917026042938232,1.1526038646697998,0.012080497254096696
280,1.7178908586502075,1.1589069366455078,0.011870464478003698
290,1.7271126508712769,1.169866681098938,0.01168122833231512
300,1.7359353303909302,1.1805551052093506,0.011484475473084696
310,1.7418162822723389,1.1931002140045166,0.011257066630458118
320,1.7462377548217773,1.2060531377792358,0.011084138689140292
330,1.7505966424942017,1.220217227935791,0.010941631820219785
340,1.7544629573822021,1.2347626686096191,0.010734273275260178
350,1.7560243606567383,1.2520370483398438,0.010562866030874385
