method,time_s,wet_volume_proxy_m3
reference,1000,42124040.0
FrozenGlobal,1000,23350336.0
reference,1010,42124428.0
FrozenGlobal,1010,23250084.0
reference,1020,42125532.0
FrozenGlobal,1020,23151132.0
reference,1030,42127508.0
FrozenGlobal,1030,23053708.0
reference,1040,42128844.0
FrozenGlobal,1040,22957352.0
reference,1050,42131352.0
FrozenGlobal,1050,22861822.0
reference,1060,42132516.0
FrozenGlobal,1060,22767606.0
reference,1070,42131972.0
FrozenGlobal,1070,22674648.0
reference,1080,42129948.0
FrozenGlobal,1080,22582952.0
reference,1090,42126524.0
FrozenGlobal,1090,22492218.0
reference,1100,42123312.0
FrozenGlobal,1100,22402576.0
reference,1110,42119044.0
FrozenGlobal,1110,22314428.0
reference,1120,42114336.0
FrozenGlobal,1120,22227258.0
reference,1130,42109040.0
FrozenGlobal,1130,22141298.0
reference,1140,42104628.0
FrozenGlobal,1140,22056400.0
reference,1150,42099104.0
FrozenGlobal,1150,21972574.0
reference,1160,42095756.0
FrozenGlobal,1160,21889862.0
reference,1170,42090976.0
FrozenGlobal,1170,21807924.0
reference,1180,42085328.0
FrozenGlobal,1180,21726940.0
reference,1190,42080876.0
FrozenGlobal,1190,21647012.0
reference,1200,42077608.0
FrozenGlobal,1200,21568176.0
reference,1210,42075844.0
FrozenGlobal,1210,21490478.0
reference,1220,42075760.0
FrozenGlobal,1220,21413818.0
reference,1230,42076716.0
FrozenGlobal,1230,21337890.0
reference,1240,42076652.0
FrozenGlobal,1240,21262832.0
reference,1250,42077916.0
FrozenGlobal,1250,21189364.0
reference,1260,42079824.0
FrozenGlobal,1260,21117122.0
reference,1270,42081432.0
FrozenGlobal,1270,21046276.0
reference,1280,42081360.0
FrozenGlobal,1280,20976808.0
reference,1290,42081316.0
FrozenGlobal,1290,20908416.0
reference,1300,42081872.0
FrozenGlobal,1300,20841202.0
reference,1310,42084700.0
FrozenGlobal,1310,20775256.0
reference,1320,42091240.0
FrozenGlobal,1320,20710560.0
reference,1330,42098048.0
FrozenGlobal,1330,20646588.0
reference,1340,42106852.0
FrozenGlobal,1340,20583820.0
reference,1350,42108928.0
FrozenGlobal,1350,20521788.0
reference,1360,42110472.0
FrozenGlobal,1360,20460388.0
reference,1370,42110120.0
FrozenGlobal,1370,20399784.0
reference,1380,42109292.0
FrozenGlobal,1380,20340004.0
reference,1390,42109172.0
FrozenGlobal,1390,20281222.0
reference,1400,42109172.0
FrozenGlobal,1400,20223030.0
reference,1410,42108140.0
FrozenGlobal,1410,20165838.0
reference,1420,42104968.0
FrozenGlobal,1420,20109312.0
reference,1430,42100132.0
FrozenGlobal,1430,20053560.0
reference,1440,42093496.0
FrozenGlobal,1440,19998406.0
reference,10,14988748.0
RiskTemporal_B10,10,11247680.0
reference,20,26914376.0
RiskTemporal_B10,20,20602154.0
reference,30,39035104.0
RiskTemporal_B10,30,27679632.0
reference,40,39227492.0
RiskTemporal_B10,40,27929530.0
reference,50,39354200.0
RiskTemporal_B10,50,30275364.0
reference,60,39433732.0
RiskTemporal_B10,60,32431180.0
reference,70,39546452.0
RiskTemporal_B10,70,35007780.0
reference,80,39734388.0
RiskTemporal_B10,80,35644844.0
reference,90,39914420.0
RiskTemporal_B10,90,35260820.0
reference,100,40124504.0
RiskTemporal_B10,100,34223696.0
reference,110,40155132.0
RiskTemporal_B10,110,36557040.0
reference,120,40176900.0
RiskTemporal_B10,120,38368872.0
reference,130,40304396.0
RiskTemporal_B10,130,38250528.0
reference,140,40391624.0
RiskTemporal_B10,140,39349140.0
reference,150,40464528.0
RiskTemporal_B10,150,38378276.0
