budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms,method,time_s,selected_patch_ids
0.1,19,115,115,19,0.06648237627401582,0.8379862700228834,19,0,0,0.0,8376,0.06413918263892611,7536,0.8680027643400138,368,0.002817958358539256,0.0,0.0,0.0,2.178099995944649,119.9046000110684,23.65260000806302,1.0171999892918393,RiskTemporal_B10,10,219;57;106;217;84;4;128;119;77;50;13;251;10;156;158;170;213;192;178
0.1,19,113,94,19,0.0656936542334464,0.7792268281322776,19,0,0,0.0,8323,0.06373333537533214,7922,0.9234176477444924,592,0.004533237359389238,0.0,0.0,0.0,2.32980000146199,68.5832000017399,1.5536999999312684,0.6003999878885224,RiskTemporal_B10,20,58;112;235;33;201;232;29;104;134;66;35;157;90;155;203;3;177;102;68
0.1,19,112,94,19,0.07439256916632846,0.8571428571428571,19,0,0,0.0,8570,0.06562473677359083,8068,0.8304683479155944,291,0.002228331201997075,0.0,0.0,0.0,1.941499998793006,69.2890000063926,1.6041999915614724,0.6067999929655343,RiskTemporal_B10,30,57;217;84;219;106;4;13;119;50;77;251;10;128;156;158;186;178;44;192
0.1,19,113,95,19,0.09038907734836245,0.7834187238006521,19,0,0,0.0,8859,0.06783775298450889,10671,0.9040155879362928,433,0.0033156955686073314,0.0,0.0,0.0,1.8657999899005517,69.7000000072876,2.116899995598942,0.9072000102605671,RiskTemporal_B10,40,58;61;49;112;105;235;29;201;157;20;232;177;91;103;51;171;213;134;100
0.1,19,110,93,19,0.052714199293978914,0.8239234449760765,19,0,0,0.0,8864,0.06787604046220642,6273,0.9112434631028472,317,0.0024274260860243048,0.0,0.0,0.0,1.8394000071566552,71.60019999719225,2.141200006008148,0.9150000114459544,RiskTemporal_B10,50,219;4;106;74;217;119;251;128;50;186;13;158;10;156;192;46;88;215;133
0.1,19,110,95,19,0.08901072815125086,0.7803827751196173,19,0,0,0.0,9041,0.0692314171726995,10838,0.932381280110117,775,0.005934559043119358,0.0,0.0,0.0,1.8133999983547255,71.95729999511968,1.6253000067081302,0.5895999929634854,RiskTemporal_B10,60,57;90;60;201;104;235;66;157;112;35;171;213;232;178;135;3;68;28;99
0.1,19,110,92,19,0.09271695599237313,0.8043062200956939,19,0,0,0.0,9478,0.07257774272346486,10736,0.8866864882722167,1765,0.013515479627233117,0.0,0.0,0.0,1.8580000032670796,71.93989999359474,1.6299000126309693,0.5782000080216676,RiskTemporal_B10,70,219;44;106;119;74;217;128;50;185;156;215;158;19;206;177;69;179;229;252
0.1,19,110,93,19,0.09324532318459924,0.7483253588516746,19,0,0,0.0,10456,0.08006677336110452,11459,0.9410363800607703,745,0.005704834176934092,0.0,0.0,0.0,2.6599999982863665,72.99909999710508,1.6407000075560063,0.6563000060850754,RiskTemporal_B10,80,57;76;45;218;105;157;216;171;34;112;192;66;4;36;214;71;25;135;165
0.1,19,104,90,19,0.10199018309071835,0.7677125506072875,19,0,0,0.0,11187,0.08566440260048548,11068,0.8309933178166529,1255,0.009610156902083604,0.0,0.0,0.0,1.8501000013202429,72.64640000357758,1.6436000005342066,0.6259000074351206,RiskTemporal_B10,90,28;106;119;58;217;219;61;185;156;50;88;128;52;174;176;26;206;147;213
0.1,19,100,84,19,0.11923486304569228,0.7036842105263158,19,0,0,0.0,11093,0.08494459801977165,12633,0.8113159077772782,878,0.006723281083688769,0.0,0.0,0.0,1.8257000047015026,72.6180000056047,2.1267999982228503,0.8325999951921403,RiskTemporal_B10,100,57;218;104;90;216;157;214;171;49;60;177;27;69;78;135;102;165;112;190
0.1,19,98,81,19,0.0995244695269965,0.7894736842105263,19,0,0,0.0,11115,0.08511306292164085,10715,0.824421020235439,1192,0.009127734683094546,0.0,0.0,0.0,1.7017999925883487,71.2995000067167,1.6422000044258311,0.5785999965155497,RiskTemporal_B10,110,28;106;119;74;217;235;185;156;206;50;10;158;88;41;203;128;52;161;61
0.1,19,101,84,19,0.09035844736620441,0.7592496091714435,19,0,0,0.0,11084,0.08487568055991608,8755,0.7419491525423729,1697,0.012994769930546515,0.0,0.0,0.0,1.6630000027362257,71.51559999329038,1.6487000102642924,0.5774000019300729,RiskTemporal_B10,120,57;27;104;202;251;76;157;171;49;232;200;90;112;35;135;45;4;78;177
0.1,19,100,84,19,0.07452274659050011,0.7657894736842106,19,0,0,0.0,11113,0.08509774793056184,8533,0.8767981915330867,1102,0.00843856008453875,0.0,0.0,0.0,2.339699989533983,72.67080000019632,1.728300005197525,0.626600012765266,RiskTemporal_B10,130,106;119;74;217;156;185;235;203;61;206;88;32;50;10;174;5;212;41;100
0.1,19,101,84,19,0.1123354595645948,0.7352787910369983,19,0,0,0.0,11157,0.08543467773430022,11048,0.7531015678254942,1104,0.008453875075617769,0.0,0.0,0.0,2.3782999924151227,71.9111999933375,1.7016000056173652,0.679599994327873,RiskTemporal_B10,140,57;27;90;202;104;157;171;60;49;112;233;200;78;213;178;135;165;51;20
0.1,19,100,82,19,0.1428582367850771,0.7310526315789474,19,0,0,0.0,11111,0.08508243293948281,16112,0.8636363636363636,3036,0.023248156457948862,0.0,0.0,0.0,2.308499999344349,73.69429999380372,1.6651000041747466,0.5803000094601884,RiskTemporal_B10,150,58;106;119;26;219;217;156;185;212;206;174;50;88;44;177;40;215;52;101
0.1,19,101,83,19,0.08011271833434157,0.7363210005211048,19,0,0,0.0,11405,0.08733373662809842,8174,0.781303766010323,319,0.0024427410771033224,0.0,0.0,0.0,1.7722000047797337,71.267599996645,1.5866000030655414,0.6225999968592077,RiskTemporal_B10,160,57;90;121;10;202;251;157;232;49;171;78;35;112;29;102;134;165;213;23
