scenario_id,method,budget_fraction,trajectory_h_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,false_positive_wet_fraction,mixture_volume_relative_error,debris_front_mae_km
JILONG_EI_0009,RiskTemporal_B05,0.05,1.089978942675974,2.752991572773188,0.7537486980249369,0.548666460345228,0.357102336768363,0.2347946411724008,0.5793329443452329,0.1166314216987539,11.046126954782178
JILONG_EI_0009,RiskTemporal_B10,0.1,1.1049528202825414,2.4146240118911013,0.7297173557003314,0.5441198540658111,0.3503585047860893,0.2573398880240338,0.5741325403308668,0.0889913773089921,11.241971934135533
JILONG_EI_0009,RiskTemporal_B20,0.2,2.1058544744889014,2.0218423180784626,0.7110774808921412,0.5330965772728677,0.3928573055133337,0.3518103770063456,0.4561192644423954,0.4503678556555892,13.691958352193966
JILONG_EI_0019,RiskTemporal_B05,0.05,1.079079840459361,2.839489305250909,0.7473573216159469,0.5045112389210977,0.3622411191080412,0.2386847980515526,0.5717286953623856,0.1359957428371226,11.474468320872344
JILONG_EI_0019,RiskTemporal_B10,0.1,1.0482586720324998,2.197965522518596,0.7482490055607289,0.5129452259887827,0.3631582751463205,0.2777690985783471,0.54329953420638,0.1537846747012828,11.599361752840222
JILONG_EI_0019,RiskTemporal_B20,0.2,1.5861786275075755,1.0129077419145065,0.7293754304233827,0.5195407418054412,0.3946554368041776,0.3449543211172949,0.4097914551997785,0.2195270147298578,12.589225522281838
JILONG_EI_0029,RiskTemporal_B05,0.05,1.134722563497276,3.6258762145381462,0.7668890826653534,0.5630656595717699,0.3516393717593079,0.236405529953917,0.585071159195947,0.1682190677373821,11.005986314529263
JILONG_EI_0029,RiskTemporal_B10,0.1,1.06792189095477,2.284644977419749,0.747129916651712,0.5652494693327221,0.3429876722122452,0.2503645377661125,0.5744210475558597,0.0956836084671289,11.026690523494295
JILONG_EI_0029,RiskTemporal_B20,0.2,1.5514428292452331,1.4602421915844153,0.7959283570903815,0.5639934695632518,0.3788381873941232,0.3264705882352941,0.4219290984241454,0.2057192907533402,14.203846097930327
JILONG_EI_0039,RiskTemporal_B05,0.05,1.120599870229213,3.4240176353017486,0.7584726422085744,0.5405871024550762,0.3516880729973963,0.2482700775843992,0.5821336546984056,0.1718064253711976,14.46929594307718
JILONG_EI_0039,RiskTemporal_B10,0.1,1.037595858565787,1.6918828210742054,0.7389496250159107,0.5359198002032245,0.3733350573426411,0.3082963468760669,0.524142135903971,0.1970180446514667,11.910422759786458
