method,total_selections,unique_selected_patches,unique_patch_fraction,top1_selection_share,top5_share,top10_share,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak,__change_den_c,__change_den_dz,__change_den_h,__change_den_hu,__change_den_hv,__change_den_ice,__change_num_c,__change_num_dz,__change_num_h,__change_num_hu,__change_num_hv,__change_num_ice,__new_intersection,__new_pred,__new_truth,__new_union,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio,peak_hmax_relative_error,peak_stage_absolute_error,peak_Q_relative_error,arrival_error_s,mean_selected_dynamic_rank,mean_selected_support_risk_rank,mean_selected_base_score,mean_active_coverage
DynamicOnly_B10,2736.0,105.05,0.03839546783625731,0.04908625730994152,0.23512426900584799,0.4493421052631579,0.8745248538011696,0.8538789716002849,26.088564532708926,134.3,1.665060609427448,21.272385044949033,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,7913.108897469193,64061.80158755779,69494669.28274845,12394719121.03772,9882700581.944426,83.41523922894689,8617.1,718206.15,14417.7,724006.75,0.17865577079499265,0.1,19.0,24.371483110002735,0.46715446842004316,0.9144193101054056,1.5585252592472767,0.6113202004685034,0.5225395899269589,0.6665138900575031,0.566728704888525,3.229500246047974,12.01567029148121,0.4862540511539965,0.29287855117492867,10.173848108533988,1.3387267547323523,0.6217709160513143,0.4046774108135063,316.17179529520973,0.01194685746789867,0.012044633953432516,0.5997219777003945,19.0,1.3993090290918844,1.0315122252292332,33581.71842310984,0.7759114984776935,2.924485120195361,1.0330357095873115,2.116872058678503,1.255457934142271,0.91853343378051,21.316910807291666,0.871160177364749,441.6666666666667,0.8660349539763532,,,0.17865577079499265
EngineeringROI_B05,1440.0,86.4,0.06,0.09579861111111111,0.3224652777777778,0.5120486111111111,0.5669444444444445,0.85213811981585,16.711810549348765,137.95,3.9878758875140092,6.744825059839577,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,8724.115943553299,63549.63531639576,19219880.959999982,12795095123.612186,10107702498.238878,84.12813779222682,8461.55,976865.05,14417.7,982821.2,0.05748532153823767,0.05,10.0,19.585060095000518,0.4908334192472409,0.9100425038555168,0.8174628324659396,0.6214982868706045,0.529213531485568,0.6671801059928341,0.5751420014454364,3.955499792098999,11.697904722237798,0.560553722394291,0.2470674973366332,19.743452298871635,1.976015612767894,0.5906321357577993,0.3698167094702561,0.6639637762135511,0.008625875502651145,0.008678138081189616,0.5888374228948889,10.0,1.52500910906921,1.0978010609709068,4.781234401900963,0.7454557714734411,3.563727265058957,1.0207117482738357,2.538648699899343,1.4833473646353508,3.0352682423088964,73.04999389648438,1.5381669123622528,402.1666666666667,0.7612664237051493,0.6358754426498259,0.39621616682022526,0.057485321538237655
EngineeringROI_B10,2736.0,113.7,0.041557017543859646,0.05202850877192983,0.1960891812865497,0.3294407894736842,0.6012244152046784,0.9170187958334903,24.069683631168022,142.35,3.6974842194203377,8.813967475483663,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,8198.645685926826,62844.099169889094,20647839.631481893,13040507675.65157,9740758802.385077,83.26002675624554,8420.55,687035.8,14417.7,693032.95,0.1289875982605573,0.1,19.0,24.75577455000239,0.47555475803645353,0.9053442435945195,0.8620606702814273,0.6281242975123872,0.5188993254367233,0.6653465177205987,0.5736505789209877,4.115999841690064,11.826947587504193,0.48677117383866425,0.31224901903698077,23.631854821757635,1.7833149255000496,0.593033589602336,0.3906887285533581,0.6762753242529166,0.012388735439991186,0.01249959243593875,0.5858674738313016,19.0,1.3904129767510116,1.0574604729704238,8.396897757784565,0.7267522085952846,2.0506359530533826,0.9442301281517256,1.5219844244391978,1.1939048856988599,10.006329016359123,285.95216674804686,1.1141400226818152,400.0,0.6974814283844546,0.5791954490582736,0.3467790969191616,0.1289875982605573
EngineeringROI_B20,5328.0,127.5,0.02393018018018018,0.026783033033033032,0.12282282282282282,0.22687687687687688,0.7119181681681682,0.969097727430141,41.81298821286199,142.7,2.5324463209781944,16.978589459456835,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,8652.33521964997,61688.845477688315,32540535.230159186,13944296983.38093,11199439090.90947,84.91322339529532,8208.85,534748.75,14417.7,540957.6,0.25499509867108416,0.2,37.0,37.11496565999987,0.4888277088272449,0.8966492277881635,1.0917953594410235,0.6498085892474558,0.5604819389611314,0.6819799108552397,0.604903192618357,4.899000215530395,13.695495269034144,0.4466071762309597,0.3228075158085272,28.71574262208989,1.6926990587897865,0.5732100327498517,0.38664726300191476,1.419806672716402,0.015345467448107924,0.0155284992558432,0.571320531331796,37.0,1.3769275133614403,1.0355231551499708,11.967476800338016,0.7623676168781764,2.3291963043755386,0.9515900697249766,1.7152684738768815,1.0134027515661956,12.900338256830102,387.6565205891927,1.4108046823756744,403.1666666666667,0.6413988930407769,0.4372800094685406,0.2864871289681702,0.25499509867108416
EngineeringROI_NoDiversity_B10,2736.0,102.8,0.03757309941520468,0.051498538011695905,0.22141812865497074,0.3859831871345029,0.7010233918128655,0.9083845531389064,26.672767965629617,140.9,3.0658448889952234,13.36070735542935,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,9204.88110782355,61216.79082151353,21132900.994785544,13913661386.185017,12102044357.871038,85.02305986529989,8249.45,693737.7,14417.7,699905.95,0.11781592646336862,0.1,19.0,24.667627404999802,0.5043218678855295,0.8925659451637605,0.8544669247518193,0.6507533069396183,0.5830586153779597,0.6835455488080481,0.6164317584079754,4.250999879837036,11.96770558080559,0.4853955516933869,0.30364847477550827,16.93146525657263,1.9303330539186887,0.586993580002377,0.393812668010563,0.5189585515951515,0.012122438794327095,0.01223544494329268,0.5737768487554632,19.0,1.443349078176052,1.0767202354502774,4.7012373274781565,0.7586182440087698,2.6701088881358386,0.9451087908055559,1.9397128649502016,1.2033628028663155,3.8369687294865544,102.15281982421875,1.5021022356022866,406.33333333333337,0.7247375183790218,0.6220331583234792,0.3689961383520385,0.11781592646336862
RandomAll_B10,2736.0,182.0,0.06652046783625731,0.009265350877192982,0.042909356725146196,0.08205409356725146,0.10392909356725147,1.0,15.032967032967033,25.35,8.969283476898983,1.9222527472527475,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,7046.57889277786,68545.13784974813,16094352.901852429,10091245668.480042,9422831875.26994,96.87826003537003,10103.15,744744.25,14417.7,749058.8,0.10404906029767233,0.1,19.0,24.079363090000697,0.4411284711906288,0.9458577377327574,0.769293160242678,0.5505699734137219,0.5054241299073257,0.6791280079181004,0.5274940850884512,3.4845001697540283,12.877747936103443,0.5002491504478348,0.32929035112313987,1.1807062989641706,0.9690377917751016,0.6346155454849183,0.3915336620964543,0.18770984382174055,0.013622327731520705,0.013702613268535474,0.7025613151968976,19.0,1.4415608997274756,1.0434059100672135,0.9477692470230019,0.7201923951974518,2.565421695544015,0.9562748795885252,1.8666146910234442,1.2626779002733788,0.4049704792724157,11.960493977864584,0.6824365274412653,482.5,,,,0.10404906029767233
RandomSupport_B10,2736.0,132.3,0.048355263157894735,0.012189327485380116,0.057236842105263155,0.10994152046783626,0.15394736842105264,0.98612876906873,20.684851254030484,33.35,6.309724689987089,2.3263053142199013,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,6859.942709415482,67128.52799162865,15952297.06034049,10490963013.122198,9104421796.549765,91.2782413905364,10002.3,638040.25,14417.7,642455.65,0.14128921063132643,0.1,19.0,24.05816016999888,0.4352835831283025,0.9359898850621782,0.7655151942975921,0.5604538328731106,0.49726208764910124,0.6624212778080775,0.5283865338222072,3.3855003833770754,12.897497696058036,0.4708720650273997,0.3446754899445314,1.6716980258250707,1.0085765951906525,0.6275014059964369,0.39662122771596053,0.26819797286473274,0.015769669784192385,0.015882359079301293,0.6956112348344881,19.0,1.398562099375726,1.021111155170162,1.1255382638133749,0.7093970872745222,2.218401108563752,0.9356841598872846,1.6337430885420552,1.1477959211468658,0.6004392084842517,8.630741373697917,0.6762838739918885,474.6666666666667,,,,0.14128921063132643
SupportRiskOnly_B10,2736.0,108.95,0.039820906432748535,0.03971125730994152,0.16812865497076024,0.293640350877193,0.3997076023391813,0.9356237151691118,25.14264832154513,108.65,4.108911730147854,4.89707994002986,36147.522927754835,76462.8619884409,27178521.121506758,33108882812.658733,35874465264.32963,230.10335892480575,8476.437283777446,63462.611732599136,15448212.484446898,12702776099.921734,9799168094.924063,83.86217547545398,8566.7,891750.75,14417.7,897601.75,0.06883810374034618,0.1,19.0,24.229552979999426,0.483762576689586,0.9096596090284687,0.7533726663591069,0.6186232876490221,0.520656271346773,0.6651675868191986,0.5695419038589984,3.1515002727508543,11.204066287730054,0.5548434626847705,0.2713151646895591,0.9349228467996887,0.9395512510535704,0.6186586806679182,0.35716800582755215,0.18986385923049087,0.009573481745690286,0.009636100904624585,0.5961975321720049,19.0,1.5067354167234532,1.0760776395915579,1.177499992079342,0.7378023738944104,3.214456559446036,0.9780694886191605,2.300330892724262,1.3675539336721956,0.9293359035357197,21.481534830729167,0.8207572964460313,479.0,,0.780645252439591,,0.06883810374034618
