method,scenario_id,eligible_patch_count,total_selections,unique_selected_patches,unique_patch_fraction,unique_to_selection_ratio,top1_selection_share,top5_share,top10_share,consecutive_overlap_count,consecutive_denominator_count,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak
DynamicOnly_B10,JILONG_EI_0009,182,2736,115,0.6318681318681318,0.04203216374269006,0.04861111111111111,0.23428362573099415,0.4371345029239766,2386,2717,0.8781744571218255,0.8173913043478261,23.791304347826088,133,1.6589088134299885,19.2
DynamicOnly_B10,JILONG_EI_0019,182,2736,107,0.5879120879120879,0.039108187134502925,0.0489766081871345,0.2364766081871345,0.45796783625730997,2398,2717,0.8825910931174089,0.8504672897196262,25.570093457943926,134,1.609357170026626,21.35514018691589
DynamicOnly_B10,JILONG_EI_0029,182,2736,105,0.5769230769230769,0.03837719298245614,0.04861111111111111,0.2324561403508772,0.4440789473684211,2398,2717,0.8825910931174089,0.8952380952380953,26.057142857142857,133,1.6564044089699734,20.81904761904762
DynamicOnly_B10,JILONG_EI_0039,182,2736,99,0.5439560439560439,0.03618421052631579,0.05043859649122807,0.23903508771929824,0.45285087719298245,2439,2717,0.8976812661023187,0.898989898989899,27.636363636363637,138,1.7163443306788018,22.86868686868687
DynamicOnly_B10,JILONG_EI_0049,182,2736,106,0.5824175824175825,0.03874269005847953,0.04861111111111111,0.22880116959064328,0.42507309941520466,2351,2717,0.8652926021347074,0.8867924528301887,25.81132075471698,133,1.75893536121673,20.952830188679247
DynamicOnly_B10,JILONG_EI_0059,182,2736,108,0.5934065934065934,0.039473684210526314,0.0489766081871345,0.23757309941520469,0.45723684210526316,2412,2717,0.8877438351122562,0.8333333333333334,25.333333333333332,134,1.5331050228310503,20.99074074074074
DynamicOnly_B10,JILONG_EI_0069,182,2736,102,0.5604395604395604,0.03728070175438596,0.04861111111111111,0.2320906432748538,0.4243421052631579,2370,2717,0.8722856091277144,0.8333333333333334,26.823529411764707,133,1.7744874715261958,21.00980392156863
DynamicOnly_B10,JILONG_EI_0079,182,2736,103,0.5659340659340659,0.03764619883040936,0.05007309941520468,0.24013157894736842,0.46271929824561403,2427,2717,0.8932646301067354,0.8058252427184466,26.563106796116504,137,1.5225977971895177,22.398058252427184
DynamicOnly_B10,JILONG_EI_0089,182,2736,106,0.5824175824175825,0.03874269005847953,0.04861111111111111,0.2328216374269006,0.44334795321637427,2309,2717,0.8498343761501657,0.8301886792452831,25.81132075471698,133,1.8254752851711027,20.38679245283019
DynamicOnly_B10,JILONG_EI_0099,182,2736,99,0.5439560439560439,0.03618421052631579,0.05043859649122807,0.2361111111111111,0.45796783625730997,2406,2717,0.8855355171144644,0.8585858585858586,27.636363636363637,138,1.6355707243079256,22.818181818181817
DynamicOnly_B10,JILONG_EI_0109,182,2736,109,0.5989010989010989,0.03983918128654971,0.0489766081871345,0.2324561403508772,0.4415204678362573,2369,2717,0.8719175561280824,0.8623853211009175,25.10091743119266,134,1.817662733155691,19.69724770642202
DynamicOnly_B10,JILONG_EI_0119,182,2736,100,0.5494505494505495,0.03654970760233918,0.049707602339181284,0.23720760233918128,0.4616228070175439,2430,2717,0.8943687891056312,0.9,27.36,136,1.5459028831562973,23.39
DynamicOnly_B10,JILONG_EI_0129,182,2736,104,0.5714285714285714,0.038011695906432746,0.04861111111111111,0.2320906432748538,0.43494152046783624,2377,2717,0.874861980125138,0.7980769230769231,26.307692307692307,133,1.8563829787234043,20.682692307692307
DynamicOnly_B10,JILONG_EI_0139,182,2736,105,0.5769230769230769,0.03837719298245614,0.0489766081871345,0.23757309941520469,0.46673976608187134,2435,2717,0.8962090541037909,0.8,26.057142857142857,134,1.4348156594450778,21.666666666666668
DynamicOnly_B10,JILONG_EI_0149,182,2736,110,0.6043956043956044,0.0402046783625731,0.0489766081871345,0.23720760233918128,0.4605263157894737,2409,2717,0.8866396761133604,0.8454545454545455,24.87272727272727,134,1.584920030464585,20.990909090909092
DynamicOnly_B10,JILONG_EI_0159,182,2736,102,0.5604395604395604,0.03728070175438596,0.0489766081871345,0.23720760233918128,0.45285087719298245,2431,2717,0.8947368421052632,0.8235294117647058,26.823529411764707,134,1.5520121488230827,22.607843137254903
DynamicOnly_B10,JILONG_EI_0169,182,2736,112,0.6153846153846154,0.04093567251461988,0.04861111111111111,0.23062865497076024,0.43969298245614036,2275,2717,0.8373205741626795,0.8660714285714286,24.428571428571427,133,2.084984756097561,17.75
