method,scenario_id,eligible_patch_count,total_selections,unique_selected_patches,unique_patch_fraction,unique_to_selection_ratio,top1_selection_share,top5_share,top10_share,consecutive_overlap_count,consecutive_denominator_count,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak,__change_den_c,__change_den_dz,__change_den_h,__change_den_hu,__change_den_hv,__change_den_ice,__change_num_c,__change_num_dz,__change_num_h,__change_num_hu,__change_num_hv,__change_num_ice,__new_intersection,__new_pred,__new_truth,__new_union,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio,peak_hmax_relative_error,peak_stage_absolute_error,peak_Q_relative_error,arrival_error_s,mean_selected_dynamic_rank,mean_selected_support_risk_rank,mean_selected_base_score,mean_active_coverage
DynamicOnly_B10,JILONG_EI_0009,182,2736,115,0.6318681318681318,0.04203216374269006,0.04861111111111111,0.23428362573099415,0.4371345029239766,2386,2717,0.8781744571218255,0.8173913043478261,23.791304347826088,133,1.6589088134299885,19.2,40222.31467985641,72501.22977417707,34331585.49860616,43822686784.623886,44527558414.58065,256.1750057976751,8057.393643140793,61808.5248695612,65038608.46400416,14243081474.844238,13222951487.543793,88.77127222867844,9537,800996,15222,806681,0.201771125541236,0.1,19,24.71207239999785,0.4475728777874967,0.923318426533424,1.37638106746627,0.5701018875367072,0.5449413474511378,0.5886644981327622,0.5575631832267592,2.6700000762939453,13.08042269504406,0.5013165566401474,0.2795054327463469,13.019008495485744,1.6321744808563097,0.6244302989558053,0.4007240023668316,2.1270340015892835,0.0118225172032067,0.0119064264990087,0.6265273945605045,19.0,1.4368337126384805,1.052152037181537,11.801577194450203,0.7298475233163085,3.960681304129322,1.028512920065764,2.807973398643631,1.3110764245925772,0.9249445953274779,24.302571614583332,0.9130137371713959,413.3333333333333,0.8676203918587659,,,0.201771125541236
DynamicOnly_B10,JILONG_EI_0019,182,2736,107,0.5879120879120879,0.039108187134502925,0.0489766081871345,0.2364766081871345,0.45796783625730997,2398,2717,0.8825910931174089,0.8504672897196262,25.570093457943926,134,1.609357170026626,21.35514018691589,34723.52818476036,80957.28886890411,25376808.590233617,29555542556.124622,32695617830.37517,132.39841732103378,6914.9435523450375,67616.01801609993,58130185.27381214,10226857885.564968,7704921421.9507265,68.22648498998913,8913,721935,13878,726900,0.1705574720565225,0.1,19,24.237017100007503,0.446254281997291,0.9138960865065408,1.5134997432099038,0.5882360577159208,0.4854442181097529,0.7178523091762564,0.5367078741741813,4.170000076293945,12.18485937828959,0.4878106585806165,0.2883084577114428,9.520231386292329,1.1775287832280934,0.616090901293802,0.4044540007356033,135.11601560525924,0.0122616591002888,0.0123459868270689,0.6422395157803719,19.0,1.2975660402668816,1.025284058222908,13771.56628682928,0.6968891087197331,3.0207302640916054,1.0368722238518784,2.148042597401562,1.2585731111372465,0.9129124342686211,21.393758138020832,0.9005142777235328,453.3333333333333,0.861026056078098,,,0.1705574720565225
DynamicOnly_B10,JILONG_EI_0029,182,2736,105,0.5769230769230769,0.03837719298245614,0.04861111111111111,0.2324561403508772,0.4440789473684211,2398,2717,0.8825910931174089,0.8952380952380953,26.057142857142857,133,1.6564044089699734,20.81904761904762,37156.73530562222,92481.5048237443,28811680.589952502,36007318607.353355,38825466307.84117,337.49634789254924,8364.224165380001,78662.60125637054,86286302.22926712,14557693071.091356,10922650903.666891,92.04990686958295,8458,702404,14980,708926,0.1995403481948305,0.1,19,24.559004099995946,0.4744539399754379,0.9222670822634352,1.7305598881269584,0.6358444553750061,0.530402651570613,0.5222484238093913,0.5835212674916537,2.040000915527344,11.873450850202165,0.4861707103287475,0.2955271565495208,13.2909577875108,1.2754763582833404,0.6151747832840438,0.4018245477668752,306.8482580914149,0.0119307233759235,0.0120415031805058,0.5646194926568758,19.0,1.490497686271078,1.025178484478601,28278.578667438807,0.7325854658894189,3.4155682041670468,0.9877433129817076,2.448558568462787,1.2431477232007495,0.9124162723472375,21.448201497395832,0.8859994576386988,426.6666666666667,0.872159967221235,,,0.19954034819483046
DynamicOnly_B10,JILONG_EI_0039,182,2736,99,0.5439560439560439,0.03618421052631579,0.05043859649122807,0.23903508771929824,0.45285087719298245,2439,2717,0.8976812661023187,0.898989898989899,27.636363636363637,138,1.7163443306788018,22.86868686868687,31955.091040883213,76885.32242523134,20727144.440217003,24945357901.36344,27596105776.552704,365.7411123409984,7854.887152373791,64012.53864979744,175492926.65593326,11125492325.193829,8189131972.879069,95.3971276116581,7921,690891,13648,696618,0.1697159452029619,0.1,19,24.415055500008748,0.4957924916346308,0.9124536347999768,2.909779443341612,0.6678281934880131,0.5447472350274998,0.5107175224125211,0.6063062552933844,3.149999618530273,13.166014235961688,0.4923616891226373,0.3009659379766141,24.16152150267308,1.4798863092580543,0.6443085013716042,0.3997027585418464,116.38174621104372,0.0113706507727334,0.0114649054626561,0.5803780773739742,19.0,1.4996643263841836,1.0138233252595157,8691.541362254718,0.8515598358928578,3.0871425705016,0.9584604551170776,2.2381166122931706,1.2596994676669435,0.9264797723645345,18.915608723958332,0.8060849895291827,493.3333333333333,0.8581863569971679,,,0.16971594520296188
DynamicOnly_B10,JILONG_EI_0049,182,2736,106,0.5824175824175825,0.03874269005847953,0.04861111111111111,0.22880116959064328,0.42507309941520466,2351,2717,0.8652926021347074,0.8867924528301887,25.81132075471698,133,1.75893536121673,20.952830188679247,41456.80176700652,81330.60382030904,34403119.76943549,44620929967.68163,47197874190.75491,157.03875714167316,9819.421105146408,66808.44433403015,37025479.62299973,18113743609.101303,14241491972.698456,81.46010789067468,8115,681867,15879,689631,0.1838685390944926,0.1,19,24.37829639999836,0.4866817321783577,0.9063348533912374,1.0374123954435703,0.6371398947126076,0.549308760822735,0.720226448591146,0.5936171876161174,1.5,10.087133036001578,0.4744105795923824,0.2943434006340731,4.727702999312596,1.4690013045873824,0.5989293298432314,0.4029188882594659,1.036734945413493,0.0117671624390434,0.0119011478778119,0.511052333270357,19.0,1.4027571575279845,1.0350566693085856,6.732250698742676,0.7537693348363522,1.8057493464738643,1.1096515806295169,1.3799866726804515,1.1922839367811795,0.9258081054672486,22.86572265625,0.9296676136840611,373.3333333333333,0.8639818418082076,,,0.18386853909449263
DynamicOnly_B10,JILONG_EI_0059,182,2736,108,0.5934065934065934,0.039473684210526314,0.0489766081871345,0.23757309941520469,0.45723684210526316,2412,2717,0.8877438351122562,0.8333333333333334,25.333333333333332,134,1.5331050228310503,20.99074074074074,35336.20548405871,71319.21658104658,25095066.9514793,30098298892.84508,32967696484.86864,158.63836451845418,7606.281770586967,58578.334090948105,61902202.09471354,10472555744.8338,8660619493.347168,69.92076975548783,8824,699565,14334,705075,0.180547738528859,0.1,19,24.26037649999489,0.4639554160891059,0.906285906363947,1.5705756866341385,0.5898687177759424,0.5125428476481951,0.6638943741752648,0.5508024930061091,3.0,11.365141001411937,0.4834824398595216,0.2888556966226869,9.477189162042832,1.2138866702277968,0.6173469741021823,0.4044133003027211,226.11839291797003,0.0125149806758146,0.0126135527077541,0.6155992744523511,19.0,1.3670529103542537,1.0204415085932883,21882.393911994448,0.719737320090713,3.412790778657247,1.0543302263746166,2.430826036877366,1.239137017735744,0.9034402148636129,20.531697591145832,0.8834509267054144,460.0,0.871025116038822,,,0.18054773852885894
DynamicOnly_B10,JILONG_EI_0069,182,2736,102,0.5604395604395604,0.03728070175438596,0.04861111111111111,0.2320906432748538,0.4243421052631579,2370,2717,0.8722856091277144,0.8333333333333334,26.823529411764707,133,1.7744874715261958,21.00980392156863,41179.61009020358,93895.09017384052,32519565.917531945,41913293246.8365,43899213296.85787,56.4482686781848,10471.634985014796,82545.66719961166,48862004.835697,18458925037.91239,12665438522.597534,119.0092997830488,8139,642945,15482,650288,0.1754926215776312,0.1,19,24.365659900009632,0.5042734841967841,0.9376174888861032,1.225782089156114,0.663631985916813,0.5371328909112497,1.4519950534585684,0.6022474169285223,1.6499996185302734,10.424685545630387,0.4720805057404361,0.2984568727142984,6.075487297720704,1.0873102358399418,0.5965668348788259,0.3966877046895696,804.3818647558653,0.0125159929139089,0.0126589366119963,0.5257072729621496,19.0,1.3423248990056216,1.0433346051379038,86314.99494202006,1.132936782196639,2.4824667866499666,1.3502574014914728,1.9213000113895464,1.159399568686026,0.9416623565035588,22.399332682291668,0.9470088112317298,250.0,0.8626380610912344,,,0.17549262157763124
DynamicOnly_B10,JILONG_EI_0079,182,2736,103,0.5659340659340659,0.03764619883040936,0.05007309941520468,0.24013157894736842,0.46271929824561403,2427,2717,0.8932646301067354,0.8058252427184466,26.563106796116504,137,1.5225977971895177,22.398058252427184,34522.367499114014,70680.4330277443,22762082.71220981,27021347192.55957,30356389200.495186,84.34853874377063,8279.32897028327,59411.30667924881,81179312.47978263,10771800596.335367,7930161880.023524,76.50196275622832,8404,665105,14159,670860,0.1699812455171745,0.1,19,24.269426900005783,0.4897193719741383,0.9168218422893374,1.888498681178292,0.6313797572688519,0.5111118737095254,0.952352019806038,0.5709155673048589,3.060001373291016,10.758803074654768,0.4840621262596484,0.2860735345126604,12.317745964446503,1.301478410878668,0.5995000157404766,0.3953017260109479,225.9348871814924,0.0125272038875473,0.0126355988904007,0.5935447418603008,19.0,1.3352960186390714,1.030197967670542,20718.54753707414,0.7792204463430983,2.260101894865826,1.1885182093514817,1.6700864641767807,1.201464935246885,0.9320804750181461,19.925699869791668,0.8695965518584322,410.0,0.8688606746923437,,,0.16998124551717442
DynamicOnly_B10,JILONG_EI_0089,182,2736,106,0.5824175824175825,0.03874269005847953,0.04861111111111111,0.2328216374269006,0.44334795321637427,2309,2717,0.8498343761501657,0.8301886792452831,25.81132075471698,133,1.8254752851711027,20.38679245283019,41530.30475248397,92778.21813547613,36418069.18719026,48247420689.86666,49005519897.72861,335.1282274788109,9442.62313914299,76543.8508245945,33604164.94412196,18904564129.74708,15154821988.5419,93.51880876613173,8355,757196,15977,764818,0.1835491577180323,0.1,19,24.40206340000441,0.4768302174861796,0.9083059099076938,0.9605900759701488,0.6259595704292903,0.5561000309256509,0.5282554402446521,0.5917892027430002,1.529998779296875,10.39468556100672,0.4925639012270442,0.2754722706926636,4.322442563716491,1.478486638035426,0.6136947673692605,0.3991048989073458,0.7618264795430882,0.0109241675797379,0.0110341311892825,0.5229392251361332,19.0,1.486068501005687,1.0428997628631256,4.969093406354586,0.7445101141800886,2.0530565136523005,0.9944797009126934,1.5363342597449958,1.2575025913353606,0.9351805820263698,23.367838541666668,0.8878415204143596,410.0,0.8657710227451859,,,0.18354915771803226
DynamicOnly_B10,JILONG_EI_0099,182,2736,99,0.5439560439560439,0.03618421052631579,0.05043859649122807,0.2361111111111111,0.45796783625730997,2406,2717,0.8855355171144644,0.8585858585858586,27.636363636363637,138,1.6355707243079256,22.818181818181817,35330.011182207614,81570.61096382141,25931617.838365976,31422612033.22519,34421923012.18359,374.2275019290392,7431.791805803776,66355.75228762627,26669040.718070984,12568036090.227806,10331116060.97258,92.72696217699212,8200,632290,14577,638667,0.1708012356645302,0.1,19,24.28452859999379,0.4586431166510379,0.9019291658532956,1.0141189332018905,0.6324301528067313,0.5478429229335776,0.497777389465131,0.5897254001271894,2.790000915527344,11.736503761965078,0.4522125700775555,0.311744966442953,4.83724009392948,1.2782250217362556,0.6453325027273484,0.4243394406627797,0.7938675257960024,0.0128392417331723,0.0129687327017665,0.562530013034232,19.0,1.3623159230530275,1.026253178263263,7.287373825501578,0.7380911643827217,2.4247234052042868,0.9154915994476664,1.7713253161936873,1.1796979790612114,0.9161367458730142,20.545450846354168,0.8318616473034215,503.3333333333333,0.8662261717630941,,,0.1708012356645302
