"global_step","stage","stage_step","K","burn_in_steps","seed_time_s","gradient_start_time_s","sampler_stratum","total_loss","multi_loss","one_step_anchor","delta_loss","delta_h","delta_hu","delta_hv","delta_c","delta_ice","delta_dz","weighted_delta_contribution","weighted_state_contribution","weighted_wet_contribution","weighted_integral_contribution","state_loss","wet_loss","integral_loss","amplitude_guard","max_channel_saturation_fraction","learning_rate","step_seconds","peak_vram_gib","raw_delta_over_bound_rms_h","saturation_fraction_h","raw_delta_over_bound_rms_hu","saturation_fraction_hu","raw_delta_over_bound_rms_hv","saturation_fraction_hv","raw_delta_over_bound_rms_c","saturation_fraction_c","raw_delta_over_bound_rms_ice","saturation_fraction_ice","raw_delta_over_bound_rms_dz","saturation_fraction_dz"
"800","STAGE_A","800","1","0","10","10","source_active","0.07632318884134293","0.05088212713599205","0.05088212713599205","0.0015026949113234878","0.0004430610570125282","0.001434812438674271","0.0012368147727102041","0.004267938435077667","0.0015780882677063346","5.545347812585533e-05","0.0007513474556617439","0.03738149255514145","0.0013134364038705827","0.011435850709676744","0.03738149255514145","0.013134364038705826","0.22871701419353485","0.0","0.0","0.0004993910125649561","0.1928928000270389","1.7838377952575684","0.004409662447869778","0.0","0.021056698635220528","0.0","0.011384032666683197","0.0","0.04133858159184456","0.0","0.019601723179221153","0.0","0.00040016649290919304","0.0"
"850","STAGE_A","850","1","0","340","340","uniform","0.011338754557073116","0.007559169549494982","0.007559169549494982","0.00026827570400200784","0.000125085876788944","0.0001701661676634103","0.00024170200049411505","0.0006580866756848991","0.00035871515865437686","5.589824286289513e-05","0.00013413785200100392","0.006726400461047888","0.0006624898873269559","3.6141555756330494e-05","0.006726400461047888","0.006624898873269558","0.0007228311151266098","0.0","0.0","0.0004991712220111266","0.18634539999766275","1.7838377952575684","0.0003152056015096605","0.0","0.004047300200909376","0.0","0.0028320024721324444","0.0","0.008125407621264458","0.0","0.001794165000319481","0.0","0.0003196405014023185","0.0"
"900","STAGE_A","900","1","0","110","110","early_evolution","0.054460521787405014","0.036307014524936676","0.036307014524936676","0.0017059579258784652","0.0012251378502696753","0.0011162565788254142","0.003303701290860772","0.0025584660470485687","0.001999499276280403","3.2686257327441126e-05","0.0008529789629392326","0.03292745351791382","0.002081599272787571","0.0004449831321835518","0.03292745351791382","0.02081599272787571","0.008899662643671036","0.0","0.0","0.0004989176976624511","0.183384699979797","1.7838377952575684","0.001150450436398387","0.0","0.010571785271167755","0.0","0.008670642040669918","0.0","0.020188577473163605","0.0","0.002383386017754674","0.0","0.0005545277963392437","0.0"
"950","STAGE_A","950","1","0","370","370","uniform","0.011871554888784885","0.00791436992585659","0.00791436992585659","0.00025492653367109597","0.00016329939535353333","0.00018667394760996103","0.0002579083084128797","0.000509700330439955","0.00035063375253230333","6.134343857411295e-05","0.00012746326683554798","0.006822010036557913","0.0006234625354409218","0.00034143382217735054","0.006822010036557913","0.006234625354409218","0.00682867644354701","0.0","0.0","0.0004986304738420684","0.18319690000498667","1.7838377952575684","0.0003366285818628967","0.0","0.0026590314228087664","0.0","0.0018529448425397277","0.0","0.0044652605429291725","0.0","0.002795451320707798","0.0","0.00028854107949882746","0.0"
"1000","STAGE_A","1000","1","0","110","110","uniform","0.06178484857082367","0.04118989780545235","0.04118989780545235","0.0014962037093937397","0.0015415250090882182","0.0011524602305144072","0.003609579289332032","0.0025162040255963802","0.0001319601433351636","2.5493402063148096e-05","0.0007481018546968699","0.03698554262518883","0.0007183735724538565","0.002737880125641823","0.03698554262518883","0.007183735724538565","0.054757602512836456","0.0","0.0","0.0004983095894354857","0.1841537999571301","1.7838377952575684","0.0005058540846221149","0.0","0.008209672756493092","0.0","0.007557958364486694","0.0","0.010502061806619167","0.0","0.003184752305969596","0.0","0.0012543026823550463","0.0"
