method,total_worker_wall_runtime_seconds,mean_case_wall_runtime_seconds,total_runtime_seconds,trajectory_runtime_mean_seconds,global_forward_mean_ms_step,roi_scoring_mean_ms_step,roi_scoring_median_ms_step,roi_scoring_p95_ms_step,local_correction_mean_ms_step,support_guard_mean_ms_step,mean_selected_patch_count,mean_active_coverage
FrozenGlobal,263.4774376999703,13.173871884998515,263.4774376999703,13.173871884998515,54.803184965344876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RandomAll_B05,379.0984998000058,18.95492499000029,379.0984998000058,18.95492499000029,54.82291986121608,0.2717399653900227,0.2607000060379505,0.32950000604614615,35.421121423400514,2.5191086113156618,10.0,0.05447723926440392
RandomAll_B10,481.58726180001395,24.079363090000697,481.58726180001395,24.079363090000697,54.974413055439676,0.3189593402870135,0.3088000084972009,0.3813999945123214,70.67616875000466,2.5581405206644883,19.0,0.10404906029767233
RandomAll_B20,775.9374498999969,38.796872494999846,775.9374498999969,38.796872494999846,57.392841492931744,0.47323874996941917,0.43569999979808927,0.6037449980794916,160.65074090264613,3.185682013761632,37.0,0.20304537534065215
RandomSupport_B05,403.0851185000356,20.15425592500178,403.0851185000356,20.15425592500178,55.65745090274908,1.1184507640286432,0.9546999935992062,1.6334600091795428,35.81389309042606,2.857320833350564,10.0,0.07392418568916179
RandomSupport_B10,481.16320339997765,24.05816016999888,481.16320339997765,24.05816016999888,54.9327856596493,1.008602847201069,0.9269500005757436,1.3908799955970599,70.5668378473749,2.4937430554271285,19.0,0.14128921063132643
RandomSupport_B20,765.6636980000185,38.283184900000926,765.6636980000185,38.283184900000926,57.75310003458698,1.0333541667579185,0.9408499972778372,1.4448500005528329,165.2642960068988,2.717197118469509,37.0,0.2769641024053895
EngineeringROI_B05,391.70120190001035,19.585060095000518,391.70120190001035,19.585060095000518,54.79082420132121,5.240957395835721,4.912000003969297,6.902089993673143,35.384187534954336,2.4781681248997405,10.0,0.05748532153823766
EngineeringROI_B10,495.11549100004777,24.75577455000239,495.11549100004777,24.75577455000239,55.0742426388802,5.288808923544114,5.004700004064944,6.776224996428937,70.72104062531758,2.5021499652616006,19.0,0.1289875982605573
EngineeringROI_B20,742.2993131999974,37.11496565999987,742.2993131999974,37.11496565999987,55.44227284715109,5.621689652485252,5.308599997079,7.142594992183148,155.29050239583233,2.6384354166515953,37.0,0.25499509867108416
DynamicOnly_B10,487.42966220005474,24.371483110002735,487.42966220005474,24.371483110002735,55.057531388926385,2.862836701372847,2.68244999460876,3.5892049985704926,70.7455415624837,2.4914517708465507,19.0,0.17865577079499262
FrontOnly_B10,305.2561759999953,15.262808799999766,305.2561759999953,15.262808799999766,54.72190993042305,1.9408877082292344,1.7452500032959506,2.815635003935313,9.030636180336337,2.421700833484566,2.042708333333333,0.03712972286672805
SupportRiskOnly_B10,484.5910595999885,24.229552979999426,484.5910595999885,24.229552979999426,55.00380385404545,1.9588068056186279,1.8159000028390437,2.6194099948043004,70.73427593762871,2.491875694406392,19.0,0.0688381037403462
SectionOnly_B10,305.45479180000257,15.272739590000128,305.45479180000257,15.272739590000128,54.677209513874914,1.4646064236987715,1.3352999958442524,2.022325003053993,9.580760104214884,2.4109565276679255,2.2100694444444446,0.042502181854458206
EngineeringROI_NoDiversity_B10,493.35254809999606,24.667627404999802,493.35254809999606,24.667627404999802,55.010991076222936,5.171707673611713,4.890349999186583,6.697059990256093,70.68827899293966,2.4782776043947603,19.0,0.11781592646336862
