method,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio,arrival_MAE_s,peak_Q_relative_error,peak_Qdebris_relative_error,peak_hmax_relative_error,peak_stage_absolute_error,wet_width_relative_error,missed_arrival_count,truth_no_arrival_count
FrozenGlobal,0.0,0.0,0.0,13.173871884998515,0.46165991907852616,0.967675557177526,0.803065479947209,0.546030767909166,0.571216399607337,0.674336341052938,0.5592700003173806,3.2430004596710207,11.912151311910051,0.5879595951480222,0.22046705190667595,0.9443113950554108,0.9478701963785664,0.5995450180749666,0.3597991380067261,0.246521449200047,0.00902048627235453,0.009053786610531899,0.7103560207245261,0.0,1.6621865827565692,1.1218518706588754,1.00869693137439,0.7800033998307074,4.169364691207173,1.0698482030292855,2.956730982348409,1.6367272800870993,501.8333333333333,0.7023555156402953,0.9271843836803678,0.9398868147586347,22.051678466796876,0.6982168321874203,0,0
RandomAll_B05,0.05447723926440397,0.05000000000000001,10.0,18.95492499000029,0.4513337916570386,0.956903001605889,0.7855850284043647,0.5518958097629801,0.5353874077604469,0.6632103975653987,0.5433732892919034,3.3660003185272216,12.420674288230451,0.5359283436603958,0.2967472431536211,0.9120508347584162,0.9416248586416375,0.634225567548184,0.38198393343830916,0.23107285275911157,0.011301796419059214,0.011355841899781512,0.7036767306851994,10.0,1.5123125359121183,1.0741686787023204,0.8840312051856856,0.7358188429480605,3.0001362007115038,0.9819924892214656,2.1593413787377047,1.4160126428186497,491.0,0.7316710975105793,0.8696638538062385,0.47308266461491233,16.339784749348958,0.6948834988540871,0,0
RandomAll_B10,0.10404906029767239,0.10000000000000002,19.0,24.079363090000697,0.44151949911981153,0.9468104711457231,0.7695269767302101,0.5520775997079606,0.5125048776410182,0.6488610214837938,0.5318655716636456,3.4845001697540283,12.877747936103443,0.5002491504478348,0.3292903511231399,1.1807062989641708,0.9690377917751016,0.6346155454849182,0.3915336620964543,0.18770984382174055,0.013487792947629746,0.013565932197529555,0.7007463048891294,19.0,1.4415608997274756,1.0434059100672135,0.9477692470230019,0.7201923951974517,2.565421695544015,0.956274879588525,1.8666146910234445,1.2626779002733788,482.5,0.6824365274412655,0.7593608640286827,0.40497047927241575,11.960493977864584,0.6948834988540871,0,0
RandomAll_B20,0.2030453753406522,0.20000000000000004,37.0,38.796872494999846,0.4326646504637189,0.9322455406172239,0.7686769868809857,0.572433602441406,0.5050864967456777,0.6343656458624951,0.5384623063799064,3.6180001735687255,12.990043799974606,0.4494083184205378,0.3486719899993671,2.2900924543757566,1.0511971682624357,0.6176352580751667,0.3978482885152474,0.4150715135225502,0.017327562176253097,0.01746570834831588,0.6865900941204214,37.0,1.367721999445497,1.0092583165090794,1.4365322919852392,0.7048495710372327,1.7618012165595567,0.929358918826827,1.3334532922047462,1.066360007645057,468.3333333333333,0.7002308366786334,0.8527751195695253,1.0811536331659373,7.536541748046875,0.6948834988540871,0,0
RandomSupport_B05,0.07392418568916184,0.05000000000000001,10.0,20.15425592500178,0.4449108825065653,0.9509633012038103,0.7785624945392939,0.5568321269101105,0.5267895770004083,0.6544742868521103,0.5414167234268444,3.3315003871917725,12.693806364453682,0.5136778031452733,0.31806393246872383,1.032374182335934,0.953488217220217,0.6348147742656656,0.388813535235316,0.1901812729422544,0.012551155463196812,0.012618929099766281,0.7003232138274482,10.0,1.456624377433365,1.0548755711685476,0.8999332250578137,0.8005906939615575,2.7946292574459997,0.9606090329527227,2.0423292950961964,1.3212443742517497,474.0,0.7032190619415412,0.793354955394759,0.43239359274932254,14.298136393229166,0.6948834988540871,0,0
RandomSupport_B10,0.14128921063132643,0.10000000000000002,19.0,24.05816016999888,0.4356332031219072,0.9369756124171071,0.7661233577492989,0.5629053996118921,0.5037713519497498,0.6298282740228983,0.5329724542040108,3.3855003833770754,12.897497696058036,0.4708720650273997,0.3446754899445315,1.6716980258250704,1.0085765951906525,0.6275014059964369,0.39662122771596053,0.26819797286473274,0.015568856776339348,0.015676597205270357,0.6937514305333028,19.0,1.398562099375726,1.0211111551701622,1.1255382638133749,0.7093970872745224,2.218401108563752,0.9356841598872846,1.6337430885420552,1.147795921146866,474.6666666666667,0.6762838739918885,0.7303756222409994,0.6004392084842519,8.630741373697917,0.6948834988540871,0,0
RandomSupport_B20,0.2769641024053895,0.20000000000000004,37.0,38.283184900000926,0.4358750658695019,0.9210580971063826,0.8311227757350198,0.5844931862031095,0.5040477296807783,0.6339403204400973,0.5441441627597163,3.774000406265259,13.371721956940604,0.4258386757730501,0.34206628897893016,3.880489030254293,1.1736327929815573,0.5958919539255434,0.39173908469205776,0.8250245386441323,0.01966851235597378,0.019860403543186786,0.6705819929669781,37.0,1.3599020007698592,0.9924869403563428,2.458121138181376,0.70941486843183,1.6869492753973787,0.937875640610546,1.2884775050128021,0.9649330684149403,460.3333333333333,0.7767014991636266,1.0085993874346453,2.131481507991632,32.788397216796874,0.6948834988540871,0,0
EngineeringROI_B05,0.05748532153823771,0.05000000000000001,10.0,19.585060095000518,0.49127135653316845,0.911656549923049,0.8409350147786828,0.6216550931640177,0.5308031692541019,0.604657102661742,0.5761985132332051,3.955499792098999,11.697904722237798,0.5605537223942909,0.24706749733663322,19.743452298871638,1.9760156127678936,0.5906321357577993,0.36981670947025613,0.663963776213551,0.008609450020003639,0.008661943632848775,0.5868862578635983,10.0,1.52500910906921,1.097801060970907,4.781234401900964,0.7454557714734412,3.5637272650589567,1.0207117482738357,2.5386486998993436,1.4833473646353508,402.1666666666667,1.5381669123622528,2.094294965360774,3.035268242308896,73.04999389648438,0.6948834988540871,0,0
EngineeringROI_B10,0.12898759826055733,0.10000000000000002,19.0,24.75577455000239,0.47624649034955385,0.9065817618004747,0.8716144036250685,0.6275885134149228,0.5210791267409275,0.6015293105009918,0.5746677131710277,4.115999841690064,11.826947587504193,0.4867711738386643,0.3122490190369808,23.631854821757635,1.7833149255000496,0.5930335896023361,0.3906887285533582,0.6762753242529167,0.012150288092362708,0.012256348213586541,0.5840425310555776,19.0,1.3904129767510116,1.0574604729704236,8.396897757784565,0.7267522085952846,2.0506359530533826,0.9442301281517258,1.5219844244391978,1.1939048856988597,400.0,1.1141400226818154,1.4728115024935664,10.006329016359123,285.95216674804686,0.6948834988540871,0,0
EngineeringROI_B20,0.2549950986710842,0.20000000000000004,37.0,37.11496565999987,0.48924612841063353,0.8982103320756248,1.0942068650511936,0.6489721330375341,0.5587344092883355,0.6074718875886111,0.6037300185145001,4.899000215530395,13.69549526903414,0.4466071762309598,0.3228075158085272,28.71574262208989,1.6926990587897865,0.5732100327498517,0.38664726300191476,1.4198066727164023,0.015174664335984928,0.015350854022566673,0.5693591904395292,37.0,1.3769275133614407,1.0355231551499708,11.967476800338018,0.7623676168781764,2.3291963043755386,0.9515900697249766,1.7152684738768815,1.0134027515661954,403.1666666666667,1.4108046823756741,1.8817843531033012,12.900338256830102,387.6565205891927,0.6948834988540871,0,0
DynamicOnly_B10,0.17865577079499267,0.10000000000000002,19.0,24.371483110002735,0.46787980502791804,0.9153228396079762,1.5990529151879607,0.6118515737917036,0.524861963362301,0.6020897317702731,0.568277300903867,3.229500246047974,12.015670291481214,0.4862540511539965,0.29287855117492867,10.173848108533987,1.3387267547323523,0.6217709160513143,0.4046774108135064,316.1717952952098,0.011901960858790335,0.01199808717872995,0.597675079936467,19.0,1.3993090290918844,1.0315122252292332,33581.71842310984,0.7759114984776935,2.924485120195361,1.0330357095873117,2.1168720586785033,1.255457934142271,441.6666666666667,0.8711601773647494,0.9800941706771275,0.91853343378051,21.316910807291666,0.6948834988540871,0,0
FrontOnly_B10,0.037129722866728096,0.10000000000000002,19.0,15.262808799999766,0.46154400589024647,0.9679019580395545,0.803285817595414,0.5461550137537352,0.5703769814717874,0.6743252426830135,0.5588825609310376,5.095500230789185,13.75789221112658,0.5937338185561425,0.21443316039826482,5.4623741877898295,1.0254243224308406,0.5499638227179402,0.3514168535763547,0.13538674473393966,0.009035047008231564,0.009068485666075578,0.7101687509103394,2.0427083333333336,1.6657528269158006,1.132958320584006,2.561345824262925,0.7802270426051361,4.167956021847913,1.0709505469412646,2.955766425635958,1.6178840621575756,473.0,0.722208315956551,0.9277685492980369,0.921279049312061,21.89439697265625,0.6915501655207538,0,0
