time_s,front_distance_m,remaining_distance_m
0.0,0.0,17624.0
10.0,70.19529852959417,17553.804701470406
20.0,70.19529852959417,17553.804701470406
30.0,117.59718391610424,17506.402816083897
40.0,402.0084962351647,17221.991503764835
50.0,624.5975951501705,16999.40240484983
60.0,806.9949726874385,16817.00502731256
70.0,895.0350051357908,16728.96499486421
80.0,984.4462874713925,16639.553712528606
90.0,1118.847101617376,16505.152898382625
100.0,1171.128451330324,16452.871548669675
110.0,1257.010004579768,16366.989995420232
120.0,1342.8915578292122,16281.108442170787
130.0,1395.1729075421604,16228.82709245784
140.0,1447.4542572551084,16176.545742744891
150.0,1481.0544607916045,16142.945539208395
160.0,1533.3358105045527,16090.664189495448
170.0,1626.4601277906238,15997.539872209376
180.0,1697.2261335388312,15926.773866461168
190.0,1764.598321389537,15859.401678610462
200.0,1831.9705092402428,15792.029490759756
210.0,1884.196559077023,15739.803440922977
220.0,1917.882653002376,15706.117346997624
230.0,1917.882653002376,15706.117346997624
240.0,1929.6349731188,15694.3650268812
250.0,1929.6349731188,15694.3650268812
260.0,1929.6349731188,15694.3650268812
270.0,1929.6349731188,15694.3650268812
280.0,1929.6349731188,15694.3650268812
290.0,1951.5687469277286,15672.431253072271
300.0,1951.5687469277286,15672.431253072271
310.0,1951.5687469277286,15672.431253072271
320.0,1951.5687469277286,15672.431253072271
330.0,1951.5687469277286,15672.431253072271
340.0,1951.5687469277286,15672.431253072271
350.0,1951.5687469277286,15672.431253072271
360.0,1951.5687469277286,15672.431253072271
370.0,1951.5687469277286,15672.431253072271
380.0,1951.5687469277286,15672.431253072271
390.0,1951.5687469277286,15672.431253072271
400.0,1951.5687469277286,15672.431253072271
410.0,1951.5687469277286,15672.431253072271
420.0,1951.5687469277286,15672.431253072271
430.0,1951.5687469277286,15672.431253072271
440.0,1951.5687469277286,15672.431253072271
450.0,1951.5687469277286,15672.431253072271
460.0,1929.6349731188,15694.3650268812
470.0,1929.6349731188,15694.3650268812
480.0,1929.6349731188,15694.3650268812
490.0,1929.6349731188,15694.3650268812
500.0,1929.6349731188,15694.3650268812
510.0,1929.6349731188,15694.3650268812
520.0,1929.6349731188,15694.3650268812
530.0,1929.6349731188,15694.3650268812
540.0,1929.6349731188,15694.3650268812
550.0,1929.6349731188,15694.3650268812
560.0,1929.6349731188,15694.3650268812
570.0,1929.6349731188,15694.3650268812
580.0,1929.6349731188,15694.3650268812
590.0,1929.6349731188,15694.3650268812
600.0,1929.6349731188,15694.3650268812
