global_step,stage,stage_step,K,burn_in_steps,seed_time_s,gradient_start_time_s,sampler_stratum,total_loss,multi_loss,one_step_anchor,delta_loss,delta_h,delta_hu,delta_hv,delta_c,delta_ice,delta_dz,weighted_delta_contribution,weighted_state_contribution,weighted_wet_contribution,weighted_integral_contribution,state_loss,wet_loss,integral_loss,amplitude_guard,max_channel_saturation_fraction,learning_rate,step_seconds,peak_vram_gib,raw_delta_over_bound_rms_h,saturation_fraction_h,raw_delta_over_bound_rms_hu,saturation_fraction_hu,raw_delta_over_bound_rms_hv,saturation_fraction_hv,raw_delta_over_bound_rms_c,saturation_fraction_c,raw_delta_over_bound_rms_ice,saturation_fraction_ice,raw_delta_over_bound_rms_dz,saturation_fraction_dz
1800,STAGE_A,1800,1,0,390,390,uniform,0.0076711932197213,0.0051141288131475,0.0051141288131475,0.0001466315443394,0.0001183521962957,6.17665282334201e-05,0.0001601461844984,0.0004840907349716,1.6858224626048468e-05,3.857538104057312e-05,7.331577216973528e-05,0.0043322811834514,0.0003988782409578,0.0003096537198871,0.0043322811834514,0.0039887824095785,0.0061930743977427,0.0,0.0,0.0004886469080619,0.1844453000230714,1.783839225769043,0.0004748284700326,0.0,0.0031846673227846,0.0,0.0027164930943399,0.0,0.0049541620537638,0.0,0.0021946602500975,0.0,0.000416730006691,0.0
1850,STAGE_A,1850,1,0,90,90,early_evolution,0.0409252941608428,0.0272835306823253,0.0272835306823253,0.0012469735229387,0.0013665839796885,0.0008685669745318,0.002072014613077,0.0019790001679211,0.0008596863481216,0.0003359888505656,0.0006234867614693,0.0236129276454448,0.0012699721381068,0.0017771443352103,0.0236129276454448,0.0126997213810682,0.0355428867042064,0.0,0.0,0.0004877641290737,0.1845904000219889,1.783839225769043,0.0010306744370609,0.0,0.0097774704918265,0.0,0.0136976679787039,0.0,0.019218523055315,0.0,0.00271901441738,0.0,0.0006361506530083,0.0
1900,STAGE_A,1900,1,0,1040,1040,uniform,0.0007857445161789,0.00052382965805,0.00052382965805,1.817741394916084e-05,2.595072146505117e-06,9.2658328867401e-06,1.1529613402672112e-05,5.827202767250128e-05,2.2985577743384056e-05,4.416360297909705e-06,9.088706974580418e-06,0.000193105704966,0.0001563802245073,0.0001652550185099,0.000193105704966,0.001563802245073,0.0033051003701984,0.0,0.0,0.0004868491606285,0.1826597000472247,1.783839225769043,0.0001966875133803,0.0,0.0021018467377871,0.0,0.001759740174748,0.0,0.0041663404554128,0.0,0.0014851621817797,0.0,0.001614841283299,0.0
1950,STAGE_A,1950,1,0,450,450,uniform,0.0047249002382159,0.0031499334145337,0.0031499334145337,0.0001083837341866,8.572771184844896e-05,2.9596229069284163e-05,0.000135762777063,0.0003142034402117,7.016518065938726e-05,1.4847067177470308e-05,5.41918670933228e-05,0.0025962942745536,0.0002638854784891,0.0002355619333684,0.0025962942745536,0.002638854784891,0.0047112386673688,0.0,0.0,0.0004859021265983,0.184024199959822,1.783839225769043,0.0005210669478401,0.0,0.0035957845393568,0.0,0.002691056812182,0.0,0.0063663818873465,0.0,0.0026266672648489,0.0,0.0005298774340189,0.0
2000,STAGE_A,2000,1,0,220,220,uniform,0.0215436331927776,0.0143624227494001,0.0143624227494001,0.0005245649372227,0.0004476744215935,0.0003985217190347,0.0005012062028981,0.0012681914959102,0.0005025314167141,2.9264252589200623e-05,0.0002622824686113,0.0125286383554339,0.0012146529741585,0.0003568484913557,0.0125286383554339,0.0121465297415852,0.0071369698271155,0.0,0.0,0.0004849231551964,0.1845801000017672,1.783839225769043,0.0005940570845268,0.0,0.0050711375661194,0.0,0.0039316248148679,0.0,0.009930508211255,0.0,0.0077948095276951,0.0,0.0007494610035791,0.0
