global_step,stage,horizon,h_rel_l2,momentum_rel_l2,wet_iou,volume_rel_error,finite_fraction,validation_status
2000,STAGE_A,1,0.4822644256055355,0.7517204880714417,0.8703101128339767,0.2286073490977287,1.0,FINITE
2000,STAGE_A,2,0.4774497598409652,0.5238258354365826,0.8686271235346794,0.1944058467634022,1.0,FINITE
2000,STAGE_A,4,0.7323325946927071,0.5528599247336388,0.8543316647410393,0.1821808947715908,1.0,FINITE
2000,STAGE_A,8,0.8817014023661613,0.6535964608192444,0.809304304420948,0.1541655924229417,1.0,FINITE
2000,STAGE_A,16,0.9616733342409134,0.7726458758115768,0.715036042034626,0.1066895903450273,1.0,FINITE
2000,STAGE_A,32,1.036049172282219,0.915437139570713,0.5596173480153084,0.0910994094896366,1.0,FINITE
2000,STAGE_A,64,1.0650412291288376,1.1646751314401629,0.4150870814919472,0.137859965925319,1.0,FINITE
2000,STAGE_A,144,1.0671964436769483,2.587574452161789,0.2971500866115093,0.2488180457098947,1.0,FINITE
