method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,candidate_count,selected_count,actual_active_fraction,predicted_front_chainage_m,front_available,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count,first_pass_count,second_pass_count,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms
SectionOnly_B10,JILONG_EI_0009,10,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,313.755700000911,10.314800005289726,61.603499998454936,46.25590000068769
SectionOnly_B10,JILONG_EI_0009,20,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.855599991744384,1.3564999972004443,12.464300001738591,2.214399995864369
SectionOnly_B10,JILONG_EI_0009,30,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,53.25050000101328,1.3333999959286302,11.624399994616397,2.173400003812276
SectionOnly_B10,JILONG_EI_0009,40,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.64809999789577,1.7668000073172152,11.79569998930674,2.9544999997597188
SectionOnly_B10,JILONG_EI_0009,50,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.982900000642985,1.381900001433678,11.619900004006922,2.249299999675713
SectionOnly_B10,JILONG_EI_0009,60,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.717099999426864,1.3514000020222738,11.55070000095293,2.21580000652466
SectionOnly_B10,JILONG_EI_0009,70,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.4130999983754,1.3641000114148485,11.756799998693168,2.235599997220561
SectionOnly_B10,JILONG_EI_0009,80,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,52.60990001261234,1.3982999953441322,11.529300012625754,2.6122999988729134
SectionOnly_B10,JILONG_EI_0009,90,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,54.254900009254925,1.363799994578585,11.898799988557585,3.174199999193661
SectionOnly_B10,JILONG_EI_0009,100,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,54.22279999766033,1.303799988818355,12.214899994432926,2.214599997387268
SectionOnly_B10,JILONG_EI_0009,110,B10,195;69;86,0.1,19,3,3,0.0481962769256686,,False,,,,0.6666666666666666,,3,2,1,54.30069999420084,1.2839999981224537,12.087199997040443,2.248399992822669
SectionOnly_B10,JILONG_EI_0009,120,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.243799997493625,1.4099999971222132,14.167600005748682,2.226899989182129
SectionOnly_B10,JILONG_EI_0009,130,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.32470000616741,1.303199998801574,9.10680000379216,2.4769000010564923
SectionOnly_B10,JILONG_EI_0009,140,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.08649999683257,1.4859999937471002,8.994799994979985,2.4397999950451776
SectionOnly_B10,JILONG_EI_0009,150,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.097000004025176,1.5060000005178154,9.59109999530483,2.2895999863976613
SectionOnly_B10,JILONG_EI_0009,160,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.90479999571107,1.8260999931953847,8.629900010419078,2.250100005767308
SectionOnly_B10,JILONG_EI_0009,170,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.82770000526216,1.3655000075232238,8.926200011046603,2.56539999099914
SectionOnly_B10,JILONG_EI_0009,180,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.39380000461824,1.353500003460795,8.970199996838346,2.2886999940965325
SectionOnly_B10,JILONG_EI_0009,190,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.26689999876544,1.3937999901827425,8.806899990304373,2.2078000038163736
SectionOnly_B10,JILONG_EI_0009,200,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.99430001166184,1.6916000022320077,8.571200000005774,2.214100008131936
SectionOnly_B10,JILONG_EI_0009,210,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.1254999989178,1.329000006080605,8.740299992496148,2.1758000075351447
SectionOnly_B10,JILONG_EI_0009,220,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.26920000172686,1.971699995920062,8.552100000088103,2.187099991715513
SectionOnly_B10,JILONG_EI_0009,230,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.7447999890428,1.3972000015201047,8.826500008581206,2.741099990089424
SectionOnly_B10,JILONG_EI_0009,240,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.48799999430776,1.4063999988138676,9.106299999984913,2.3674999974900857
SectionOnly_B10,JILONG_EI_0009,250,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.7692999971332,1.945200012414716,8.77770000079181,2.17279999924358
SectionOnly_B10,JILONG_EI_0009,260,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.68560000008438,1.35940000473056,8.543399992049672,2.141000004485249
SectionOnly_B10,JILONG_EI_0009,270,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.566600010730326,1.305600002524443,8.505499994498678,2.616700003272854
SectionOnly_B10,JILONG_EI_0009,280,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.86689999816008,1.2829000042984262,8.553599996957928,2.6606000028550625
SectionOnly_B10,JILONG_EI_0009,290,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.66740000701975,1.2897999986307696,8.848299999954179,2.263999995193444
SectionOnly_B10,JILONG_EI_0009,300,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.29099999694154,1.8242000078316776,8.847099990816787,2.219600006355904
SectionOnly_B10,JILONG_EI_0009,310,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.42390000482556,1.886500002001412,8.814400003757328,2.238300003227778
SectionOnly_B10,JILONG_EI_0009,320,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.37050000182353,1.2946000060765073,8.820599992759526,2.153299996280112
SectionOnly_B10,JILONG_EI_0009,330,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.94479999470059,1.3076999894110486,9.12909999897238,2.991799992742017
SectionOnly_B10,JILONG_EI_0009,340,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.247600001166575,1.8743999971775336,9.260599996196106,2.949599991552532
SectionOnly_B10,JILONG_EI_0009,350,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.55200000142213,1.2473999959183857,8.677200006786734,2.1938999998383224
SectionOnly_B10,JILONG_EI_0009,360,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.79840000043623,1.3202999980421737,8.532899999408983,2.1797000081278384
SectionOnly_B10,JILONG_EI_0009,370,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.18610000924673,1.8959000008180735,8.761700009927154,2.178399998228997
SectionOnly_B10,JILONG_EI_0009,380,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.32200000016019,2.021799999056384,8.824800010188483,2.202300005592406
SectionOnly_B10,JILONG_EI_0009,390,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.38950000097975,1.4476000069407746,9.095300003536977,2.215000000433065
SectionOnly_B10,JILONG_EI_0009,400,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.37610000080895,1.269600004889071,8.941699998104014,2.7200999902561307
SectionOnly_B10,JILONG_EI_0009,410,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.36569999437779,1.299800002016127,8.980399987194687,2.21580000652466
SectionOnly_B10,JILONG_EI_0009,420,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.507599998032674,1.874600013252348,8.531800005584955,2.221600007032976
SectionOnly_B10,JILONG_EI_0009,430,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.16240000340622,1.3816999999107793,8.656499994685873,2.944099993328564
SectionOnly_B10,JILONG_EI_0009,440,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.80169999646023,1.3329999928828329,8.786899998085573,2.220299997134134
SectionOnly_B10,JILONG_EI_0009,450,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.022200012695976,1.2965000059921294,8.781600001384504,2.532799990149215
SectionOnly_B10,JILONG_EI_0009,460,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.43299999751616,1.3706000027013945,8.52380000287667,2.1927000052528456
SectionOnly_B10,JILONG_EI_0009,470,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.08280000847299,1.293299996177666,8.777600000030361,2.208199992310256
SectionOnly_B10,JILONG_EI_0009,480,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.99970000144094,1.3955000031273812,8.7682000012137,2.29199999012053
SectionOnly_B10,JILONG_EI_0009,490,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.05979999341071,1.299499999731779,8.730500005185604,2.198200003476813
SectionOnly_B10,JILONG_EI_0009,500,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.07550000038464,1.389299999573268,8.810700004687533,2.846000003046356
SectionOnly_B10,JILONG_EI_0009,510,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.08619999070652,1.2765999999828637,9.07619998906739,2.260799999930896
SectionOnly_B10,JILONG_EI_0009,520,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.50490000657737,1.3021000049775466,8.541699993656948,3.02469999587629
SectionOnly_B10,JILONG_EI_0009,530,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.13720000069589,1.2805000005755574,8.857399996486492,2.180299998144619
SectionOnly_B10,JILONG_EI_0009,540,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.32559999462683,1.9937000033678487,8.489899992127903,2.170300009311177
SectionOnly_B10,JILONG_EI_0009,550,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.88400000811089,1.6896000015549362,8.525199998985045,2.1819999965373427
SectionOnly_B10,JILONG_EI_0009,560,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.15709999599494,2.1702000085497275,9.03939999989234,2.1858999971300364
SectionOnly_B10,JILONG_EI_0009,570,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.229599991231225,1.2977000005776065,8.755300004850142,2.5754999951459467
SectionOnly_B10,JILONG_EI_0009,580,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.99960000067949,1.346500008367002,8.630500000435859,2.2398000000976026
SectionOnly_B10,JILONG_EI_0009,590,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.23569999402389,1.3125999976182356,8.533499989425763,2.2179000079631805
SectionOnly_B10,JILONG_EI_0009,600,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.491099988808855,1.2961999891558662,9.221900007105432,2.2766999900341034
SectionOnly_B10,JILONG_EI_0009,610,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.52799999329727,1.3254999939817935,9.283200008212589,3.406100004212931
SectionOnly_B10,JILONG_EI_0009,620,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.66449999948964,1.2936000130139291,8.558500005165115,2.1345999994082376
SectionOnly_B10,JILONG_EI_0009,630,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.24810000113212,1.3249000039650127,8.876299994881265,2.253200000268407
SectionOnly_B10,JILONG_EI_0009,640,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.85130000649952,1.2805000005755574,8.755000002565794,2.203600000939332
SectionOnly_B10,JILONG_EI_0009,650,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.87200000404846,1.298899995163083,8.684000000357628,2.2022000048309565
SectionOnly_B10,JILONG_EI_0009,660,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.874800010817125,1.302899996517226,8.820100003504194,2.1142000041436404
SectionOnly_B10,JILONG_EI_0009,670,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.186800003866665,1.3184999988880008,8.571300000767224,2.8765999886672944
SectionOnly_B10,JILONG_EI_0009,680,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.08270000771154,1.288100000238046,9.058900002855808,2.189499995438382
SectionOnly_B10,JILONG_EI_0009,690,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.80919999536127,1.9059999904129652,9.135399988736026,2.2178999934112653
SectionOnly_B10,JILONG_EI_0009,700,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.02369999885559,1.3303000014275312,8.565900003304705,2.8485999937402084
SectionOnly_B10,JILONG_EI_0009,710,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.67169999610633,1.3091000000713393,9.10600001225248,2.195099994423799
SectionOnly_B10,JILONG_EI_0009,720,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.57239999668673,1.2992999982088804,8.960699997260235,2.545099996495992
SectionOnly_B10,JILONG_EI_0009,730,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.52410000725649,1.4002000098116696,8.633100005681626,2.4720999936107546
SectionOnly_B10,JILONG_EI_0009,740,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.451399995945394,1.2981999898329375,8.523299999069422,2.848600008292124
SectionOnly_B10,JILONG_EI_0009,750,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.47950000234414,1.2990999966859818,9.015899995574728,2.189200007705949
SectionOnly_B10,JILONG_EI_0009,760,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.68760000076145,1.4179999998304993,9.14080000075046,3.0655000009574
SectionOnly_B10,JILONG_EI_0009,770,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.0399999920046,1.3149000005796552,9.426999997231178,2.2716999956173822
SectionOnly_B10,JILONG_EI_0009,780,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.12790000264067,1.2846000026911495,8.806899990304373,2.228899989859201
SectionOnly_B10,JILONG_EI_0009,790,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.62230001285207,1.3321999867912382,8.565700001781806,2.662300001247786
SectionOnly_B10,JILONG_EI_0009,800,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.186099994694814,1.3397000002441928,8.99099999514874,2.207300000009127
SectionOnly_B10,JILONG_EI_0009,810,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.31659999885596,1.3628000015160069,8.794099994702265,2.200200004153885
SectionOnly_B10,JILONG_EI_0009,820,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.79749998974148,1.2687999987974763,8.626900002127513,2.272199999424629
SectionOnly_B10,JILONG_EI_0009,830,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.31740000494756,1.309300001594238,8.98889999371022,3.646700002718717
SectionOnly_B10,JILONG_EI_0009,840,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.08830000669696,1.3183999981265515,8.917099999962375,2.1903000015299767
SectionOnly_B10,JILONG_EI_0009,850,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.61720000312198,1.2712000025203452,8.806400001049042,2.155599999241531
SectionOnly_B10,JILONG_EI_0009,860,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.15999999968335,1.6501000063726678,8.720199999515899,2.229799996712245
SectionOnly_B10,JILONG_EI_0009,870,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.373999999370426,1.327100006164983,9.516200007055886,2.950599999167025
SectionOnly_B10,JILONG_EI_0009,880,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.12749999959488,1.369899997371249,8.721499994862825,2.1508999925572425
SectionOnly_B10,JILONG_EI_0009,890,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.7462000104133,1.3437000015983358,8.581599991885014,2.259300003061071
SectionOnly_B10,JILONG_EI_0009,900,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.17409999063239,1.2719000078504905,8.6038000008557,2.209500002209097
SectionOnly_B10,JILONG_EI_0009,910,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.75099998875521,1.344699994660914,8.565900003304705,2.23060000280384
