2000000 90 12
354446 3130876 -1 0
354382 3130876 -1 0
354382 3130812 -1 0
354446 3130812 -1 0
354318 3130812 -1 0
354318 3130748 -1 0
354382 3130748 -1 0
354446 3130748 -1 0
354254 3130812 -1 0
354254 3130748 -1 0
354190 3130812 -1 0
354190 3130748 -1 0
