row,col,center_x,center_y,chainage_m,lateral_distance_m,terrain_z,local_floor_z,height_above_local_floor_m,tangent_x,tangent_y
103,244,354446.0,3130940.0,0.0,19.450455526451286,4017.195068359375,3927.751953125,89.443115234375,-1.0,0.0
102,243,354382.0,3131004.0,48.7705796182272,62.13056874662928,3965.596435546875,3886.09716796875,79.499267578125,-1.0,0.0
102,244,354446.0,3131004.0,0.0,64.94267820296554,4019.67138671875,3927.751953125,91.91943359375,-1.0,0.0
102,245,354510.0,3131004.0,0.0,103.87460492613862,4089.29736328125,3927.751953125,161.54541015625,-1.0,0.0
103,243,354382.0,3130940.0,48.7705796182272,4.579993536256378,3955.65283203125,3886.09716796875,69.5556640625,-1.0,0.0
103,245,354510.0,3130940.0,0.0,83.37087211115106,4093.72119140625,3927.751953125,165.96923828125,-1.0,0.0
104,243,354382.0,3130876.0,48.7705796182272,66.1342960105018,3934.70849609375,3886.09716796875,48.611328125,-1.0,0.0
104,244,354446.0,3130876.0,0.0,68.7829120363407,3999.0087890625,3927.751953125,71.2568359375,-1.0,0.0
104,245,354510.0,3130876.0,0.0,106.31778348228686,4090.4140625,3927.751953125,162.662109375,-1.0,0.0
101,242,354318.0,3131068.0,108.7705796182272,125.99404861657978,3968.32275390625,3835.917236328125,132.405517578125,-1.0,0.0
101,243,354382.0,3131068.0,48.7705796182272,126.06125021102679,3978.22265625,3886.09716796875,92.12548828125,-1.0,0.0
101,244,354446.0,3131068.0,0.0,127.47071304484577,4010.834716796875,3927.751953125,83.082763671875,-1.0,0.0
