row,col,center_x,center_y,chainage_m,lateral_distance_m,terrain_z,local_floor_z,height_above_local_floor_m,tangent_x,tangent_y
104,244,354446.0,3130876.0,0.0,68.7829120363407,3999.008789,3989.3690185,9.63977049999994,-1.0,0.0
104,243,354382.0,3130876.0,48.7705796182272,66.1342960105018,3934.708496,3924.533203,10.175293000000238,-1.0,0.0
105,243,354382.0,3130812.0,48.7705796182272,130.07118772740256,3927.751953,3924.533203,3.21875,-1.0,0.0
105,244,354446.0,3130812.0,0.0,131.43765729885598,3987.751221,3989.3690185,-1.6177975000000515,-1.0,0.0
105,242,354318.0,3130812.0,108.7705796182272,130.0060589312943,3886.097168,3875.501953,10.595214999999826,-1.0,0.0
106,242,354318.0,3130748.0,108.7705796182272,194.00604147000084,3864.906738,3875.501953,-10.595214999999826,-1.0,0.0
106,243,354382.0,3130748.0,48.7705796182272,194.0496911742704,3921.314453,3924.533203,-3.21875,-1.0,0.0
106,244,354446.0,3130748.0,0.0,194.96827055760644,3990.986816,3989.3690185,1.6177975000000515,-1.0,0.0
105,241,354254.0,3130812.0,168.7705796182272,130.06397210940904,3835.917236,3823.0267329999997,12.89050300000008,-1.0,0.0
106,241,354254.0,3130748.0,168.7705796182272,194.04485463131883,3810.13623,3823.0267329999997,-12.890502999999626,-1.0,0.0
105,240,354190.0,3130812.0,228.7705796182272,130.24476313045028,3779.412354,3772.3774415,7.034912500000246,-1.0,0.0
106,240,354190.0,3130748.0,228.7705796182272,194.16608120606344,3765.342529,3772.3774415,-7.034912499999791,-1.0,0.0
