time_s,front_distance_m,remaining_distance_m
0.0,0.0,17624.0
10.0,68.39275752740109,17555.607242472597
20.0,210.59841368693134,17413.40158631307
30.0,352.8040698464616,17271.19593015354
40.0,562.5074720813707,17061.49252791863
50.0,717.5988249209975,16906.401175079
60.0,872.6901777606242,16751.309822239375
70.0,962.9758991590314,16661.02410084097
80.0,1099.2577577132195,16524.742242286782
90.0,1252.339718035655,16371.660281964345
100.0,1321.4211695168513,16302.57883048315
110.0,1375.5835636380039,16248.416436361997
120.0,1478.2652186556957,16145.734781344305
130.0,1554.8061988169136,16069.193801183086
140.0,1624.3074809734776,15999.692519026523
150.0,1684.1065998172205,15939.89340018278
160.0,1770.0187435793534,15853.981256420646
170.0,1865.2008652972002,15758.7991347028
180.0,1908.1569371782666,15715.843062821734
190.0,1951.113009059333,15672.886990940668
200.0,1951.113009059333,15672.886990940668
210.0,1951.113009059333,15672.886990940668
220.0,1951.113009059333,15672.886990940668
230.0,1951.113009059333,15672.886990940668
240.0,1951.113009059333,15672.886990940668
250.0,1951.113009059333,15672.886990940668
260.0,1951.113009059333,15672.886990940668
270.0,1951.113009059333,15672.886990940668
280.0,1951.113009059333,15672.886990940668
290.0,1951.113009059333,15672.886990940668
300.0,1951.113009059333,15672.886990940668
310.0,1951.113009059333,15672.886990940668
320.0,1951.113009059333,15672.886990940668
330.0,1951.113009059333,15672.886990940668
340.0,1951.113009059333,15672.886990940668
350.0,1951.113009059333,15672.886990940668
360.0,1951.113009059333,15672.886990940668
370.0,1951.113009059333,15672.886990940668
380.0,1951.113009059333,15672.886990940668
390.0,1951.113009059333,15672.886990940668
400.0,1951.113009059333,15672.886990940668
410.0,1951.113009059333,15672.886990940668
420.0,1951.113009059333,15672.886990940668
430.0,1951.113009059333,15672.886990940668
440.0,1951.113009059333,15672.886990940668
450.0,1951.113009059333,15672.886990940668
460.0,1951.113009059333,15672.886990940668
470.0,1951.113009059333,15672.886990940668
480.0,1951.113009059333,15672.886990940668
490.0,1951.113009059333,15672.886990940668
500.0,1951.113009059333,15672.886990940668
510.0,1951.113009059333,15672.886990940668
520.0,1951.113009059333,15672.886990940668
530.0,1951.113009059333,15672.886990940668
540.0,1951.113009059333,15672.886990940668
550.0,1951.113009059333,15672.886990940668
560.0,1951.113009059333,15672.886990940668
570.0,1951.113009059333,15672.886990940668
580.0,1951.113009059333,15672.886990940668
590.0,1951.113009059333,15672.886990940668
600.0,1951.113009059333,15672.886990940668
