method,total_worker_wall_runtime_seconds,mean_case_wall_runtime_seconds,mean_selected_patch_count,mean_active_coverage,mean_consecutive_overlap,mean_support_fraction,mean_blocked_local_change_fraction,mean_blocked_wet_creation_count,mean_raw_local_new_wet_fraction,mean_depth_guard_activation_fraction,mean_depth_guard_abs_clip_m,max_depth_guard_abs_clip_m,global_forward_mean_ms_step,global_forward_p95_ms_step,roi_scoring_mean_ms_step,roi_scoring_p95_ms_step,local_correction_mean_ms_step,local_correction_p95_ms_step,support_guard_mean_ms_step,support_guard_p95_ms_step,depth_guard_mean_ms_step,depth_guard_p95_ms_step,trajectory_h_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,false_positive_wet_fraction,wet_overprediction_ratio,mixture_volume_relative_error,debris_front_mae_km,debris_front_final_error_km,arrival_MAE_s,peak_Q_relative_error,peak_Qdebris_relative_error,peak_hmax_relative_error,peak_stage_absolute_error,wet_width_relative_error,missed_arrival_count
SupportRisk_Base_B10,481.9093885000184,24.09546942500092,19.0,0.0688381037403462,0.3997076023391813,0.0865523902446909,0.8566628417281834,659.5753472222223,0.0050506952793241,0.0,0.0,0.0,54.684693541508345,55.73243999606348,1.9253078818261808,2.4699300054635387,72.88305635402139,74.20838999241823,1.8313087151454963,2.3454500034858934,0.6797381945034431,0.946634990395978,1.177499992079342,2.3003308927242614,0.7539216352341835,0.5711338322537531,0.3571680058275521,0.2713151646895591,0.5548434626847705,1.3675539336721954,0.1898638592304909,11.204066287730054,3.1515002727508543,479.0,0.8207572964460312,0.967093890403118,0.9293359035357196,21.481534830729167,0.6948834988540871,0
SupportRisk_Temporal_B10,481.2580366000184,24.06290183000092,19.0,0.0755553784759711,0.0,0.0859152440741619,0.8655529564657533,682.5020833333333,0.0052262566588304,0.0,0.0,0.0,54.64101315961266,55.68256499536801,1.91442489562582,2.4857749951479486,72.87852861100974,74.27056500018807,1.820655972318895,2.32752001247718,0.672002187664273,0.9386000019731,1.0856831233985604,2.108972257671314,0.7424708671525805,0.5398135655915155,0.3591567346199174,0.2778230402782569,0.5503449442773054,1.3565530730981168,0.1432380069582583,11.289820888013722,3.1875004291534426,484.5,0.8409834742510839,0.9723518132740768,0.9303500727540104,21.479972330729165,0.6948834988540871,0
SupportRisk_DepthGuard_B10,504.574277000007,25.22871385000035,19.0,0.0387317108163825,0.9555372807017544,0.0979600245763064,0.7685478091167622,538.0795138888889,0.0041203414775052,0.0145574972624452,0.0040063400191582,37.82213592529297,55.42109229183754,58.258700008445885,2.2447464236089822,3.47947999543976,73.94690256954466,78.11105000437237,2.055564617937004,2.9648450050444803,1.5787190277781822,2.34784500717069,1.0061681108270728,3.582462345396704,0.8341358693982447,0.5983958842585602,0.3799508323079737,0.2412144094102969,0.5591881324418795,1.5455207614911657,0.3202048738626539,11.45027222364084,3.1845004558563232,475.6666666666667,0.7848125762195967,0.9508880912147514,0.9400633800027188,21.630716959635414,0.6948834988540871,0
EngineeringROI_v2_B05,379.5468224999786,18.97734112499893,10.0,0.0160096960910186,0.0,0.0994473016474675,0.6992820138740654,260.3329861111111,0.0019934986799328,0.0109442920390123,0.0018148356172534,39.06671142578125,54.75269010431576,55.839369995374,1.866342013772737,2.414915008557728,37.97018906240939,39.18079499708256,1.8435316667667696,2.4084250027954117,1.3708607986700372,1.8932450089778283,1.009011772159376,3.080481267319483,0.8210978632964795,0.569529218641066,0.3704869287079889,0.2308184733654102,0.5723735542273081,1.583157702571447,0.2980874388215246,11.510070021275164,3.1845004558563232,475.8333333333333,0.7533217680608322,0.952866639739502,0.9398694248943436,21.5412109375,0.6948834988540871,0
EngineeringROI_v2_B10,484.7946787000401,24.239733935002004,19.0,0.0511984060284909,0.0,0.099831247942048,0.8154423636111882,646.81875,0.0049530116929956,0.0153385671251804,0.003840791039205,34.828224182128906,55.04053767366612,56.23578500089934,1.9636317014323543,2.5471599976299326,73.42274090293965,74.9169150047237,1.856796180461768,2.4241199920652434,1.4030597918008425,1.946064989897422,1.0108714804925885,3.924198262556296,0.824878964938737,0.5750395253898757,0.374624130845189,0.2383750239589631,0.5693170418235856,1.5893343874003067,0.2924922695902207,11.443972988111138,3.141000413894653,481.8333333333333,0.8245129163792915,0.959806184114856,0.9391522731399384,21.795452880859376,0.6948834988540871,0
EngineeringROI_v2_B20,721.2404166000342,36.062020830001714,37.0,0.2142143484024336,0.0,0.1022881926098361,0.8594063446602189,1624.584375,0.0124402476051182,0.0339652442230576,0.016256353008935,35.89924240112305,55.00570048609714,56.26285499893128,2.13051614593193,2.727580002829199,154.97478388884804,157.39186999126105,2.020804236063769,2.6900849945377554,1.487190208232884,2.0686150048277336,1.0131587975364855,5.255012192225453,0.8266265746555206,0.5778754493765565,0.3822627853738081,0.254627518495844,0.5674227578400004,1.6282817903746296,0.276627867991331,12.933847717823062,3.498000383377075,493.6666666666667,0.5515318923878729,0.5777059282536141,0.9200893880510888,21.565250651041666,0.684782488753077,0
