method,total_worker_wall_runtime_seconds,mean_case_wall_runtime_seconds,mean_selected_patch_count,mean_active_coverage,mean_consecutive_overlap,mean_support_fraction,mean_blocked_local_change_fraction,mean_blocked_wet_creation_count,mean_raw_local_new_wet_fraction,mean_depth_guard_activation_fraction,mean_depth_guard_abs_clip_m,max_depth_guard_abs_clip_m,global_forward_mean_ms_step,global_forward_p95_ms_step,roi_scoring_mean_ms_step,roi_scoring_p95_ms_step,local_correction_mean_ms_step,local_correction_p95_ms_step,support_guard_mean_ms_step,support_guard_p95_ms_step,depth_guard_mean_ms_step,depth_guard_p95_ms_step
SupportRisk_Base_B10,481.9093885000184,24.09546942500092,19.0,0.0688381037403462,0.3997076023391813,0.0865523902446909,0.8566628417281834,659.5753472222223,0.0050506952793241,0.0,0.0,0.0,54.684693541508345,55.73243999606348,1.9253078818261808,2.4699300054635387,72.88305635402139,74.20838999241823,1.8313087151454963,2.3454500034858934,0.6797381945034431,0.946634990395978
SupportRisk_Temporal_B10,481.2580366000184,24.06290183000092,19.0,0.0755553784759711,0.0,0.0859152440741619,0.8655529564657533,682.5020833333333,0.0052262566588304,0.0,0.0,0.0,54.64101315961266,55.68256499536801,1.91442489562582,2.4857749951479486,72.87852861100974,74.27056500018807,1.820655972318895,2.32752001247718,0.672002187664273,0.9386000019731
SupportRisk_DepthGuard_B10,504.574277000007,25.22871385000035,19.0,0.0387317108163825,0.9555372807017544,0.0979600245763064,0.7685478091167622,538.0795138888889,0.0041203414775052,0.0145574972624452,0.0040063400191582,37.82213592529297,55.42109229183754,58.258700008445885,2.2447464236089822,3.47947999543976,73.94690256954466,78.11105000437237,2.055564617937004,2.9648450050444803,1.5787190277781822,2.34784500717069
EngineeringROI_v2_B05,379.5468224999786,18.97734112499893,10.0,0.0160096960910186,0.0,0.0994473016474675,0.6992820138740654,260.3329861111111,0.0019934986799328,0.0109442920390123,0.0018148356172534,39.06671142578125,54.75269010431576,55.839369995374,1.866342013772737,2.414915008557728,37.97018906240939,39.18079499708256,1.8435316667667696,2.4084250027954117,1.3708607986700372,1.8932450089778283
EngineeringROI_v2_B10,484.7946787000401,24.239733935002004,19.0,0.0511984060284909,0.0,0.099831247942048,0.8154423636111882,646.81875,0.0049530116929956,0.0153385671251804,0.003840791039205,34.828224182128906,55.04053767366612,56.23578500089934,1.9636317014323543,2.5471599976299326,73.42274090293965,74.9169150047237,1.856796180461768,2.4241199920652434,1.4030597918008425,1.946064989897422
EngineeringROI_v2_B20,721.2404166000342,36.062020830001714,37.0,0.2142143484024336,0.0,0.1022881926098361,0.8594063446602189,1624.584375,0.0124402476051182,0.0339652442230576,0.016256353008935,35.89924240112305,55.00570048609714,56.26285499893128,2.13051614593193,2.727580002829199,154.97478388884804,157.39186999126105,2.020804236063769,2.6900849945377554,1.487190208232884,2.0686150048277336
