method,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio,arrival_MAE_s,peak_Q_relative_error,peak_Qdebris_relative_error,peak_hmax_relative_error,peak_stage_absolute_error,wet_width_relative_error,missed_arrival_count,truth_no_arrival_count
FrozenGlobal,0.0,0.0,0.0,13.173871884998515,0.4616599190785261,0.967675557177526,0.803065479947209,0.546030767909166,0.571216399607337,0.674336341052938,0.5592700003173806,3.2430004596710207,11.912151311910051,0.5879595951480222,0.2204670519066759,0.9443113950554108,0.9478701963785664,0.5995450180749666,0.3597991380067261,0.246521449200047,0.0090204862723545,0.0090537866105318,0.7103560207245261,0.0,1.6621865827565692,1.1218518706588754,1.00869693137439,0.7800033998307074,4.169364691207173,1.0698482030292855,2.956730982348409,1.6367272800870991,501.8333333333333,0.7023555156402953,0.9271843836803678,0.9398868147586348,22.05167846679688,0.6982168321874203,0,0
RandomAll_B10,0.1040490602976723,0.1,19.0,24.079363090000697,0.4415194991198115,0.9468104711457233,0.7695269767302101,0.5520775997079606,0.5125048776410182,0.6488610214837938,0.5318655716636456,3.4845001697540283,12.877747936103445,0.5002491504478348,0.3292903511231399,1.1807062989641708,0.9690377917751016,0.6346155454849182,0.3915336620964543,0.1877098438217405,0.0134877929476297,0.0135659321975295,0.7007463048891294,19.0,1.4415608997274756,1.0434059100672135,0.947769247023002,0.7201923951974517,2.565421695544015,0.956274879588525,1.8666146910234445,1.2626779002733788,482.5,0.6824365274412655,0.7593608640286827,0.4049704792724157,11.960493977864584,0.6948834988540871,0,0
RandomSupport_B10,0.1412892106313264,0.1,19.0,24.05816016999888,0.4356332031219072,0.9369756124171073,0.7661233577492989,0.5629053996118921,0.5037713519497498,0.6298282740228983,0.5329724542040108,3.385500383377076,12.897497696058036,0.4708720650273997,0.3446754899445315,1.6716980258250704,1.0085765951906525,0.6275014059964369,0.3966212277159605,0.2681979728647327,0.0155688567763393,0.0156765972052703,0.6937514305333028,19.0,1.398562099375726,1.0211111551701622,1.1255382638133749,0.7093970872745224,2.218401108563752,0.9356841598872846,1.6337430885420552,1.147795921146866,474.6666666666667,0.6762838739918885,0.7303756222409994,0.6004392084842519,8.630741373697917,0.6948834988540871,0,0
EngineeringROI_B10,0.1289875982605573,0.1,19.0,24.75577455000239,0.4762464903495538,0.9065817618004748,0.8716144036250685,0.6275885134149228,0.5210791267409275,0.6015293105009918,0.5746677131710277,4.115999841690064,11.826947587504192,0.4867711738386643,0.3122490190369808,23.631854821757635,1.7833149255000496,0.5930335896023361,0.3906887285533582,0.6762753242529167,0.0121502880923627,0.0122563482135865,0.5840425310555776,19.0,1.3904129767510116,1.0574604729704236,8.396897757784565,0.7267522085952846,2.050635953053382,0.9442301281517258,1.5219844244391978,1.1939048856988597,400.0,1.1141400226818154,1.4728115024935664,10.006329016359125,285.95216674804686,0.6948834988540871,0,0
SupportRiskOnly_B10,0.0688381037403462,0.1,19.0,24.229552979999426,0.484247520423742,0.9110321340744686,0.7539216352341835,0.6194083538136599,0.5226390859700127,0.603700565941957,0.5711338322537531,3.1515002727508543,11.204066287730054,0.5548434626847705,0.2713151646895591,0.9349228467996886,0.9395512510535706,0.6186586806679182,0.3571680058275521,0.1898638592304909,0.0095439876314857,0.0096066081245235,0.5941793767383147,19.0,1.5067354167234537,1.0760776395915577,1.177499992079342,0.7378023738944103,3.214456559446036,0.9780694886191604,2.3003308927242614,1.3675539336721954,479.0,0.8207572964460312,0.967093890403118,0.9293359035357196,21.481534830729167,0.6948834988540871,0,0
SupportRisk_Base_B10,0.0688381037403462,0.1,19.0,24.09546942500092,0.484247520423742,0.9110321340744686,0.7539216352341835,0.6194083538136599,0.5226390859700127,0.603700565941957,0.5711338322537531,3.1515002727508543,11.204066287730054,0.5548434626847705,0.2713151646895591,0.9349228467996886,0.9395512510535706,0.6186586806679182,0.3571680058275521,0.1898638592304909,0.0095439876314857,0.0096066081245235,0.5941793767383147,19.0,1.5067354167234537,1.0760776395915577,1.177499992079342,0.7378023738944103,3.214456559446036,0.9780694886191604,2.3003308927242614,1.3675539336721954,479.0,0.8207572964460312,0.967093890403118,0.9293359035357196,21.481534830729167,0.6948834988540871,0,0
SupportRisk_Temporal_B10,0.0755553784759711,0.1,19.0,24.06290183000092,0.4646322154154792,0.9257528169678698,0.7424708671525805,0.5761950169949316,0.5039114061416435,0.5986028645379085,0.5398135655915155,3.1875004291534426,11.289820888013722,0.5503449442773054,0.2778230402782569,0.9325958120122873,0.9422953644471266,0.6205741330010192,0.3591567346199174,0.1432380069582583,0.010609309667819,0.0106701911131323,0.6502770899658059,19.0,1.4840290858668683,1.0788023509074105,1.0856831233985604,0.7244496684294681,2.9344475648670443,0.96242363563472,2.108972257671314,1.3565530730981168,484.5,0.8409834742510839,0.9723518132740768,0.9303500727540104,21.479972330729165,0.6948834988540871,0,0
SupportRisk_DepthGuard_B10,0.0387317108163826,0.1,19.0,25.22871385000035,0.4920955935125611,0.91764249156669,0.8341358693982447,0.6350854457938024,0.5624149240252637,0.6422177898077125,0.5983958842585602,3.1845004558563232,11.45027222364084,0.5591881324418795,0.2412144094102969,0.944019389600326,0.9493700150244756,0.6139824508316731,0.3799508323079737,0.3202048738626539,0.0084678623600582,0.0085161148734465,0.5991177510976092,19.0,1.5599672741453978,1.1030022842774785,1.0061681108270728,1.0775328118575758,5.016546158852496,1.1589911695226809,3.582462345396704,1.5455207614911657,475.6666666666667,0.7848125762195967,0.9508880912147514,0.9400633800027188,21.630716959635414,0.6948834988540871,0,0
EngineeringROI_v2_B05,0.0160096960910186,0.05,10.0,18.97734112499893,0.4771072439595681,0.9376325252857064,0.8210978632964795,0.5960563317922495,0.5439002866002708,0.60941866607378,0.569529218641066,3.1845004558563232,11.510070021275164,0.5723735542273081,0.2308184733654102,0.9441628640350423,0.9484217469179974,0.6043349555796098,0.3704869287079889,0.2980874388215246,0.0085277443401022,0.0085701403369813,0.6328714011250061,10.0,1.590566142102952,1.1006640164280344,1.009011772159376,0.7681674334088009,4.3536539106796734,1.0661988078894966,3.080481267319483,1.583157702571447,475.8333333333333,0.7533217680608322,0.952866639739502,0.9398694248943436,21.5412109375,0.6948834988540871,0,0
EngineeringROI_v2_B10,0.0511984060284909,0.1,19.0,24.239733935002004,0.4751060408384935,0.9304689885274888,0.824878964938737,0.5974544192083043,0.5535478033607283,0.6005408184178104,0.5750395253898757,3.141000413894653,11.443972988111138,0.5693170418235856,0.2383750239589631,0.9439272922558544,0.9498865983785892,0.614017819066614,0.374624130845189,0.2924922695902207,0.0085370092138201,0.0085795524484379,0.6325731566061161,19.0,1.554710593147024,1.0986258439615617,1.0108714804925885,1.2428754606762324,5.479359995450964,1.1174305871038537,3.924198262556296,1.5893343874003067,481.8333333333333,0.8245129163792915,0.959806184114856,0.9391522731399384,21.795452880859376,0.6948834988540871,0,0
