section,chainage_m,x,y,tangent_x,tangent_y,span_m
R0,0.0,354426.653264872,3130942.006006,-1.0,0.0,256
R1,4926.866477505887,351471.4004259015,3134424.056490108,-1.0,0.0,256
R2,9853.732955011774,347225.33927600365,3135330.2218999197,-1.0,0.0,256
R3,14780.599432517662,344302.5552370144,3132499.116294448,-1.0,0.0,256
R4,19707.465910023548,340900.994467,3129256.533688,-1.0,0.0,256
