chainage_m,x,y
0.0,354426.653264872,3130942.006006
8.770579618227202,354417.88268525375,3130942.006006
28.770579618227202,354397.88268525375,3130942.006006
48.7705796182272,354377.88268525375,3130942.006006
68.7705796182272,354357.88268525375,3130942.006006
88.7705796182272,354337.88268525375,3130942.006006
108.7705796182272,354317.88268525375,3130942.006006
128.7705796182272,354297.88268525375,3130942.006006
148.7705796182272,354277.88268525375,3130942.006006
168.7705796182272,354257.88268525375,3130942.006006
188.7705796182272,354237.88268525375,3130942.006006
208.7705796182272,354217.88268525375,3130942.006006
228.7705796182272,354197.88268525375,3130942.006006
248.7705796182272,354177.88268525375,3130942.006006
268.7705796182272,354157.88268525375,3130942.006006
288.7705796182272,354137.88268525375,3130942.006006
308.7705796182272,354117.88268525375,3130942.006006
328.7705796182272,354097.88268525375,3130942.006006
348.7705796182272,354077.88268525375,3130942.006006
368.7705796182272,354057.88268525375,3130942.006006
388.7705796182272,354037.88268525375,3130942.006006
408.7705796182272,354017.88268525375,3130942.006006
428.7705796182272,353997.88268525375,3130942.006006
448.45663293508994,353978.2127688739,3130942.8029280817
468.45663293487974,353964.07026020426,3130956.9446906494
488.4566329350399,353949.92775153456,3130971.0864532175
508.45663293515895,353935.7852428649,3130985.2282157857
528.4566329349487,353921.6427341953,3130999.3699783534
548.4566329351089,353907.5002255256,3131013.5117409215
568.4566329348987,353893.35771685594,3131027.653503489
588.4566329350178,353879.2152081863,3131041.7952660574
608.4566329351779,353865.0726995166,3131055.9370286255
628.4566329349677,353850.93019084696,3131070.078791193
648.4566329350868,353836.7876821773,3131084.2205537613
668.4566329349177,353822.6451735076,3131098.362316329
688.4566329350367,353808.502664838,3131112.504078897
708.4566329351558,353794.36015616835,3131126.6458414653
728.4566329349867,353780.21764749865,3131140.787604033
748.4566329351057,353766.075138829,3131154.929366601
768.4566329348955,353751.93263015937,3131169.071129169
788.4566329350557,353737.79012148967,3131183.212891737
808.4566329351748,353723.64761282003,3131197.354654305
828.4566329349645,353709.5051041504,3131211.496416873
848.4566329351247,353695.3625954807,3131225.638179441
868.4566329349145,353681.22008681105,3131239.7799420087
888.4566329350336,353667.0775781414,3131253.921704577
908.4566329351937,353652.9350694717,3131268.063467145
928.4566329349835,353638.7925608021,3131282.2052297127
948.4566329351026,353624.65005213243,3131296.346992281
968.4566329349335,353610.50754346274,3131310.4887548485
988.4566329350525,353596.3650347931,3131324.6305174166
1008.4566329351716,353582.22252612346,3131338.772279985
1028.4566329349614,353568.0800174538,3131352.9140425525
1048.4566329351217,353553.9375087841,3131367.0558051206
1068.4566329349113,353539.7950001145,3131381.1975676883
1088.4566329350305,353525.65249144484,3131395.3393302565
1108.4566329348613,353511.50998277514,3131409.481092824
1128.4566329349805,353497.3674741055,3131423.6228553923
1148.4566329350996,353483.22496543586,3131437.7646179604
1168.4566329349304,353469.08245676616,3131451.906380528
1188.4566329350496,353454.9399480965,3131466.0481430963
1208.4566329348393,353440.7974394269,3131480.189905664
1228.4566329349996,353426.6549307572,3131494.331668232
1248.4566329351187,353412.51242208754,3131508.4734308003
1268.4566329349084,353398.3699134179,3131522.615193368
1288.4566329350687,353384.2274047482,3131536.756955936
1308.3721406970417,353372.16197104397,3131552.601600424
1328.3721406969116,353361.0675651341,3131569.2423383133
1348.3721406971367,353349.97315922426,3131585.883076203
1368.3721406969744,353338.87875331444,3131602.5238140924
1388.372140696812,353327.7843474046,3131619.1645519817
1408.3721406970371,353316.6899414948,3131635.8052898715
1428.3721406968748,353305.59553558496,3131652.446027761
1448.3721406971,353294.50112967513,3131669.0867656507
1468.3721406969698,353283.40672376525,3131685.72750354
1488.3721406968075,353272.3123178554,3131702.3682414293
1508.3721406970326,353261.2179119456,3131719.008979319
1528.3721406968702,353250.1235060358,3131735.6497172085
1548.3721406970953,353239.02910012595,3131752.2904550983
1568.372140696933,353227.9346942161,3131768.9311929876
1588.372140697158,353216.8402883063,3131785.5719308774
1608.3721406969958,353205.74588239647,3131802.2126687667
1628.3721406968657,353194.6514764866,3131818.853406656
1648.3721406970908,353183.55707057676,3131835.494144546
1668.3721406969285,353172.46266466693,3131852.134882435
1688.3721406971536,353161.3682587571,3131868.775620325
1708.3721406969912,353150.2738528473,3131885.4163582143
1728.3721406968289,353139.17944693746,3131902.0570961037
1748.372140697054,353128.08504102763,3131918.6978339935
1768.372140696924,353116.99063511775,3131935.338571883
1788.372140697149,353105.8962292079,3131951.9793097726
1808.3721406969867,353094.8018232981,3131968.620047662
1828.3721406968243,353083.7074173883,3131985.2607855513
1848.3721406970494,353072.61301147845,3132001.901523441
1868.372140696887,353061.5186055686,3132018.5422613304
1888.3721406971122,353050.4241996588,3132035.18299922
1908.3721406969498,353039.32979374897,3132051.8237371095
1928.3721406968198,353028.2353878391,3132068.464474999
1948.3721406970449,353017.14098192926,3132085.1052128887
1968.3721406968825,353006.04657601943,3132101.745950778
1988.3721406971076,352994.9521701096,3132118.386688668
2008.3721406969453,352983.8577641998,3132135.027426557
2028.372140696783,352972.76335828996,3132151.6681644465
2048.372140697008,352961.66895238013,3132168.3089023363
2068.3721406968457,352950.5745464703,3132184.9496402256
2088.372140697103,352939.4801405604,3132201.5903781154
2108.3721406969407,352928.3857346506,3132218.2311160048
2128.372140697166,352917.2913287408,3132234.8718538946
2148.3721406970035,352906.19692283095,3132251.512591784
2168.372140696841,352895.1025169211,3132268.153329673
2188.3721406970662,352884.0081110113,3132284.794067563
2208.372140696904,352872.91370510147,3132301.4348054524
2228.3721406971613,352861.8192991916,3132318.075543342
2248.372140696999,352850.72489328176,3132334.7162812315
2268.3721406968366,352839.63048737193,3132351.357019121
2288.3721406970617,352828.5360814621,3132367.9977570106
2308.3721406968994,352817.4416755523,3132384.6384949
2328.3721406971245,352806.34726964246,3132401.2792327898
2348.372140696962,352795.25286373263,3132417.919970679
2368.3721406967998,352784.1584578228,3132434.5607085684
2388.372140697057,352773.0640519129,3132451.201446458
