run_id,Q_peak,T_in,entrainment_enabled,entrainment_method,inflow_volume_m3,runtime_s,solver_exit_code,solver_completed,finite_fields,maximum_CFL_from_log,numerically_clean,raw_max_speed_h_gt_001,max_speed_h_gt_01,max_speed_h_gt_1,p99_speed_h_gt_01,front_60_s,front_120_s,front_240_s,front_420_s,front_600_s,max_front_distance_m,final_front_distance_m,reached_port_proxy
G1,30000,60,False,0,900000.0,148.1159262061119,0,True,True,0.76434,True,99.0753418407819,99.0753418407819,46.25413878655476,30.699267747309,761.3956283031214,1321.4211695168513,1444.6650151191998,1470.805689975674,1470.805689975674,1470.805689975674,1470.805689975674,False
G2,30000,60,True,0,900000.0,180.4519009143114,0,True,True,0.66266,True,136.32339953124193,136.32339953124193,136.32339953124193,34.64129879117518,872.6901777606242,1478.2652186556957,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,False
G3,30000,90,True,0,1350000.0,187.97919581457973,0,True,True,0.53714,True,151.072082338206,151.072082338206,151.072082338206,37.067569821792794,785.0965709963764,1461.465116887448,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,False
G4,30000,120,True,0,1800000.0,183.63370307907462,0,True,True,0.58657,True,149.31829018353753,149.31829018353753,149.31829018353753,38.00124389571309,697.5029642321286,1358.783461869756,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,1951.113009059333,False
