method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
SmoothOracleV2_B10,JILONG_EI_0009,820,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,830,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,840,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,850,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,860,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,870,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,880,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,890,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,900,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,910,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,920,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,930,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,940,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,950,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,960,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,970,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,980,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,990,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1000,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1010,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1020,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1030,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1040,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1050,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1060,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1070,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1080,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1090,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1100,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1110,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1120,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1130,0.1,19,182,0.10529822116378618
