trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_c_rel_l2,trajectory_ice_rel_l2,trajectory_dz_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_c_rel_l2,change_region_ice_rel_l2,change_region_dz_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,mixture_volume_relative_error,debris_front_mae_km,debris_front_final_error_km,newly_wet_iou,newly_wet_precision,newly_wet_recall,false_positive_wet_fraction,wet_overprediction_ratio,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,__change_num_h,__change_den_h,__change_num_hu,__change_den_hu,__change_num_hv,__change_den_hv,__change_num_c,__change_den_c,__change_num_ice,__change_den_ice,__change_num_dz,__change_den_dz,__new_intersection,__new_union,__new_pred,__new_truth,method,scenario_id,budget_fraction,selected_patch_count,active_cell_coverage_fraction
0.9481763244593536,0.5767442103832584,1.509705955911507,1.3546151720135104,0.8895138010906649,1.0360401535675319,1.1300468717728331,0.678677945313478,0.40698098793051973,0.5396756148481582,0.3946445824376779,0.6340698466161055,0.8675225240849577,0.47847961253006505,0.41474973224268613,0.2682993197278912,0.43701494659487317,11.544929845022484,4.260000228881836,0.012287900062728676,0.012345955911625878,0.7232295361976088,0.5100939849084959,1.4329683029333122,0.9466929841729599,0.9253008911571139,0.6129028468417806,15813257.142716646,34331585.49860616,7258506066.813965,43822686784.623886,12968641114.035156,44527558414.58065,6264.398112416267,40222.31467985641,102.99377015001119,256.1750057976751,54564.08693242073,72501.22977417707,11009,895922,891709,15222,SmoothOracleV2_B10,JILONG_EI_0009,0.1,19,0.10529822116378618
0.9430172427305067,0.5679798601333826,1.7792677586847483,1.3125790643112438,0.9094756230555826,1.0228352401601226,1.2966457922563557,0.6861263817316022,0.38769524063506733,0.46508352168676625,0.3991080921711403,0.6484840630673451,0.8816036118179625,0.43008092731814856,0.4290128634861976,0.2871667419792137,0.432856918466089,11.766170537270975,5.909999847412109,0.012778805572866862,0.012832871430292806,0.7520536100302637,0.49204961361474087,1.404573803156357,0.9412108733476364,0.928216944184485,0.621534071043755,11946625.251053344,25376808.590233617,4442422656.814298,29555542556.124622,7072149831.083807,32695617830.375175,5531.015982806683,34723.52818476036,55.677715632442414,132.39841732103378,62922.023042201996,80957.28886890411,10437,816743,813302,13878,SmoothOracleV2_B10,JILONG_EI_0019,0.1,19,0.10529822116378618
0.9524418238242798,0.5853149834449779,2.012234448454794,1.4722800048393745,0.8875186405961984,1.0194314066478307,1.4698822596149355,0.6805536390947228,0.405847838787762,0.5094237289129219,0.41838644340952774,0.6331861883579717,0.8729508285573297,0.46249059704744455,0.4052501514718306,0.2700739928747602,0.4103541061719365,11.691338378044081,3.6599998474121094,0.011876004483224118,0.011927466932975842,0.7335113484646195,0.5278894414646192,1.4999552082471954,0.9449129732191224,0.9172995929209283,0.6361582001091208,13344223.666994844,28811680.589952502,5930854322.834415,36007318607.353355,10075695206.606102,38825466307.84117,6504.18307197094,37156.73530562222,135.31063861019916,337.49634789254924,70474.89716744423,92481.5048237443,10988,925227,921235,14980,SmoothOracleV2_B10,JILONG_EI_0029,0.1,19,0.10529822116378618
0.9525646206431383,0.5934267464301359,2.4799669072443717,1.5316861542776035,0.8711631766717775,1.0065827897108182,1.7813132042477686,0.681851056513396,0.4070519364819102,0.469989174836129,0.43199572611373904,0.6378330583079576,0.8719059894743628,0.44122891036158757,0.4107318112306044,0.2819300615338436,0.39791786704275967,12.883943703602737,4.85999870300293,0.012438260702974862,0.012487002722666651,0.761137162954279,0.5145550296481587,1.4492801150019092,0.9413097688773664,0.9098682433828261,0.6423925671062333,9636481.886235218,20727144.440217003,4133228255.631836,24945357901.363438,6095698960.849121,27596105776.552704,5963.468912422657,31955.091040883213,148.79482623113836,365.74111234099837,58449.7640029192,76885.32242523134,10388,835165,831905,13648,SmoothOracleV2_B10,JILONG_EI_0039,0.1,19,0.10529822116378618
0.9478369681394192,0.5842783279584036,1.5781692341543923,1.3178485527694608,0.8906891988308586,1.0401575751081076,1.1865701352826026,0.6824542567270497,0.40109781997820565,0.5367479536292107,0.41486696015549823,0.6733156387301217,0.8548567915673093,0.4756828218649888,0.39714833959652107,0.2642124237382141,0.46711394116656785,9.854056160141537,1.470001220703125,0.012638841306190158,0.012705623782118095,0.70627873291769,0.5205146365053053,1.4042461343308612,0.9481016155172013,0.9315878622000208,0.5885866350031598,16023040.164166607,34403119.76943549,7178591171.053973,44620929967.68163,13597630420.057507,47197874190.75491,7135.3206307291985,41456.80176700652,71.19414075253599,157.03875714167316,59434.78956532478,81330.60382030904,11215,887344,882680,15879,SmoothOracleV2_B10,JILONG_EI_0049,0.1,19,0.10529822116378618
0.9459609861020077,0.5815570722377733,1.6839575866882401,1.3562294836195012,0.8926658479048836,1.024113743625575,1.2441817307166247,0.6865742606919503,0.4003193408665822,0.4710086195685649,0.4140651631466766,0.6374205497492771,0.8698427279754224,0.43869528031274035,0.41793541765369846,0.2837401426962073,0.43401783539331373,11.198450994349912,4.710000991821289,0.01279757725994103,0.012856102362444083,0.7376168550299986,0.5013685952918855,1.403404748118124,0.9441333512189435,0.9234010045992236,0.6122705067961808,11829418.44645524,25095066.9514793,4823420185.71814,30098298892.845074,7313854443.964844,32967696484.868633,6058.390993177891,35336.20548405871,64.45555391271773,158.63836451845418,53962.00005364418,71319.21658104658,10573,826172,822411,14334,SmoothOracleV2_B10,JILONG_EI_0059,0.1,19,0.10529822116378618
0.9468225307284375,0.5906971970916762,1.4327353325750312,1.3121407079084413,1.044678480130064,1.0375099011907216,1.090759874437623,0.6825415839313594,0.40396686429842416,0.528864223857995,0.4183204178106395,1.0385749025449826,0.876504823153373,0.47200788655703,0.39049440327036694,0.2648785791953606,0.46071272611574915,9.686014229496875,1.6200008392333984,0.012539306208446909,0.012603254754521254,0.7119235240924945,0.5265974043217048,1.4118545734021912,0.948971933567557,0.9390244729783435,0.5838935050446883,15149662.985663798,32519565.917531945,6839797944.882716,41913293246.8365,12278494384.659084,43899213296.85787,7206.101174116135,41179.61009020358,60.88723793247962,56.4482686781848,72135.90817403793,93895.09017384052,11022,878996,874536,15482,SmoothOracleV2_B10,JILONG_EI_0069,0.1,19,0.10529822116378618
0.944310483900564,0.5898084737136912,1.5622390132559338,1.3407399257875787,0.93895125986448,1.0247653389662204,1.1672247402690896,0.687326641909768,0.40165223387567334,0.4642812068579785,0.42236282092251576,0.7223337590436025,0.8720594040022821,0.4359092707074036,0.4107631759946819,0.28238993710691823,0.4423467312637093,10.677887569876834,3.0600013732910156,0.013157911264805006,0.013219083434816353,0.739812133625256,0.5025337913020699,1.3771459593881072,0.9446940257999905,0.925307793026279,0.5976518222728765,10753215.603127962,22762082.71220981,4359205783.916098,27021347192.559578,6543533372.050142,30356389200.495186,6158.457307219505,34522.367499114014,44.01020468104542,84.34853874377063,53751.59317064285,70680.4330277443,10475,796099,792415,14159,SmoothOracleV2_B10,JILONG_EI_0079,0.1,19,0.10529822116378618
0.9497810337074594,0.5757987529091925,1.3751763159384591,1.353347608174347,0.8605830925578672,1.0333036200725438,1.0492642194466633,0.6795792633067208,0.39940223227342053,0.5377232599103444,0.40385751520165725,0.6378480014742998,0.8551846831777874,0.4741723760606788,0.4059443270819274,0.2633093525179856,0.4506075095564959,10.744195953949347,3.1800003051757812,0.012302122993083574,0.01236386582964325,0.7112724541528447,0.5199878163882057,1.4434712267619034,0.9472060986240185,0.9309099215343623,0.6101919518803812,16818883.150372874,36418069.187190264,7696531949.665527,48247420689.86666,14169764966.209839,49005519897.72861,6773.629774451256,41530.304752483964,136.34694380900692,335.1282274788109,67852.50020217896,92778.21813547611,11364,923743,919130,15977,SmoothOracleV2_B10,JILONG_EI_0089,0.1,19,0.10529822116378618
0.9466536722341822,0.567736263607748,1.989841933312794,1.369724104994699,0.8499168370404504,1.0147985358402623,1.4457333560276415,0.686422632012598,0.3958151409805557,0.4719294276410985,0.41135836630339423,0.6391317651581232,0.8659718284604558,0.4372616943040597,0.42196490876199705,0.2804913087200115,0.4336184966932808,11.496338334721578,4.440000534057617,0.012849488214608155,0.012909233046769318,0.7351992865473005,0.4987877969957609,1.4028396763590478,0.9455895604667,0.9140932614687082,0.6309196872474488,12218356.737792969,25931617.838365976,4922968869.82959,31422612033.22519,7666360668.711426,34421923012.18359,5978.392768502235,35330.011182207614,152.8679726790706,374.22750192903914,61170.389097213745,81570.61096382141,10717,834041,830181,14577,SmoothOracleV2_B10,JILONG_EI_0099,0.1,19,0.10529822116378618
0.9385224245565155,0.5519277239373288,1.8318162697922327,1.222188928529734,0.9104917998743678,1.0290635102847512,1.3263312805378462,0.6885684613904639,0.37838969617086304,0.4577387328731505,0.39296888915425626,0.675255431645886,0.8730743675244317,0.42211077967187005,0.4346658572798932,0.2859184594553934,0.4614698615339356,11.398085468627038,4.350000381469727,0.013193402917559329,0.013253320984488677,0.7447845723707792,0.4785340217930578,1.3514130971921816,0.9420336427991459,0.9341644322387475,0.6109874156998685,12667723.005116673,26718022.109859217,4398443306.822815,30719942261.082848,7186359858.721504,34298382133.7913,5471.682538330555,35432.725008778274,45.68549656574578,100.19410660531139,57104.03837585449,74914.23455935717,10389,787439,783879,13949,SmoothOracleV2_B10,JILONG_EI_0109,0.1,19,0.10529822116378618
0.9468211297319822,0.5775488828944295,2.67136705121116,1.439512866824661,0.8499792573203261,1.0054087352343335,1.8940800015006023,0.6898329000276852,0.3953035875439828,0.44200626735202925,0.41329179100667385,0.6490464026503825,0.8701662805543997,0.42121135859888315,0.4375408466630393,0.29454714929314896,0.4062948202767893,13.533380420485013,6.869999885559082,0.012707813246932596,0.012758264875976867,0.7626713420465413,0.47847607571652606,1.3689882461719505,0.9318995106603049,0.9259177468202306,0.6443828788333924,8696064.882336749,18274056.568535265,3119765960.456773,19964594959.49474,4596573714.696594,23527586264.43009,5066.9390588998795,29664.164619132876,184.30264801126395,437.5020383175179,37810.244010806084,49934.99145291746,9570,753080,750102,12548,SmoothOracleV2_B10,JILONG_EI_0119,0.1,19,0.10529822116378618
