method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
RandomPerfect_B05,JILONG_EI_0009,680,0.05,10,182,0.07354258716144298
RandomPerfect_B05,JILONG_EI_0009,690,0.05,10,182,0.034129457619590936
RandomPerfect_B05,JILONG_EI_0009,700,0.05,10,182,0.039535649470484185
RandomPerfect_B05,JILONG_EI_0009,710,0.05,10,182,0.03718479833985497
RandomPerfect_B05,JILONG_EI_0009,720,0.05,10,182,0.039068542242574146
RandomPerfect_B05,JILONG_EI_0009,730,0.05,10,182,0.04743052737171781
RandomPerfect_B05,JILONG_EI_0009,740,0.05,10,182,0.03602851651338913
RandomPerfect_B05,JILONG_EI_0009,750,0.05,10,182,0.05942982288212817
RandomPerfect_B05,JILONG_EI_0009,760,0.05,10,182,0.08318337404568461
RandomPerfect_B05,JILONG_EI_0009,770,0.05,10,182,0.038402340130636876
RandomPerfect_B05,JILONG_EI_0009,780,0.05,10,182,0.02072884042545045
RandomPerfect_B05,JILONG_EI_0009,790,0.05,10,182,0.04641208046496313
RandomPerfect_B05,JILONG_EI_0009,800,0.05,10,182,0.050983605302049914
RandomPerfect_B05,JILONG_EI_0009,810,0.05,10,182,0.0672404683324272
RandomPerfect_B05,JILONG_EI_0009,820,0.05,10,182,0.0662909388855281
RandomPerfect_B05,JILONG_EI_0009,830,0.05,10,182,0.04205496550298259
RandomPerfect_B05,JILONG_EI_0009,840,0.05,10,182,0.012872250001914373
RandomPerfect_B05,JILONG_EI_0009,850,0.05,10,182,0.08108522026785919
RandomPerfect_B05,JILONG_EI_0009,860,0.05,10,182,0.04269053763276183
RandomPerfect_B05,JILONG_EI_0009,870,0.05,10,182,0.041120751047162514
RandomPerfect_B05,JILONG_EI_0009,880,0.05,10,182,0.051366480079025355
RandomPerfect_B05,JILONG_EI_0009,890,0.05,10,182,0.025690897535052187
RandomPerfect_B05,JILONG_EI_0009,900,0.05,10,182,0.03551546431224204
RandomPerfect_B05,JILONG_EI_0009,910,0.05,10,182,0.03167905904694811
RandomPerfect_B05,JILONG_EI_0009,920,0.05,10,182,0.08588646997113124
RandomPerfect_B05,JILONG_EI_0009,930,0.05,10,182,0.06859584504292027
RandomPerfect_B05,JILONG_EI_0009,940,0.05,10,182,0.08296896417057838
RandomPerfect_B05,JILONG_EI_0009,950,0.05,10,182,0.055310090281872414
RandomPerfect_B05,JILONG_EI_0009,960,0.05,10,182,0.029335865411858397
RandomPerfect_B05,JILONG_EI_0009,970,0.05,10,182,0.05864110084155876
RandomPerfect_B05,JILONG_EI_0009,980,0.05,10,182,0.0663751713364627
RandomPerfect_B05,JILONG_EI_0009,990,0.05,10,182,0.022505379390616503
RandomPerfect_B05,JILONG_EI_0009,1000,0.05,10,182,0.0469940501259658
RandomPerfect_B05,JILONG_EI_0009,1010,0.05,10,182,0.02373823617247743
RandomPerfect_B05,JILONG_EI_0009,1020,0.05,10,182,0.04609812314784326
RandomPerfect_B05,JILONG_EI_0009,1030,0.05,10,182,0.08035010069606635
RandomPerfect_B05,JILONG_EI_0009,1040,0.05,10,182,0.06453737240698057
RandomPerfect_B05,JILONG_EI_0009,1050,0.05,10,182,0.039305924604298915
RandomPerfect_B05,JILONG_EI_0009,1060,0.05,10,182,0.09994563178166949
RandomPerfect_B05,JILONG_EI_0009,1070,0.05,10,182,0.08670582199385869
RandomPerfect_B05,JILONG_EI_0009,1080,0.05,10,182,0.057339326599842255
RandomPerfect_B05,JILONG_EI_0009,1090,0.05,10,182,0.03995681172515717
RandomPerfect_B05,JILONG_EI_0009,1100,0.05,10,182,0.07009671416866399
RandomPerfect_B05,JILONG_EI_0009,1110,0.05,10,182,0.06093834950341141
RandomPerfect_B05,JILONG_EI_0009,1120,0.05,10,182,0.05548621267928112
RandomPerfect_B05,JILONG_EI_0009,1130,0.05,10,182,0.05167277990060571
RandomPerfect_B05,JILONG_EI_0009,1140,0.05,10,182,0.05764562642142261
RandomPerfect_B05,JILONG_EI_0009,1150,0.05,10,182,0.027076904227703286
RandomPerfect_B05,JILONG_EI_0009,1160,0.05,10,182,0.05436821833051282
RandomPerfect_B05,JILONG_EI_0009,1170,0.05,10,182,0.02824850104524814
RandomPerfect_B05,JILONG_EI_0009,1180,0.05,10,182,0.03492583715569986
RandomPerfect_B05,JILONG_EI_0009,1190,0.05,10,182,0.052813746735992526
RandomPerfect_B05,JILONG_EI_0009,1200,0.05,10,182,0.055807827491940486
RandomPerfect_B05,JILONG_EI_0009,1210,0.05,10,182,0.03912980220689021
