method,scenario_id,time_s,true_wet_error_fraction,false_positive_error_fraction,both_dry_error_fraction
OraclePerfectV2_B05,JILONG_EI_0009,10,0.7071612577462001,0.2779217289402306,0.01491700857678245
OraclePerfectV2_B05,JILONG_EI_0009,20,0.7899250011694686,0.18503223796454726,0.025042727094201737
OraclePerfectV2_B05,JILONG_EI_0009,30,0.7733192050824379,0.207310188150029,0.01937053147792197
OraclePerfectV2_B05,JILONG_EI_0009,40,0.8322124751322189,0.1625825140904749,0.005205018700730788
OraclePerfectV2_B05,JILONG_EI_0009,50,0.8049224161641227,0.18757189755441214,0.0075057191744810825
OraclePerfectV2_B05,JILONG_EI_0009,60,0.7509235457317552,0.23792357530846975,0.011152802827516807
OraclePerfectV2_B05,JILONG_EI_0009,70,0.8087280644134905,0.1803776311502984,0.01089432342066435
OraclePerfectV2_B05,JILONG_EI_0009,80,0.7632606592417595,0.22574035324558442,0.0109988416160423
OraclePerfectV2_B05,JILONG_EI_0009,90,0.6755570455106671,0.3133869778863283,0.01105594011239702
OraclePerfectV2_B05,JILONG_EI_0009,100,0.718354947043922,0.2676387496642516,0.014006369124842221
OraclePerfectV2_B05,JILONG_EI_0009,110,0.7473647921454569,0.23889361904284095,0.013741570019470042
OraclePerfectV2_B05,JILONG_EI_0009,120,0.7476973935088442,0.2362109965600491,0.016091556939269225
OraclePerfectV2_B05,JILONG_EI_0009,130,0.7186099169620763,0.2625299064427911,0.018860206497588346
OraclePerfectV2_B05,JILONG_EI_0009,140,0.6983278879578021,0.2825022045756241,0.019169766938023972
OraclePerfectV2_B05,JILONG_EI_0009,150,0.6742649827788074,0.3055093668827441,0.020225614791990303
OraclePerfectV2_B05,JILONG_EI_0009,160,0.6537675658473155,0.32529405666397176,0.020938406788564765
OraclePerfectV2_B05,JILONG_EI_0009,170,0.6177788897140367,0.36163800873657176,0.020583017794877357
OraclePerfectV2_B05,JILONG_EI_0009,180,0.6111309720909764,0.3682245389923149,0.020644470342069475
OraclePerfectV2_B05,JILONG_EI_0009,190,0.5840316199537685,0.3956852004620358,0.02028321389057607
OraclePerfectV2_B05,JILONG_EI_0009,200,0.5555079604618104,0.4225242624773133,0.021967708667828694
OraclePerfectV2_B05,JILONG_EI_0009,210,0.539908802698844,0.43810122326882855,0.021989939134945152
OraclePerfectV2_B05,JILONG_EI_0009,220,0.529366954723935,0.44766440076112773,0.02296862824892909
OraclePerfectV2_B05,JILONG_EI_0009,230,0.5520753464822526,0.4221297224246196,0.025794925776830162
OraclePerfectV2_B05,JILONG_EI_0009,240,0.5717801698982551,0.40192249113147105,0.02629724083508214
OraclePerfectV2_B05,JILONG_EI_0009,250,0.585253673448521,0.38774512132383426,0.02700119516395363
OraclePerfectV2_B05,JILONG_EI_0009,260,0.5945835482675468,0.3771940505375025,0.028222486783893455
OraclePerfectV2_B05,JILONG_EI_0009,270,0.598835885093318,0.37134708015985557,0.02981706834316087
OraclePerfectV2_B05,JILONG_EI_0009,280,0.5981617544586755,0.3697864216561297,0.032051819151430766
OraclePerfectV2_B05,JILONG_EI_0009,290,0.5969969248866983,0.3699009205104459,0.03310215460285576
OraclePerfectV2_B05,JILONG_EI_0009,300,0.5979849570215393,0.3677038731893792,0.034311215969905176
OraclePerfectV2_B05,JILONG_EI_0009,310,0.5980352276674258,0.36635341949876565,0.035611409745565654
OraclePerfectV2_B05,JILONG_EI_0009,320,0.5951141717382513,0.36763464525583883,0.037251153768565894
OraclePerfectV2_B05,JILONG_EI_0009,330,0.5923647716834846,0.3679959674692445,0.039639260847270895
OraclePerfectV2_B05,JILONG_EI_0009,340,0.5909658625769152,0.3679760268338306,0.041058057540634886
OraclePerfectV2_B05,JILONG_EI_0009,350,0.5885808883717961,0.3690627844958775,0.04235634462899778
OraclePerfectV2_B05,JILONG_EI_0009,360,0.5860417470423263,0.3701927251443497,0.04376547571530922
OraclePerfectV2_B05,JILONG_EI_0009,370,0.5846963200495737,0.37037690696277875,0.044926760066328064
OraclePerfectV2_B05,JILONG_EI_0009,380,0.5836541856022104,0.369583969982928,0.046761874300505164
OraclePerfectV2_B05,JILONG_EI_0009,390,0.5805958076111205,0.37081865005444065,0.04858552539056477
OraclePerfectV2_B05,JILONG_EI_0009,400,0.5749157148078706,0.37402563330302674,0.05105862665602975
OraclePerfectV2_B05,JILONG_EI_0009,410,0.5698700049827617,0.3770827205610778,0.05304727445616043
OraclePerfectV2_B05,JILONG_EI_0009,420,0.564694867828728,0.3794729315384265,0.055832183862863406
OraclePerfectV2_B05,JILONG_EI_0009,430,0.5610225225877602,0.3816700205011683,0.05730746529230525
OraclePerfectV2_B05,JILONG_EI_0009,440,0.5582822789302954,0.3817986972227149,0.05991902384698969
OraclePerfectV2_B05,JILONG_EI_0009,450,0.555794311903966,0.3827048660170507,0.06150090571879519
OraclePerfectV2_B05,JILONG_EI_0009,460,0.5508479901096401,0.38498343702331034,0.0641686189199755
OraclePerfectV2_B05,JILONG_EI_0009,470,0.546120637468854,0.38704888041606045,0.06683046539239787
OraclePerfectV2_B05,JILONG_EI_0009,480,0.5432928023695881,0.38752735981878367,0.06917985449698813
OraclePerfectV2_B05,JILONG_EI_0009,490,0.5409159908707231,0.3881397645273578,0.07094424460191912
OraclePerfectV2_B05,JILONG_EI_0009,500,0.5373694179488615,0.38881508059553394,0.07381543502149708
OraclePerfectV2_B05,JILONG_EI_0009,510,0.5342969529152544,0.3903590963079367,0.07534390945067786
OraclePerfectV2_B05,JILONG_EI_0009,520,0.5321479024621862,0.39006702469521487,0.07778506462661336
OraclePerfectV2_B05,JILONG_EI_0009,530,0.5297718044081852,0.3904709717660843,0.07975712579402415
OraclePerfectV2_B05,JILONG_EI_0009,540,0.5261381598797282,0.3916468416808297,0.08221499843944208
OraclePerfectV2_B05,JILONG_EI_0009,550,0.5227527438877251,0.3916244677333979,0.0856228045091456
OraclePerfectV2_B05,JILONG_EI_0009,560,0.5188821794933356,0.3936018712126445,0.08751583695244394
OraclePerfectV2_B05,JILONG_EI_0009,570,0.5148400523084018,0.3943321149039267,0.09082779285417956
OraclePerfectV2_B05,JILONG_EI_0009,580,0.5116943170215656,0.3952088771451261,0.09309684557788488
OraclePerfectV2_B05,JILONG_EI_0009,590,0.5089419552208053,0.39584226640821285,0.09521579419106714
OraclePerfectV2_B05,JILONG_EI_0009,600,0.5055838169817619,0.3974227500970486,0.09699348012379923
OraclePerfectV2_B05,JILONG_EI_0009,610,0.5026030323148513,0.3990640924734865,0.09833279698050254
OraclePerfectV2_B05,JILONG_EI_0009,620,0.49907431905368754,0.40018138048770024,0.10074433154885692
OraclePerfectV2_B05,JILONG_EI_0009,630,0.4960987742500132,0.4002755983474603,0.10362561195592034
OraclePerfectV2_B05,JILONG_EI_0009,640,0.49329499099696633,0.4010647910900104,0.10564026404142354
OraclePerfectV2_B05,JILONG_EI_0009,650,0.4906111783526374,0.4014223449310381,0.1079664002205038
OraclePerfectV2_B05,JILONG_EI_0009,660,0.48750310751840314,0.4030115449745124,0.10948540073103553
OraclePerfectV2_B05,JILONG_EI_0009,670,0.48472060442267273,0.4040173749152985,0.11126198288258936
OraclePerfectV2_B05,JILONG_EI_0009,680,0.48214371731129624,0.4045980392821423,0.11325818341972138
OraclePerfectV2_B05,JILONG_EI_0009,690,0.4789705246912846,0.404624973053281,0.11640447251291895
OraclePerfectV2_B05,JILONG_EI_0009,700,0.4764436931764172,0.4051643444730533,0.11839199187119073
OraclePerfectV2_B05,JILONG_EI_0009,710,0.4744102573594966,0.4058926465602339,0.11969703018167394
OraclePerfectV2_B05,JILONG_EI_0009,720,0.4717574769990325,0.4055682370556531,0.1226742278561955
OraclePerfectV2_B05,JILONG_EI_0009,730,0.4688465394579316,0.4066396638978267,0.12451373893121946
OraclePerfectV2_B05,JILONG_EI_0009,740,0.46711588436926216,0.4058604889761936,0.12702366959440156
OraclePerfectV2_B05,JILONG_EI_0009,750,0.4646521383775109,0.4060199232884668,0.12932789566466849
OraclePerfectV2_B05,JILONG_EI_0009,760,0.4627491869097834,0.40638091090922834,0.13086988807952774
OraclePerfectV2_B05,JILONG_EI_0009,770,0.4616089418170892,0.4053964681915106,0.13299454802732477
OraclePerfectV2_B05,JILONG_EI_0009,780,0.45986564625548354,0.40442029712508004,0.13571405661943645
OraclePerfectV2_B05,JILONG_EI_0009,790,0.4585411596277738,0.40362573646825617,0.13783313143549364
OraclePerfectV2_B05,JILONG_EI_0009,800,0.45702382125612206,0.40291362590359747,0.14006258015497702
OraclePerfectV2_B05,JILONG_EI_0009,810,0.4556352622677982,0.4026751657860361,0.14168968031367626
OraclePerfectV2_B05,JILONG_EI_0009,820,0.4544527661978274,0.401224163287977,0.14432312425223517
OraclePerfectV2_B05,JILONG_EI_0009,830,0.4526202718309593,0.4020496904544974,0.1453300777081912
OraclePerfectV2_B05,JILONG_EI_0009,840,0.45056772222848235,0.40121220585597955,0.1482201512691553
OraclePerfectV2_B05,JILONG_EI_0009,850,0.44866357287246006,0.4008079791921657,0.150528500429507
OraclePerfectV2_B05,JILONG_EI_0009,860,0.4472177052694572,0.4007463268908761,0.15203604597762463
OraclePerfectV2_B05,JILONG_EI_0009,870,0.44566835829414464,0.4000397056816349,0.15429203942443306
