global_step,stage,stage_step,K,total_loss,multi_loss,one_step_anchor,state_loss,wet_loss,integral_loss,amplitude_guard,learning_rate,step_seconds,peak_vram_gib
50,STAGE_A,50,1,0.20539997518062592,0.1368091106414795,0.1368091106414795,0.023324644193053246,0.7302476167678833,0.8091940879821777,0.0186307355761528,5.1e-05,0.18174050003290176,2.9902453422546387
100,STAGE_A,100,1,0.08850555121898651,0.03012808971107006,0.03012808971107006,0.006949625909328461,0.04560067504644394,0.3723679184913635,4.331341743469238,0.000101,0.17863659997237846,2.9902453422546387
150,STAGE_A,150,1,0.04342082142829895,0.028947213664650917,0.028947213664650917,0.01586887240409851,0.03013525903224945,0.20129631459712982,0.0,0.000151,0.1833160999813117,2.9902453422546387
200,STAGE_A,200,1,0.022314107045531273,0.014876071363687515,0.014876071363687515,0.00664931908249855,0.009784441441297531,0.14496617019176483,0.0,0.000201,0.1797112000058405,2.9902453422546387
250,STAGE_A,250,1,0.010519941337406635,0.007013294380158186,0.007013294380158186,0.0016210525063797832,0.0010528629645705223,0.10573911666870117,0.0,0.00025100000000000003,0.179501699982211,2.9902453422546387
300,STAGE_A,300,1,0.0016168974107131362,0.0010779316071420908,0.0010779316071420908,0.000650554895401001,0.0017388338455930352,0.00506986677646637,0.0,0.000301,0.18056080001406372,2.9902453422546387
350,STAGE_A,350,1,0.009159563109278679,0.006106375250965357,0.006106375250965357,0.005037795286625624,0.007253223564475775,0.006865151226520538,0.0,0.00035099999999999997,0.18490269995527342,2.9902453422546387
400,STAGE_A,400,1,0.03202541172504425,0.021350273862481117,0.021350273862481117,0.014757374301552773,0.013541092164814472,0.10477578639984131,0.0,0.00040100000000000004,0.20544270001119003,2.9902453422546387
450,STAGE_A,450,1,0.007298506796360016,0.004865671042352915,0.004865671042352915,0.003540499834343791,0.007019194308668375,0.012465039268136024,0.0,0.000451,0.18263349996414036,2.9902453422546387
500,STAGE_A,500,1,0.002934875898063183,0.001956583932042122,0.001956583932042122,0.0002780427457764745,0.008192867040634155,0.017185091972351074,0.0,0.0005,0.17923360003624111,2.9902453422546387
550,STAGE_A,550,1,0.004229078534990549,0.002819385612383485,0.002819385612383485,0.00034267717273905873,0.0024116402491927147,0.04471088573336601,0.0,0.0004999830770009406,0.18605030002072453,2.9902453422546387
600,STAGE_A,600,1,0.00487796775996685,0.003251978661864996,0.003251978661864996,7.548769644927233e-05,0.004316459409892559,0.05489690229296684,0.0,0.0004999323102948655,0.1812886000261642,2.9902453422546387
650,STAGE_A,650,1,0.004966507665812969,0.003311005188152194,0.003311005188152194,0.00016813469119369984,0.003436365397647023,0.055984675884246826,0.0,0.0004998477067547739,0.19485739996889606,2.9902453422546387
700,STAGE_A,700,1,0.004186575300991535,0.0027910503558814526,0.0027910503558814526,0.0003043939359486103,0.0013974810717627406,0.04693816229701042,0.0,0.0004997292778346311,0.182814400002826,2.9902453422546387
750,STAGE_A,750,1,0.01199126522988081,0.00799417681992054,0.00799417681992054,0.006338664796203375,0.008673636242747307,0.01576296053826809,0.0,0.0004995770395678171,0.1817167999688536,2.9902453422546387
800,STAGE_A,800,1,0.017125453799962997,0.011416968889534473,0.011416968889534473,0.00936819426715374,0.014662817120552063,0.011649861931800842,0.0,0.0004993910125649561,0.1861973000341095,2.9902453422546387
850,STAGE_A,850,1,0.0038276617415249348,0.0025517744943499565,0.0025517744943499565,0.0005427332944236696,0.003266903106123209,0.03364701569080353,0.0,0.0004991712220111266,0.17676400003256276,2.9902453422546387
900,STAGE_A,900,1,0.0038794917054474354,0.002586327726021409,0.002586327726021409,0.0007845198269933462,0.010643131099641323,0.014749894849956036,0.0,0.0004989176976624511,0.17577510001137853,2.9902453422546387
950,STAGE_A,950,1,0.006886252202093601,0.004590834956616163,0.004590834956616163,0.0019706659950315952,0.017924558371305466,0.01655425876379013,0.0,0.0004986304738420684,0.1841932000243105,2.9902453422546387
1000,STAGE_A,1000,1,0.0012936906423419714,0.0008624604670330882,0.0008624604670330882,0.0001772751857060939,0.0015985890058800578,0.010506528429687023,0.0,0.0004983095894354857,0.19862169999396428,2.9902453422546387
1050,STAGE_A,1050,1,0.005255742929875851,0.003503828775137663,0.003503828775137663,0.0023596694227308035,0.005498653277754784,0.011885877698659897,0.0,0.0004979550878853154,0.1782903000130318,2.9902453422546387
