__change_den_c_v1,__change_den_dz_v1,__change_den_h_v1,__change_den_hu_v1,__change_den_hv_v1,__change_den_ice_v1,__change_num_c_v1,__change_num_dz_v1,__change_num_h_v1,__change_num_hu_v1,__change_num_hv_v1,__change_num_ice_v1,__new_intersection_v1,__new_pred_v1,__new_truth_v1,__new_union_v1,active_cell_coverage_fraction_v1,budget_fraction_v1,budget_max_count_v1,case_wall_runtime_seconds_v1,change_region_c_rel_l2_v1,change_region_dz_rel_l2_v1,change_region_h_rel_l2_v1,change_region_hu_rel_l2_v1,change_region_hv_rel_l2_v1,change_region_ice_rel_l2_v1,change_region_momentum_rel_l2_v1,debris_front_final_error_km_v1,debris_front_mae_km_v1,false_positive_wet_fraction_v1,final_wet_iou_v1,front_zone_h_rel_l2_v1,front_zone_momentum_rel_l2_v1,front_zone_wet_iou_v1,mean_wet_iou_v1,method_v1,mixture_volume_relative_error_v1,newly_wet_iou_v1,newly_wet_precision_v1,newly_wet_recall_v1,scenario_id,selected_patch_count_v1,trajectory_c_rel_l2_v1,trajectory_dz_rel_l2_v1,trajectory_h_rel_l2_v1,trajectory_hu_rel_l2_v1,trajectory_hv_rel_l2_v1,trajectory_ice_rel_l2_v1,trajectory_momentum_rel_l2_v1,wet_overprediction_ratio_v1,__change_den_c_v2a,__change_den_dz_v2a,__change_den_h_v2a,__change_den_hu_v2a,__change_den_hv_v2a,__change_den_ice_v2a,__change_num_c_v2a,__change_num_dz_v2a,__change_num_h_v2a,__change_num_hu_v2a,__change_num_hv_v2a,__change_num_ice_v2a,__new_intersection_v2a,__new_pred_v2a,__new_truth_v2a,__new_union_v2a,active_cell_coverage_fraction_v2a,budget_fraction_v2a,budget_max_count_v2a,case_wall_runtime_seconds_v2a,change_region_c_rel_l2_v2a,change_region_dz_rel_l2_v2a,change_region_h_rel_l2_v2a,change_region_hu_rel_l2_v2a,change_region_hv_rel_l2_v2a,change_region_ice_rel_l2_v2a,change_region_momentum_rel_l2_v2a,debris_front_final_error_km_v2a,debris_front_mae_km_v2a,false_positive_wet_fraction_v2a,final_wet_iou_v2a,front_zone_h_rel_l2_v2a,front_zone_momentum_rel_l2_v2a,front_zone_wet_iou_v2a,mean_wet_iou_v2a,method_v2a,mixture_volume_relative_error_v2a,newly_wet_iou_v2a,newly_wet_precision_v2a,newly_wet_recall_v2a,selected_patch_count_v2a,trajectory_c_rel_l2_v2a,trajectory_dz_rel_l2_v2a,trajectory_h_rel_l2_v2a,trajectory_hu_rel_l2_v2a,trajectory_hv_rel_l2_v2a,trajectory_ice_rel_l2_v2a,trajectory_momentum_rel_l2_v2a,wet_overprediction_ratio_v2a,trajectory_h_rel_l2_improved,trajectory_momentum_rel_l2_improved,change_region_h_rel_l2_improved,change_region_momentum_rel_l2_improved,false_positive_wet_fraction_improved,mixture_volume_relative_error_improved,debris_front_mae_km_improved,mean_wet_iou_improved,split
40222.31467985641,72501.22977417707,34331585.49860616,43822686784.623886,44527558414.58065,256.1750057976751,8050.944438576698,60911.10927951336,18281137.35955,14050162283.282394,12107378129.21997,85.85106535612388,9878,1015076,15222,1020420,0.070055980546558,0.1,19,24.31652570000733,0.4473937214127581,0.9165909560245868,0.7297173557003314,0.5662277762814095,0.5214475269358412,0.5789012229998344,0.5441198540658111,2.6100006103515625,11.241971934135533,0.5741325403308668,0.2573398880240338,0.9335439257204948,0.9439112514160118,0.6135109030954121,0.3503585047860893,RiskTemporal_B10,0.0889913773089921,0.0096803277081985,0.0097312910560391,0.6489291814479043,JILONG_EI_0009,19.0,1.5320172195166393,1.0937355039285128,1.1049528202825414,0.7245845026744074,3.385365800796692,0.9884748821375796,2.4146240118911013,1.451943965655415,40222.31467985641,72501.22977417707,34331585.49860616,43822686784.623886,44527558414.58065,256.1750057976751,7977.895185947418,60753.6820114851,17952414.21337986,14020816002.027832,12779072659.268188,85.94681850895309,10168,1532290,15222,1537344,0.0682995956842355,0.1,19,24.677821699995548,0.4453594104701322,0.915405706178571,0.72312687075133,0.5656361331016687,0.5357167539923647,0.5792239689633434,0.5507602841406266,2.700000762939453,11.288028486807582,0.6526831605429151,0.2177861055059095,0.9644747039163748,0.950412077961712,0.5987435992810114,0.3229459982992979,RiskTemporal_v2A_B10,0.3951616638944358,0.0066140044128054,0.0066358195902864,0.6679805544606491,19.0,1.562363576860768,1.099081834207816,1.1949920106143832,0.7481939874233177,4.833267909296867,0.9842311696404537,3.409021112748902,1.9283090486605825,False,False,True,False,False,False,False,False,val
34723.52818476036,80957.28886890411,25376808.590233617,29555542556.124622,32695617830.37517,132.39841732103378,6881.174263954163,70485.70987939835,14207880.66074083,9221626666.52874,7157450748.844491,58.22795596162391,9607,852664,13878,856935,0.0774779017441222,0.1,19,23.97485739999684,0.4451633018043729,0.933087907253252,0.7482490055607289,0.5585786086477573,0.4678799231953365,0.6631692425093344,0.5129452259887827,4.200000762939453,11.599361752840222,0.54329953420638,0.2777690985783471,0.937739135842938,0.9437598894076,0.6200633089575627,0.3631582751463205,RiskTemporal_B10,0.1537846747012828,0.0112108853063534,0.0112670407100569,0.6922467214296008,JILONG_EI_0019,19.0,1.3937991398937355,1.079714811578072,1.0482586720324998,0.7034530186852366,3.093346129299331,0.944174830831748,2.197965522518596,1.335463081803136,34723.52818476036,80957.28886890411,25376808.590233617,29555542556.124622,32695617830.37517,132.39841732103378,6872.6399284005165,69182.77671194077,13501072.26355934,9031297775.22705,6960067890.566223,58.9943913371327,10366,1264289,13878,1267801,0.069069599402375,0.1,19,24.245181199992658,0.4448871605852665,0.9244235834437118,0.7293997815891011,0.5527841892427201,0.4613833985628506,0.6675195129980355,0.506837863388909,4.170000076293945,11.485319173135233,0.6101791495916248,0.2533499180188839,0.9083451906016292,0.95508879876035,0.6279700572457505,0.3503440023026311,RiskTemporal_v2A_B10,0.2477820274108733,0.0081763620631313,0.0081990747368679,0.7469375990776769,19.0,1.4069424865026092,1.0740182559341351,1.0728553914068335,0.7248587861020813,3.5944539206171635,0.9402626269180888,2.5393937965496427,1.763330316402728,False,False,True,True,False,False,True,False,val
37156.73530562222,92481.5048237443,28811680.589952502,36007318607.353355,38825466307.84117,337.49634789254924,8470.27230143547,80530.53553569317,16082769.777518272,13426876761.474447,10482719048.250938,107.01084207355257,8993,941227,14980,947214,0.0681288973461672,0.1,19,28.372532500012312,0.4774522142349104,0.93315298513091,0.747129916651712,0.6106496473265808,0.5196113547647473,0.5630919931598073,0.5652494693327221,2.010000228881836,11.026690523494295,0.5744210475558597,0.2503645377661125,0.9359046873427034,0.9329115205154408,0.6310403710092329,0.3429876722122452,RiskTemporal_B10,0.0956836084671289,0.0094941586589725,0.0095545495401215,0.6003337783711615,JILONG_EI_0029,19.0,1.6162381946615174,1.075184018418379,1.06792189095477,0.7372039395573902,3.174470606513349,0.9836529288587884,2.284644977419749,1.411239112158549,37156.73530562222,92481.5048237443,28811680.589952502,36007318607.353355,38825466307.84117,337.49634789254924,8289.529044628143,79563.79295134544,15940487.488202097,13383106073.332376,10470118567.898182,107.19598415009727,9607,1211955,14980,1217328,0.0664127675124795,0.1,19,24.11347409999871,0.4723306784446067,0.9275349763483084,0.7438176913507025,0.6096534970438073,0.5192989681912418,0.5635788922702265,0.564582737518299,1.950000762939453,10.744225616291375,0.615884988307748,0.2521920668058455,0.9381763354203212,0.9431645771001648,0.6381117723258749,0.3347210769192837,RiskTemporal_v2A_B10,0.0586122596274307,0.0078918746631967,0.0079268619709477,0.6413217623497998,19.0,1.6055351750084792,1.065838241006003,1.0375687650503411,0.7642027738410336,3.999790052298809,0.9938780849505316,2.8538421926942843,1.6940645759254664,True,False,True,True,False,True,True,False,val
31955.091040883213,76885.32242523134,20727144.440217003,24945357901.36344,27596105776.552704,365.7411123409984,7121.23403608799,65872.73373889923,11317985.67792724,8403631514.302067,6686803963.087286,107.21276971985333,9324,755124,13648,759448,0.0836806326622814,0.1,19,28.42945029999828,0.4720713021041444,0.9256165764720814,0.7389496250159107,0.5804150043089424,0.4922496263157816,0.5414225838572393,0.5359198002032245,3.299999237060547,11.910422759786458,0.524142135903971,0.3082963468760669,0.9248338424235292,0.9279694386363794,0.6516453679019427,0.3733350573426411,RiskTemporal_B10,0.1970180446514667,0.012277338277275,0.0123476409172533,0.6831770222743259,JILONG_EI_0039,19.0,1.5248436401169354,1.0518080221237798,1.037595858565787,0.717280030705192,2.3109495495979395,0.909393853125988,1.6918828210742054,1.2923321578580895,31955.091040883213,76885.32242523134,20727144.440217003,24945357901.36344,27596105776.552704,365.7411123409984,6851.223842680454,64816.77835792303,11190467.888801023,8010194287.786818,6804617047.187541,107.14769843208092,10025,1359190,13648,1362813,0.0790553990023134,0.1,19,24.15913820000424,0.4630352442393483,0.9181676785014444,0.7347750242057446,0.5666653471345477,0.4965671021861796,0.5412582544950475,0.5310030053281857,3.180000305175781,11.697253628305988,0.6376325309070482,0.2577950683677556,0.9375181613914024,0.9402008580906888,0.6478209795111028,0.329895163190411,RiskTemporal_v2A_B10,0.210016251271049,0.007356108284849,0.0073757164193379,0.7345398593200468,19.0,1.592476921504129,1.0504223383691509,1.098391769866332,0.782584593831294,3.320186378691478,0.9159738846709236,2.382806261543619,1.9129183980593427,False,False,True,True,False,False,True,False,val
41456.80176700652,81330.60382030904,34403119.76943549,44620929967.68163,47197874190.75491,157.03875714167316,9992.340339243412,69226.45679831505,20022579.226821885,17005120926.937317,13481939318.980349,70.29132516285074,8742,938508,15879,945645,0.0676881127591743,0.1,19,28.097302100009983,0.4909482444457821,0.9225906598630114,0.7628885499602284,0.6173345074547559,0.5344597016404142,0.6690328473192458,0.5762248166174002,1.5300006866455078,10.068251951799526,0.5644737664936527,0.2562973655719957,0.9477181669283404,0.9401924793314564,0.5931471981477403,0.3486588148628445,RiskTemporal_B10,0.1503531173006876,0.0092444839236711,0.0093147847434438,0.5505384470054789,JILONG_EI_0049,19.0,1.4949954980858526,1.1032277904198209,1.0736721615830676,0.7545633051395174,2.478203094256789,0.9879982392665264,1.826076451213088,1.380619602881673,41456.80176700652,81330.60382030904,34403119.76943549,44620929967.68163,47197874190.75491,157.03875714167316,9916.320346593857,68620.53467583656,19375279.275887363,16794525640.870604,13360423461.05365,71.0938566754054,9037,1303935,15879,1310777,0.0635338682519384,0.1,19,26.18189840001287,0.4890771543619687,0.9185441815624128,0.7504557195372086,0.613499993105778,0.5320456448522766,0.6728412553632809,0.5730776664105324,1.5300006866455078,10.267552644431174,0.6264241137273178,0.2327304905702118,0.9547627202057584,0.9478962964972704,0.5911806735632328,0.3301427161298035,RiskTemporal_v2A_B10,0.1261103999916144,0.006894384018029,0.0069305601889664,0.5691164431009509,19.0,1.5099537270151988,1.100918233241879,1.1251712657512616,0.7675439710739556,3.132581745772931,1.0161218385767132,2.2730031930220336,1.727966142499697,False,False,True,True,False,True,False,False,val
35336.20548405871,71319.21658104658,25095066.9514793,30098298892.845078,32967696484.868637,158.63836451845418,7446.121940433979,60392.06756854057,13277913.75777866,9009627450.61863,7723741126.643332,63.22600358707435,9587,860202,14334,864949,0.0814732532189133,0.1,19,28.009756499988725,0.4590448465758497,0.9202094039482798,0.7273957218053374,0.5471198117215553,0.4840269608684305,0.6313115775615479,0.5151029786472479,3.060001373291016,11.171619998763354,0.5479351309977516,0.2937834767083265,0.93237318988009,0.930715652784808,0.618865272376385,0.3598887097081901,RiskTemporal_B10,0.1235883161937034,0.0110838904952777,0.0111450566262343,0.6688293567741035,JILONG_EI_0059,19.0,1.447227588817464,1.0765359672901638,1.131939490119841,0.699700076773003,2.466613574989025,0.9459884351171012,1.788736841726693,1.344892663364001,35336.20548405871,71319.21658104658,25095066.9514793,30098298892.845078,32967696484.868637,158.63836451845418,7040.210558652878,59983.52216136456,12874577.969093325,8983789992.344238,7029426278.884766,60.87005528197805,10180,1335874,14334,1340028,0.0722474068742188,0.1,19,29.549629699991783,0.4463575326462466,0.9170915665348413,0.7162626769475077,0.5463347440402099,0.4617592868691487,0.6194378461307307,0.5038968660142981,3.180000305175781,12.144507279724513,0.6236923131568813,0.2501993302503588,0.9547846860317782,0.9416321782550876,0.633795512600495,0.3426845632276532,RiskTemporal_v2A_B10,0.4094877946117171,0.0075968561850946,0.0076204791769283,0.7101995256034603,19.0,1.404896612647076,1.0698763220044445,1.1474742133720528,0.7185915610936479,3.619837320081284,0.9080497059000696,2.5716501556424545,1.83547234553604,False,False,True,True,False,False,False,False,val
41179.61009020358,93895.09017384052,32519565.917531945,41913293246.8365,43899213296.85787,56.4482686781848,10311.027263492346,82084.82412910461,18864681.772580653,16428924012.574736,12758652664.034857,88.449036795355,8654,875051,15482,881879,0.0714590038959635,0.1,19,28.090751299998374,0.500391417788201,0.9349965197290776,0.761644607911755,0.6260783233225335,0.5391058425877719,1.2517604935582194,0.583208339601803,1.6200008392333984,9.999650522441296,0.5736690884228343,0.2409638554216867,0.948160660328706,0.9487558962148293,0.5828220341458763,0.3265672318025992,RiskTemporal_B10,0.1761831675389347,0.0098131376299923,0.0098897092855159,0.5589717090815141,JILONG_EI_0069,19.0,1.4660478521695028,1.0870968769527185,1.061940683756336,0.7467120880583511,2.5197461883967245,1.1639465257442054,1.8481671614203852,1.2998015546730082,41179.61009020358,93895.09017384052,32519565.917531945,41913293246.8365,43899213296.85787,56.4482686781848,10214.824862077832,81917.07698965073,18628862.62156236,16448747925.8929,12751054449.424316,89.75331520742935,8935,1171347,15482,1177894,0.0640288934323362,0.1,19,27.961660699991626,0.4980516088547603,0.9340406597047533,0.7568691436149514,0.6264559372380302,0.5389452906845889,1.2609560113151714,0.5833304700382543,1.6200008392333984,10.27237774181616,0.6273015869615169,0.2270199150768494,0.9572883911189816,0.951641135009344,0.5853688929407527,0.3136547718486107,RiskTemporal_v2A_B10,0.100099211232622,0.0075855722161756,0.0076279701915828,0.5771218188864488,19.0,1.4724199637968671,1.0855756767685745,1.0599143485286011,0.804093710747177,3.767450514003473,1.2585506332338872,2.707786641751058,1.5908234586404664,True,False,True,False,False,True,False,False,val
34522.367499114014,70680.4330277443,22762082.71220981,27021347192.559574,30356389200.495186,84.34853874377063,7957.441672384739,60073.37007713318,12711881.594491305,8927698420.86759,7339121387.194689,62.36189167697027,9242,803223,14159,808140,0.0854388787214364,0.1,19,28.35757079999894,0.4801052402908246,0.9219160956456156,0.7473067773607872,0.5747993347329237,0.4916963442016271,0.8598463630563637,0.5324509699250234,3.210000991821289,10.954436868875169,0.5447398029127842,0.3003564287577154,0.9227024248085244,0.92864945198779,0.6090703977449219,0.3535718367552845,RiskTemporal_B10,0.1205592635403161,0.0114361373029425,0.0115061446198627,0.6527297125503213,JILONG_EI_0079,19.0,1.409230950111737,1.0714131024141271,1.076066180709239,0.7531122089941282,2.762076089881369,0.9997654142899176,1.99768577184078,1.28958871483236,34522.367499114014,70680.4330277443,22762082.71220981,27021347192.559574,30356389200.495186,84.34853874377063,7950.708103179932,59628.53072082997,12525087.66076246,9089876203.28424,7286224211.041504,61.80015952645356,9811,1410955,14159,1415303,0.0661870309252211,0.1,19,28.250595700010308,0.4799020653141569,0.9184963891654891,0.7417958314759205,0.5799966503942992,0.4899211736860741,0.8559650187163099,0.5342364807972966,3.060001373291016,10.977464832916436,0.6475501174966147,0.2352161230442853,0.9213125817340588,0.9136339319740328,0.603166237666799,0.3230235207493992,RiskTemporal_v2A_B10,0.2517992051355942,0.006932084507699,0.0069534464245847,0.6929161663959319,19.0,1.4680513909771629,1.0774297478186947,1.1029145896205848,0.7787852225476194,4.248231080415819,1.0737663469374903,3.0102832280665024,1.9063282050383965,False,False,True,False,False,False,False,False,val
41530.30475248397,92778.21813547613,36418069.18719026,48247420689.86666,49005519897.72861,335.1282274788109,9334.183319568634,79953.95779979229,21064804.22984147,18044111913.853603,14971243553.194336,108.1517060299389,9065,963749,15977,970661,0.0606805471535812,0.1,19,27.39115759999549,0.4740843335574969,0.928318423582242,0.7605368389857562,0.6115482187862762,0.5527216005496206,0.5680822013069303,0.5826484801312042,1.5599994659423828,10.260839384752554,0.561382857275989,0.2467388287538162,0.9449449716952084,0.9428747953468226,0.6078495261324192,0.356222394626106,RiskTemporal_B10,0.1360985445062724,0.0093389968279347,0.0094059760373292,0.5673781060274145,JILONG_EI_0089,19.0,1.5464995994211888,1.1019829211844847,1.074414312300464,0.7546606434657569,3.328384287309229,0.9784181985384252,2.398737442270387,1.4056909490755525,41530.30475248397,92778.21813547613,36418069.18719026,48247420689.86666,49005519897.72861,335.1282274788109,9219.110944628716,79814.14853942394,20947897.86730957,18072323657.016117,15028661064.680664,107.5148217816742,9438,1267547,15977,1274086,0.0622089088153939,0.1,19,25.29434169999149,0.4711530010003323,0.9275064293873956,0.7584234725544473,0.6120261060599345,0.5537804814860081,0.566407069035085,0.5834035749378941,1.5599994659423828,10.517203046725346,0.6163634595278041,0.2309101316542644,0.9493181020419308,0.9522670114284916,0.5735259393285201,0.3358789443115686,RiskTemporal_v2A_B10,0.0758223362914339,0.0074076632189663,0.007445877746545,0.5907241659886087,19.0,1.581561632849934,1.0985906659979612,1.0771930151576026,0.7804608460673325,2.5038910719882965,0.972363846357964,1.8443566704463443,1.6836311117442757,False,True,True,False,False,True,False,False,val
35330.011182207614,81570.61096382141,25931617.838365976,31422612033.22519,34421923012.18359,374.2275019290392,7591.397299051285,70083.79010605812,14156969.00740242,10008490767.17041,8207156685.66478,111.19093391145164,9397,842907,14577,848087,0.0722525118712451,0.1,19,24.038443999990704,0.4635418749239911,0.9269193161438825,0.7388739144980766,0.5643690054884427,0.4882910880561906,0.5450882729364898,0.5259717739053927,2.940000534057617,11.377817174918215,0.5367314936989654,0.2652094160807092,0.9309560561631596,0.9241238422280738,0.6371976189191991,0.3680084359397763,RiskTemporal_B10,0.1297674195331277,0.01108023115553,0.0111483235991633,0.6446456746930095,JILONG_EI_0099,19.0,1.4721807464572918,1.0788180660415772,1.1165751055181792,0.7084484319840139,2.508451998835812,0.891547380138827,1.821075394327564,1.325928887228556,35330.011182207614,81570.61096382141,25931617.838365976,31422612033.22519,34421923012.18359,374.2275019290392,7433.023653388023,70628.87696743011,14552163.86538124,10252620781.311523,8436878915.943359,110.2687336697525,9572,1189570,14577,1194575,0.071195192539217,0.1,19,24.02638090000255,0.4586811259911913,0.9305169592306348,0.7491158427897915,0.5712106622914059,0.495077676072685,0.5428231279618831,0.5327690287997499,2.940000534057617,11.213028337753997,0.6082240228574703,0.2450239808153477,0.9573715814983764,0.9551729311049338,0.5948357391547248,0.3404404032211856,RiskTemporal_v2A_B10,0.1820643599190703,0.0080128916141724,0.0080466050757836,0.6566508883858133,19.0,1.514394125465366,1.0837457274369864,1.114902400642574,0.7403257372867763,2.632998555318556,0.8995850319334122,1.9108351768718983,1.651819740813396,True,False,False,False,False,False,True,False,val
