budget,metric,kind,frozen,raw_local,support_guard,ratio
B10,trajectory_h_rel_l2,numerical_preservation,1.00869693137439,0.8654994872757407,0.9477692470230019,0.4254802502579222
B10,trajectory_momentum_rel_l2,numerical_preservation,2.956730982348409,1.8238499575782927,1.8666146910234445,0.9622513463372471
B10,change_region_h_rel_l2,numerical_preservation,0.803065479947209,0.7593454407002601,0.7695269767302101,0.7671196960176443
B10,change_region_momentum_rel_l2,numerical_preservation,0.5592700003173806,0.5230506601923419,0.5318655716636456,0.7566241836302856
B10,false_positive_wet_fraction,engineering_recovery,0.5879595951480223,0.644969393940248,0.5002491504478348,2.5385152475252806
B10,wet_overprediction_ratio,engineering_recovery,1.6367272800870993,2.3147955078698343,1.262677900273379,1.5516397384328886
B10,mixture_volume_relative_error,engineering_recovery,0.24652144920004698,0.3527866443014728,0.18770984382174055,1.5534418425729437
B10,debris_front_mae_km,engineering_recovery,11.912151311910053,12.726353156972289,12.877747936103443,-0.1859425645486983
B10,peak_Q_relative_error,engineering_recovery,0.7023555156402953,0.7205331111235806,0.6824365274412655,2.095798848497081
B10,mean_wet_iou,engineering_recovery,0.35979913800672597,0.34368613940649534,0.39153366209645424,2.9694983458432147
B20,trajectory_h_rel_l2,numerical_preservation,1.00869693137439,1.1175688943844437,1.4365322919852397,
B20,trajectory_momentum_rel_l2,numerical_preservation,2.956730982348409,1.2448667662161692,1.3334532922047462,0.9482514295504535
B20,change_region_h_rel_l2,numerical_preservation,0.803065479947209,0.7379489095532202,0.7686769868809857,0.5281066379595114
B20,change_region_momentum_rel_l2,numerical_preservation,0.5592700003173806,0.5271906508856812,0.5384623063799064,0.6486320422979932
B20,false_positive_wet_fraction,engineering_recovery,0.5879595951480223,0.6811163724172342,0.4494083184205378,2.487291432668264
B20,wet_overprediction_ratio,engineering_recovery,1.6367272800870993,2.5335320422718053,1.066360007645057,1.6359993796783268
B20,mixture_volume_relative_error,engineering_recovery,0.24652144920004698,0.9335120307266337,0.4150715135225501,0.7546544758328974
B20,debris_front_mae_km,engineering_recovery,11.912151311910053,13.54523764713257,12.990043799974604,0.3399660110941519
B20,peak_Q_relative_error,engineering_recovery,0.7023555156402953,0.97814182232637,0.7002308366786333,1.0077040770703694
B20,mean_wet_iou,engineering_recovery,0.35979913800672597,0.30657488398683547,0.39784828851524734,1.7148836786759278
