budget,metric,raw_local,support_guard,absolute_difference,relative_difference
B10,trajectory_h_rel_l2,0.8654994872757407,0.9477692470230019,0.08226975974726125,0.09505466029357776
B10,trajectory_momentum_rel_l2,1.8238499575782927,1.8666146910234445,0.04276473344515175,0.02344750634089152
B10,change_region_h_rel_l2,0.7593454407002601,0.7695269767302101,0.010181536029949978,0.013408306001759457
B10,change_region_momentum_rel_l2,0.5230506601923419,0.5318655716636456,0.008814911471303644,0.016852882793536916
B10,mean_wet_iou,0.34368613940649534,0.39153366209645424,0.0478475226899589,0.13921865680293602
B10,newly_wet_precision,0.0068320407411507035,0.013565932197529555,0.006733891456378851,0.9856339725580557
B10,newly_wet_recall,0.8356533982535356,0.7007463048891294,-0.1349070933644062,-0.16143905313656806
B10,false_positive_wet_fraction,0.644969393940248,0.5002491504478348,-0.1447202434924132,-0.22438311779150955
B10,wet_overprediction_ratio,2.3147955078698343,1.262677900273379,-1.0521176075964553,-0.4545185974395878
B10,mixture_volume_relative_error,0.3527866443014728,0.18770984382174055,-0.16507680047973222,-0.46792247707276113
B10,debris_front_mae_km,12.726353156972289,12.877747936103443,0.15139477913115407,0.011896163595633882
B10,arrival_MAE_s,504.3333333333333,482.5,-21.833333333333314,-0.04329147389292792
B10,peak_Q_relative_error,0.7205331111235806,0.6824365274412655,-0.038096583682315166,-0.052872773081737136
B10,peak_stage_absolute_error,19.112113444010415,11.960493977864584,-7.151619466145831,-0.3741930209391412
B10,wet_width_relative_error,0.2551092861386979,0.6948834988540871,0.4397742127153892,1.723865953183267
B20,trajectory_h_rel_l2,1.1175688943844437,1.4365322919852397,0.31896339760079595,0.28540826360103805
B20,trajectory_momentum_rel_l2,1.2448667662161692,1.3334532922047462,0.08858652598857697,0.07116145148435432
B20,change_region_h_rel_l2,0.7379489095532202,0.7686769868809857,0.0307280773277655,0.04163984380215338
B20,change_region_momentum_rel_l2,0.5271906508856812,0.5384623063799064,0.011271655494225263,0.02138060581174735
B20,mean_wet_iou,0.30657488398683547,0.39784828851524734,0.09127340452841187,0.2977197718921137
B20,newly_wet_precision,0.006044457455603645,0.01746570834831588,0.011421250892712235,1.889541117064844
B20,newly_wet_recall,0.8558022430762188,0.6865900941204214,-0.1692121489557974,-0.19772342305105078
B20,false_positive_wet_fraction,0.6811163724172342,0.4494083184205378,-0.23170805399669642,-0.3401886423231625
B20,wet_overprediction_ratio,2.5335320422718053,1.066360007645057,-1.4671720346267483,-0.5791014323667849
B20,mixture_volume_relative_error,0.9335120307266337,0.4150715135225501,-0.5184405172040836,-0.5553656515819472
B20,debris_front_mae_km,13.54523764713257,12.990043799974604,-0.555193847157966,-0.04098812155396156
B20,arrival_MAE_s,502.8333333333333,468.3333333333333,-34.5,-0.06861120318196885
B20,peak_Q_relative_error,0.97814182232637,0.7002308366786333,-0.27791098564773675,-0.2841213608337136
B20,peak_stage_absolute_error,15.883162434895834,7.536541748046875,-8.346620686848958,-0.5255011853628819
B20,wet_width_relative_error,0.3373347621877033,0.6948834988540871,0.35754873666638376,1.0599225954289075
