support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,method,scenario_id,time_s,budget,mean_support_fraction,mean_blocked_new_wet_cells_per_step,total_blocked_new_wet_cells,fraction_steps_with_blocked_new_wet,mean_blocked_local_change_fraction
13317.0,0.1019748680996393,8636.0,0.8156403475632792,452.0,0.0034611879838579,LearnedSupportGuard_B10,JILONG_EI_0009,350.0,B10,,,,,
13268.0,0.1015996508182034,9302.0,0.9525857654889912,720.0,0.0055133967884463,LearnedSupportGuard_B10,JILONG_EI_0009,360.0,B10,,,,,
13274.0,0.1016455957914404,9104.0,0.8972109983246279,780.0,0.0059728465208169,LearnedSupportGuard_B10,JILONG_EI_0009,370.0,B10,,,,,
13280.0,0.1016915407646775,15808.0,0.9181089557439888,783.0,0.0059958190074354,LearnedSupportGuard_B10,JILONG_EI_0009,380.0,B10,,,,,
13250.0,0.1014618158984922,7820.0,0.7548262548262549,486.0,0.0037215428322013,LearnedSupportGuard_B10,JILONG_EI_0009,390.0,B10,,,,,
13230.0,0.101308665987702,16354.0,0.8873094243394282,1414.0,0.0108276986928655,LearnedSupportGuard_B10,JILONG_EI_0009,400.0,B10,,,,,
13118.0,0.100451026487277,8019.0,0.9347243268446206,1142.0,0.0087448599061191,LearnedSupportGuard_B10,JILONG_EI_0009,410.0,B10,,,,,
13133.0,0.1005658889203697,11682.0,0.8563260518985486,900.0,0.0068917459855579,LearnedSupportGuard_B10,JILONG_EI_0009,420.0,B10,,,,,
13153.0,0.1007190388311598,13221.0,0.8638917929952954,1299.0,0.0099470867058219,LearnedSupportGuard_B10,JILONG_EI_0009,430.0,B10,,,,,
13135.0,0.1005812039114487,15393.0,0.934778648205502,1898.0,0.0145339265339877,LearnedSupportGuard_B10,JILONG_EI_0009,440.0,B10,,,,,
13160.0,0.1007726412999364,7254.0,0.8592750533049041,498.0,0.0038134327786754,LearnedSupportGuard_B10,JILONG_EI_0009,450.0,B10,,,,,
13116.0,0.100435711496198,11293.0,0.9410833333333334,1638.0,0.0125429776937154,LearnedSupportGuard_B10,JILONG_EI_0009,460.0,B10,,,,,
13129.0,0.1005352589382116,17187.0,0.9419082588918728,1473.0,0.0112794909296965,LearnedSupportGuard_B10,JILONG_EI_0009,470.0,B10,,,,,
13117.0,0.1004433689917375,10813.0,0.7567889137737962,1266.0,0.0096943893530182,LearnedSupportGuard_B10,JILONG_EI_0009,480.0,B10,,,,,
13096.0,0.1002825615854078,11538.0,0.9350081037277148,749.0,0.0057354641590921,LearnedSupportGuard_B10,JILONG_EI_0009,490.0,B10,,,,,
13070.0,0.1000834667013806,7673.0,0.8644659756647138,582.0,0.0044566624039941,LearnedSupportGuard_B10,JILONG_EI_0009,500.0,B10,,,,,
13007.0,0.0996010444823915,15127.0,0.9655942806076856,853.0,0.006531843695201,LearnedSupportGuard_B10,JILONG_EI_0009,510.0,B10,,,,,
13023.0,0.0997235644110237,11772.0,0.8780487804878049,793.0,0.0060723939628305,LearnedSupportGuard_B10,JILONG_EI_0009,520.0,B10,,,,,
12998.0,0.099532127022536,7863.0,0.8299556681443951,1343.0,0.0102840165095603,LearnedSupportGuard_B10,JILONG_EI_0009,530.0,B10,,,,,
13019.0,0.0996929344288656,7799.0,0.7086778736937756,333.0,0.0025499460146564,LearnedSupportGuard_B10,JILONG_EI_0009,540.0,B10,,,,,
12997.0,0.0995244695269965,14640.0,0.9015333456493626,764.0,0.0058503265921847,LearnedSupportGuard_B10,JILONG_EI_0009,550.0,B10,,,,,
12961.0,0.0992487996875741,9402.0,0.94010598940106,1395.0,0.0106822062776148,LearnedSupportGuard_B10,JILONG_EI_0009,560.0,B10,,,,,
12963.0,0.0992641146786532,15333.0,0.8703030991031899,768.0,0.0058809565743427,LearnedSupportGuard_B10,JILONG_EI_0009,570.0,B10,,,,,
12858.0,0.0984600776470047,9179.0,0.8016593886462882,1167.0,0.0089362972946068,LearnedSupportGuard_B10,JILONG_EI_0009,580.0,B10,,,,,
12755.0,0.0976713556064353,15870.0,0.961410310777246,950.0,0.0072746207625334,LearnedSupportGuard_B10,JILONG_EI_0009,590.0,B10,,,,,
12800.0,0.0980159429057132,10699.0,0.8611558274307791,947.0,0.0072516482759148,LearnedSupportGuard_B10,JILONG_EI_0009,600.0,B10,,,,,
12781.0,0.0978704504904625,9671.0,0.946467018986103,927.0,0.0070984983651247,LearnedSupportGuard_B10,JILONG_EI_0009,610.0,B10,,,,,
12808.0,0.0980772028700293,9979.0,0.8289582987207177,1461.0,0.0111876009832224,LearnedSupportGuard_B10,JILONG_EI_0009,620.0,B10,,,,,
12793.0,0.0979623404369366,10026.0,0.9568619965642298,1460.0,0.0111799434876829,LearnedSupportGuard_B10,JILONG_EI_0009,630.0,B10,,,,,
12815.0,0.0981308053388058,13289.0,0.8006386311603808,1284.0,0.0098322242727293,LearnedSupportGuard_B10,JILONG_EI_0009,640.0,B10,,,,,
12776.0,0.097832163012765,7044.0,0.9557666214382632,940.0,0.0071980458071383,LearnedSupportGuard_B10,JILONG_EI_0009,650.0,B10,,,,,
12798.0,0.0980006279146342,13754.0,0.928947723895718,1215.0,0.0093038570805032,LearnedSupportGuard_B10,JILONG_EI_0009,660.0,B10,,,,,
12815.0,0.0981308053388058,14194.0,0.8223162041596663,914.0,0.006998950923111,LearnedSupportGuard_B10,JILONG_EI_0009,670.0,B10,,,,,
12714.0,0.0973573982893155,8241.0,0.8579906298802706,682.0,0.005222411957945,LearnedSupportGuard_B10,JILONG_EI_0009,680.0,B10,,,,,
12696.0,0.0972195633696043,13938.0,0.8194967074317968,1606.0,0.0122979378364512,LearnedSupportGuard_B10,JILONG_EI_0009,690.0,B10,,,,,
12644.0,0.0968213736015498,19026.0,0.9469911900851128,1982.0,0.0151771561593065,LearnedSupportGuard_B10,JILONG_EI_0009,700.0,B10,,,,,
12588.0,0.0963925538513373,5659.0,0.9239183673469388,596.0,0.0045638673415472,LearnedSupportGuard_B10,JILONG_EI_0009,710.0,B10,,,,,
12584.0,0.0963619238691793,9527.0,0.8846689571919398,894.0,0.0068458010123209,LearnedSupportGuard_B10,JILONG_EI_0009,720.0,B10,,,,,
12577.0,0.0963083214004027,11790.0,0.9347498612542616,1414.0,0.0108276986928655,LearnedSupportGuard_B10,JILONG_EI_0009,730.0,B10,,,,,
12558.0,0.0961628289851521,12090.0,0.9224078736552987,1981.0,0.015169498663767,LearnedSupportGuard_B10,JILONG_EI_0009,740.0,B10,,,,,
12548.0,0.096086254029757,11276.0,0.953250486093499,681.0,0.0052147544624055,LearnedSupportGuard_B10,JILONG_EI_0009,750.0,B10,,,,,
12555.0,0.0961398564985335,8256.0,0.8188851418369372,1020.0,0.007810645450299,LearnedSupportGuard_B10,JILONG_EI_0009,760.0,B10,,,,,
12487.0,0.095619146801847,15105.0,0.7770461443489891,1519.0,0.0116317357245139,LearnedSupportGuard_B10,JILONG_EI_0009,770.0,B10,,,,,
12290.0,0.0941106201805637,9083.0,0.9620802881050736,1282.0,0.0098169092816503,LearnedSupportGuard_B10,JILONG_EI_0009,780.0,B10,,,,,
12297.0,0.0941642226493403,7929.0,0.8643846069988008,888.0,0.0067998560390838,LearnedSupportGuard_B10,JILONG_EI_0009,790.0,B10,,,,,
12224.0,0.0936052254749561,18578.0,0.952473724685978,1881.0,0.0144037491098161,LearnedSupportGuard_B10,JILONG_EI_0009,800.0,B10,,,,,
12202.0,0.0934367605730869,12205.0,0.9192588687203436,1229.0,0.0094110620180563,LearnedSupportGuard_B10,JILONG_EI_0009,810.0,B10,,,,,
12170.0,0.0931917207158226,10890.0,0.9260991580916744,654.0,0.0050080020828387,LearnedSupportGuard_B10,JILONG_EI_0009,820.0,B10,,,,,
