time_s,front_distance_m,remaining_distance_m
0.0,0.0,17624.0
10.0,70.19529852959417,17553.804701470406
20.0,70.19529852959417,17553.804701470406
30.0,117.59718391610424,17506.402816083897
40.0,354.6066108486546,17269.393389151344
50.0,537.0039883859225,17086.99601161408
60.0,671.9994805366804,16952.00051946332
70.0,719.4013659231905,16904.59863407681
80.0,806.9949726874385,16817.00502731256
90.0,894.5885794516861,16729.411420548313
100.0,894.5885794516861,16729.411420548313
110.0,895.0350051357908,16728.96499486421
120.0,895.0350051357908,16728.96499486421
130.0,898.5647342219484,16725.43526577805
140.0,913.4837915819919,16710.51620841801
150.0,950.8460839348966,16673.153916065105
160.0,950.8460839348966,16673.153916065105
170.0,984.4462874713925,16639.553712528606
180.0,984.4462874713925,16639.553712528606
190.0,984.4462874713925,16639.553712528606
200.0,1018.0464910078883,16605.953508992112
210.0,1018.0464910078883,16605.953508992112
220.0,1018.0464910078883,16605.953508992112
230.0,1018.0464910078883,16605.953508992112
240.0,1018.0464910078883,16605.953508992112
250.0,1018.0464910078883,16605.953508992112
260.0,1018.0464910078883,16605.953508992112
270.0,1018.0464910078883,16605.953508992112
280.0,1018.0464910078883,16605.953508992112
290.0,1018.0464910078883,16605.953508992112
300.0,1018.0464910078883,16605.953508992112
310.0,1018.0464910078883,16605.953508992112
320.0,1018.0464910078883,16605.953508992112
330.0,1018.0464910078883,16605.953508992112
340.0,1018.0464910078883,16605.953508992112
350.0,1018.0464910078883,16605.953508992112
360.0,1018.0464910078883,16605.953508992112
370.0,1018.0464910078883,16605.953508992112
380.0,1118.847101617376,16505.152898382625
390.0,1118.847101617376,16505.152898382625
400.0,1118.847101617376,16505.152898382625
410.0,1118.847101617376,16505.152898382625
420.0,1018.0464910078883,16605.953508992112
430.0,1018.0464910078883,16605.953508992112
440.0,1018.0464910078883,16605.953508992112
450.0,1018.0464910078883,16605.953508992112
460.0,1018.0464910078883,16605.953508992112
470.0,1018.0464910078883,16605.953508992112
480.0,1018.0464910078883,16605.953508992112
490.0,1018.0464910078883,16605.953508992112
500.0,1018.0464910078883,16605.953508992112
510.0,1018.0464910078883,16605.953508992112
520.0,1018.0464910078883,16605.953508992112
530.0,1018.0464910078883,16605.953508992112
540.0,1018.0464910078883,16605.953508992112
550.0,1018.0464910078883,16605.953508992112
560.0,1018.0464910078883,16605.953508992112
570.0,1036.7276371843407,16587.27236281566
580.0,1036.7276371843407,16587.27236281566
590.0,1036.7276371843407,16587.27236281566
600.0,1036.7276371843407,16587.27236281566
