budget,change_region_h_rel_l2,change_region_momentum_rel_l2,false_positive_wet_fraction,mixture_volume_relative_error,debris_front_mae_km,peak_Q_relative_error,mean_wet_iou
B10,0.607186758342087,0.5409567933599426,-0.10979800865532845,-0.650599415431652,-0.24926676100124365,-0.03664383526056005,-0.03010939351387414
B20,0.5187752107844213,0.30446790891931624,-0.16710586148666443,-3.811215250593482,-0.37472421447515053,-0.4578212343116589,-0.09111501531389882
