"budget","metric","v1","v1_1"
"B10","change_region_h_rel_l2","0.7557155520247494","0.7593454407002601"
"B10","change_region_momentum_rel_l2","0.521925825477275","0.5230506601923419"
"B10","mean_wet_iou","0.2456723685819769","0.34368613940649534"
"B10","false_positive_wet_fraction","0.7531182974636581","0.644969393940248"
"B10","wet_overprediction_ratio","3.2400548911038447","2.3147955078698343"
"B10","mixture_volume_relative_error","0.18556061677097838","0.3527866443014728"
"B10","debris_front_mae_km","13.775138742258253","12.72635315697229"
"B10","peak_Q_relative_error","0.6455869622546652","0.7205331111235805"
"B20","change_region_h_rel_l2","0.7273643286733558","0.7379489095532202"
"B20","change_region_momentum_rel_l2","0.5236376213307162","0.5271906508856812"
"B20","mean_wet_iou","0.1884544395403313","0.3065748839868355"
"B20","false_positive_wet_fraction","0.8153696191089228","0.6811163724172342"
"B20","wet_overprediction_ratio","4.310815274853268","2.533532042271805"
"B20","mixture_volume_relative_error","0.5794155803867012","0.9335120307266337"
"B20","debris_front_mae_km","14.250096644100385","13.54523764713257"
"B20","peak_Q_relative_error","2.4729831656420895","0.9781418223263701"
