case,V_m3,T_s,K_u,Q_peak_m3s,h_ref_peak_m,u_peak_ms,V_t30_expected_m3,V_t60_expected_m3,V_t90_expected_m3
V2,2000000.0,90.0,1.0,34906.58503988659,14.991591987506865,12.12713970388081,500000.0,1500000.0,2000000.0
V4,4000000.0,90.0,1.0,69813.17007977318,23.797668891646428,15.279238587935312,1000000.0,3000000.0,4000000.0
V6,6000000.0,90.0,1.0,104719.75511965978,31.183767975007576,17.490362026980012,1500000.0,4500000.0,6000000.0
V10,10000000.0,90.0,1.0,174532.92519943297,43.83568089551995,20.737117195624148,2500000.0,7500000.0,10000000.0
