time_s,C3_route_front_m,E4_route_front_m,front_gain_m,C3_max_depth_m,E4_max_depth_m,C3_max_speed_ms,E4_max_speed_ms
90,1768.372140696924,1808.3721406969867,40.000000000062755,14.64017429402729,15.34831485690357,36.207541199347524,36.257502703949385
180,3288.094608667511,3508.0946086676763,220.00000000016553,17.43787147862495,20.41940324971915,24.79382665454424,29.85449014028965
300,6144.29789913417,7222.312205898195,1078.0143067640256,14.88756216051026,20.42338077875928,32.88469873635664,41.501520202711745
420,9038.329285249325,10897.450688263481,1859.1214030141564,7.218995429965474,13.37779653867865,28.546428888689867,41.545956725411216
600,11956.769096385957,13655.611321881093,1698.8422254951365,14.84053936954036,47.68705866168056,27.5949775916554,32.02542981713903
900,12816.563800161319,14435.312244148674,1618.7484439873551,20.92163050281362,43.75355555892029,18.898018883700573,28.940112634088642
