order,row,col,x,y,chainage_m,distance_to_route_m,terrain_z_m,adverse_rise_m
0,189,134,343166.0,3131436.0,16370.178394522132,16.810622697054963,2025.2880859375,0.0
1,189,133,343134.0,3131436.0,16410.178394522423,11.75819203665596,2029.477294921875,4.189208984375
2,190,132,343102.0,3131404.0,16450.178394522387,9.186121129687688,2029.4654541015625,4.1773681640625
3,191,131,343070.0,3131372.0,16490.17839452235,9.259650390232242,2031.34423828125,6.05615234375
4,192,130,343038.0,3131340.0,16530.178394522314,11.929961935856298,2040.0386962890625,14.7506103515625
5,193,129,343006.0,3131308.0,16590.178394522238,11.10941251218572,2051.32763671875,26.03955078125
6,194,128,342974.0,3131276.0,16630.1783945222,8.958888236548136,2058.279296875,32.9912109375
7,195,127,342942.0,3131244.0,16670.178394522165,9.608895514346642,2067.216796875,41.9287109375
8,196,126,342910.0,3131212.0,16710.17839452213,12.634343278458124,2075.52734375,50.2392578125
9,197,125,342878.0,3131180.0,16770.178394522423,10.519559771509208,2078.323974609375,53.035888671875
10,198,125,342878.0,3131148.0,16790.178394522383,14.13569850555816,2084.350830078125,59.062744140625
11,199,124,342846.0,3131116.0,16829.372219806268,11.44200910791759,2088.9365234375,63.6484375
12,200,124,342846.0,3131084.0,16869.37221980629,8.331945938805719,2088.59912109375,63.31103515625
13,201,123,342814.0,3131052.0,16909.37221980631,34.830403211606686,2088.19970703125,62.91162109375
14,202,123,342814.0,3131020.0,16929.37221980632,29.236781748839626,2081.974365234375,56.686279296875
15,203,123,342814.0,3130988.0,16969.37221980634,25.23402959091882,2073.569091796875,48.281005859375
16,204,123,342814.0,3130956.0,16989.372219806348,20.94574390936516,2064.03857421875,38.75048828125
17,205,122,342782.0,3130924.0,17048.954505154295,25.195278421064145,2048.115478515625,22.827392578125
18,206,121,342750.0,3130892.0,17088.954505154376,28.377883912027578,2040.3204345703125,15.0323486328125
19,207,120,342718.0,3130860.0,17148.954505154456,28.921670150049533,2034.533203125,9.2451171875
20,208,119,342686.0,3130828.0,17188.954505154496,30.347135012581912,2030.20751953125,4.91943359375
21,209,118,342654.0,3130796.0,17228.954505154234,32.661294215123995,2031.33154296875,6.04345703125
22,210,117,342622.0,3130764.0,17288.954505154314,35.31603881176254,2031.9620361328125,6.6739501953125
23,211,117,342622.0,3130732.0,17308.954505154354,13.670295787318757,2017.50341796875,0.0
24,212,117,342622.0,3130700.0,17328.954505154354,9.569653652262412,2005.89990234375,0.0
25,213,116,342590.0,3130668.0,17368.954505154434,8.008116111323362,2007.4097900390625,1.5098876953125
26,214,115,342558.0,3130636.0,17408.954505154474,9.899874414901484,2010.6370849609375,4.7371826171875
27,215,114,342526.0,3130604.0,17468.95450515421,7.587975476047899,2011.491943359375,5.592041015625
28,216,113,342494.0,3130572.0,17508.954505154292,2.33202062549056,2012.189453125,6.28955078125
29,217,112,342462.0,3130540.0,17548.954505154332,3.824291531860917,2011.0126953125,5.11279296875
30,218,111,342430.0,3130508.0,17588.954505154372,9.227027061561813,2001.2950439453125,0.0
31,219,110,342398.0,3130476.0,17648.954505154452,6.831475450801066,1993.8736572265625,0.0
32,220,109,342366.0,3130444.0,17688.95450515419,5.582583460753665,1992.74951171875,0.0
33,221,108,342334.0,3130412.0,17728.95450515423,8.774243928395016,1990.01025390625,0.0
34,222,107,342302.0,3130380.0,17768.95450515431,13.569650403871098,1982.307861328125,0.0
35,223,106,342270.0,3130348.0,17828.95450515439,12.150210309621583,1975.306396484375,0.0
36,224,105,342238.0,3130316.0,17868.95450515443,12.990728414099603,1969.3314208984375,0.0
37,225,104,342206.0,3130284.0,17908.954505154168,15.849806813764907,1957.6021728515625,0.0
38,226,103,342174.0,3130252.0,17968.95450515425,19.07910697914599,1943.3173828125,0.0
39,227,102,342142.0,3130220.0,18008.95450515429,18.9856006759629,1936.4072265625,0.0
40,228,101,342110.0,3130188.0,18048.95450515433,20.450420046633024,1936.1136474609375,0.0
41,229,100,342078.0,3130156.0,18088.95450515441,23.179997072672464,1933.0999755859375,0.0
42,230,99,342046.0,3130124.0,18148.954505154146,25.535649226348763,1932.10205078125,0.0
43,231,98,342014.0,3130092.0,18188.954505154186,26.175280785739407,1935.9716796875,3.86962890625
44,232,97,341982.0,3130060.0,18228.954505154266,27.920372564887174,1942.4364013671875,10.3343505859375
45,233,97,341982.0,3130028.0,18248.954505154266,8.335478155772611,1941.6732177734375,9.5711669921875
46,234,96,341950.0,3129996.0,18308.954505154346,12.183714045747092,1940.1827392578125,8.0806884765625
47,234,95,341918.0,3129996.0,18328.954505154386,32.43444632565332,1934.1126708984375,2.0106201171875
48,234,94,341886.0,3129996.0,18348.954505154426,55.39999822180751,1928.919189453125,0.0
49,234,93,341854.0,3129996.0,18368.954505154466,78.73971279806844,1926.3370361328125,0.0
50,234,92,341822.0,3129996.0,18388.954505154124,102.19755874790836,1927.2071533203125,0.8701171875
51,234,91,341790.0,3129996.0,18408.954505154165,125.7074211437397,1932.9842529296875,6.647216796875
52,235,90,341758.0,3129964.0,18448.954505154205,127.63955946160034,1904.155029296875,0.0
53,236,89,341726.0,3129932.0,18665.918211346205,89.47463663296513,1900.2967529296875,0.0
54,237,88,341694.0,3129900.0,18665.918211346205,47.133227305971666,1907.00341796875,6.7066650390625
55,238,87,341662.0,3129868.0,18685.391214173553,5.332250397005054,1912.743408203125,12.4466552734375
56,239,86,341630.0,3129836.0,18725.391214173458,7.433394765636895,1913.76123046875,13.4644775390625
57,240,85,341598.0,3129804.0,18765.391214173673,12.304230807845135,1911.8360595703125,11.539306640625
58,241,85,341598.0,3129772.0,18805.39121417358,14.242364514028951,1909.5303955078125,9.233642578125
59,242,85,341598.0,3129740.0,18825.391214173706,32.73067835103894,1906.5850830078125,6.288330078125
60,243,84,341566.0,3129708.0,18865.39121417361,29.557624270091715,1897.879638671875,0.0
61,244,83,341534.0,3129676.0,18905.391214173516,27.30064604084709,1885.2840576171875,0.0
62,245,82,341502.0,3129644.0,18965.39121417355,25.655662102899672,1875.1947021484375,0.0
63,246,81,341470.0,3129612.0,19005.391214173455,21.490619756088268,1868.942138671875,0.0
64,247,80,341438.0,3129580.0,19045.39121417367,18.297452053027616,1859.8734130859375,0.0
65,248,79,341406.0,3129548.0,19085.391214173575,16.645210733425614,1854.3876953125,0.0
66,249,78,341374.0,3129516.0,19145.391214173607,15.292521231268534,1850.9022216796875,0.0
67,250,77,341342.0,3129484.0,19185.391214173513,10.396591371358463,1844.5120849609375,0.0
68,251,76,341310.0,3129452.0,19225.391214173418,7.185631027277358,1838.301025390625,0.0
69,252,75,341278.0,3129420.0,19265.391214173673,8.030800019483488,1831.370849609375,0.0
70,253,74,341246.0,3129388.0,19325.391214173666,8.074797567732752,1828.31494140625,0.0
71,253,73,341214.0,3129388.0,19345.391214173444,23.65282761001486,1827.896728515625,0.0
72,254,72,341182.0,3129356.0,19385.29575986699,17.4565643854,1827.759033203125,0.0
73,255,71,341150.0,3129324.0,19425.29575986693,9.60449355929748,1826.9130859375,0.0
