case,section,chainage_m,depth_threshold_m,arrival_s,V_m3,h_e_m,entrainment_rate,phi_deg,Manning
RECON_B_rate030,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R3,14780.599432517662,0.001,420.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R3,14780.599432517662,0.05,420.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R3,14780.599432517662,0.1,420.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R3,14780.599432517662,0.2,420.0,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R4,19707.465910023548,0.001,,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R4,19707.465910023548,0.05,,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R4,19707.465910023548,0.1,,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate030,R4,19707.465910023548,0.2,,10000000.0,8.0,0.3,38.0,0.025
RECON_B_rate040,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate040,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,38.0,0.025
RECON_B_rate060,R0,0.0,0.001,30.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R0,0.0,0.05,30.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R0,0.0,0.1,30.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R0,0.0,0.2,30.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R4,19707.465910023548,0.001,,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R4,19707.465910023548,0.05,,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R4,19707.465910023548,0.1,,10000000.0,8.0,0.6,38.0,0.025
RECON_B_rate060,R4,19707.465910023548,0.2,,10000000.0,8.0,0.6,38.0,0.025
RECON_C_phi36,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi36,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,36.0,0.025
RECON_C_phi34,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi34,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,34.0,0.025
RECON_C_phi32,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,32.0,0.025
RECON_C_phi32,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,32.0,0.025
RECON_D_n020,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R2,9853.732955011774,0.001,270.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R2,9853.732955011774,0.05,270.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R2,9853.732955011774,0.1,270.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,34.0,0.02
