case,section,chainage_m,depth_threshold_m,arrival_s,V_m3,h_e_m,entrainment_rate,phi_deg,Manning
RECON_D_n020,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n020,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,34.0,0.02
RECON_D_n015,R0,0.0,0.001,30.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R0,0.0,0.05,30.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R0,0.0,0.1,30.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R0,0.0,0.2,30.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R1,4926.866477505887,0.001,150.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R1,4926.866477505887,0.05,150.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R1,4926.866477505887,0.1,150.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R1,4926.866477505887,0.2,150.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R2,9853.732955011774,0.001,240.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R2,9853.732955011774,0.05,240.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R2,9853.732955011774,0.1,240.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R2,9853.732955011774,0.2,270.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R3,14780.599432517662,0.001,390.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R3,14780.599432517662,0.05,390.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R3,14780.599432517662,0.1,390.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R3,14780.599432517662,0.2,390.0,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R4,19707.465910023548,0.001,,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R4,19707.465910023548,0.05,,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R4,19707.465910023548,0.1,,10000000.0,8.0,0.4,34.0,0.015
RECON_D_n015,R4,19707.465910023548,0.2,,10000000.0,8.0,0.4,34.0,0.015
