case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,11956.769096385957,0.6067126616367527,50.43941098457046,51.318483632283744,50.346434205510526,20576052.672574453,11523297.711130755,False,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,15313.422714979826,0.7770366207859917,86.1013887699622,42.0565275892338,37.953995251592225,23609137.474142343,15686567.090876758,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,16091.700040707938,0.8165281175254211,72.89990130506487,42.09416368371714,33.97982822743009,24061793.477717124,16419725.639446229,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,16530.178394522314,0.8387774699188894,67.67651862071669,38.02622467156639,28.589868823347487,24205345.0462577,16653468.566528188,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,16770.178394522423,0.850955595767025,64.81151096492248,31.13575700639588,25.38884226435713,24316806.899401832,16915114.867853798,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,17308.954505154354,0.8782942760971988,65.05842710805985,30.117643257911485,23.75621513433275,24355429.935444623,17048278.519745596,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,17388.954505154434,0.8823536513799128,65.48510400990136,29.28511170832161,22.89767401797252,24386534.212616533,17096580.633001752,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,17488.954505154252,0.8874278704832911,69.85874571476252,28.939563438179324,20.628519952651626,24412070.24114584,16960148.576601006,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,17948.954505154208,0.9107692783588716,71.57495037512179,30.632710376653595,19.85917949352823,24451975.637538534,16814914.931410775,True,False
RECON_C_phi32,10000000.0,8.0,0.4,32.0,0.025,18128.95450515445,0.9199028727449813,72.7824841127046,29.19448608048041,19.449197630144905,24505167.79592525,16807046.025694262,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,2908.2890574906414,0.14757295893691927,44.04573064963926,50.32906523215116,50.24793010737105,10739498.053275937,748502.0567819071,False,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,6743.14595328992,0.3421620001311403,55.08897625764462,51.21571486370642,50.610638275452125,13531861.542209124,3547174.174945516,False,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,12096.769096386091,0.6138165683815021,51.21887935192206,51.84016157674039,50.51969091820979,18519098.921189144,9207386.181567427,False,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,15453.42271497954,0.7841405275307197,82.33564311756484,44.20817143790944,40.59115628283372,22252140.54755318,14148109.56717651,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,16170.178394522314,0.8205102811466942,70.6447157027434,44.083878808638836,37.3028718562747,23116570.667525902,15452692.799417552,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,16590.178394522238,0.841822001380918,66.07854835473206,42.340545530856176,32.39427721124077,23501710.109851416,15976536.250532188,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,16770.178394522423,0.850955595767025,65.02071743708133,34.570826829843206,28.979724251230643,23685993.189459532,16270286.162982777,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,17308.954505154354,0.8782942760971988,62.42941995367705,30.8553213671105,26.33153004055664,23797656.051646784,16501354.62792356,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,17388.954505154434,0.8823536513799128,64.71170030054476,30.441821385455718,25.449756080060396,23932868.11701787,16669738.908408118,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,17488.954505154252,0.8874278704832911,68.23683347705783,30.56285681859219,23.974416704527908,24054022.276928842,16741710.026337964,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,17948.954505154208,0.9107692783588716,71.66864706914996,31.47989603845908,22.553042418066056,24125894.865091767,16805220.874314032,True,False
RECON_D_n020,10000000.0,8.0,0.4,34.0,0.02,18128.95450515445,0.9199028727449813,73.44246035265421,31.4973712510299,21.214431219486553,24179960.582404997,16880943.105406765,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,3028.2496565499987,0.1536600225709273,43.67157520717358,51.81059048082701,51.366120989982875,10465326.352345783,470409.6993679991,False,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,6903.082514691729,0.350277531683092,52.31210698120406,50.283320259771564,50.163835866686746,12211255.562337752,2216601.9368441314,False,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,12256.769096385966,0.6219353189469158,45.97453197301661,50.42627057139253,50.12788564536592,15681747.621839033,5980944.803816618,False,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,15393.422714979542,0.7810959960686873,77.46794061638391,44.87467988815958,41.57188183725978,18835488.710168857,10102357.264253927,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,16170.178394522314,0.8205102811466942,66.33789316700836,43.651272011093916,38.61803223966611,19936207.89350053,11633392.83463363,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,16530.178394522314,0.8387774699188894,61.46588220771275,42.47770637204125,36.120079916596225,20802068.879649118,12919237.726746472,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,16710.17839452213,0.8479110643049775,62.69422048319305,39.06050668763837,34.28730241745362,21500300.876950823,13925670.671981515,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,16770.178394522423,0.850955595767025,61.41134950672245,38.50803566364731,32.948327630513475,22022055.213828105,14655553.401908495,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,17028.954505154295,0.8640864626077107,61.08229404528833,37.04814427749207,30.962259027659446,22335181.923229422,15121277.30432443,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,17308.954505154354,0.8782942760971988,61.57886669750489,35.412778546884105,29.71592285832607,22543756.992210474,15482673.748483658,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,17388.954505154434,0.8823536513799128,64.268313061603,33.21941830175298,27.41638757213259,22695309.777397584,15759749.19585314,True,False
RECON_D_n015,10000000.0,8.0,0.4,34.0,0.015,17568.954505154372,0.8914872457660072,67.68325770418939,33.02909674821157,26.743229153773,22803219.561642256,15893313.186971162,True,False
