case,V_m3,time_first_reaches_saddle_s,time_local_sill_crossed_s,before_front_chainage_m,before_median_depth_m,before_p90_depth_m,before_median_speed_ms,before_p90_speed_ms,before_wet_volume_m3,after_front_chainage_m,after_median_depth_m,after_p90_depth_m,after_median_speed_ms,after_p90_speed_ms,after_wet_volume_m3
V2,2000000.0,,,,,,,,,,,,,,
V4,4000000.0,630.0,660.0,14593.820973961103,0.7002003946539319,10.895233608638723,2.5441268858634647,3.6626752573648247,9508512.846997507,14853.42271497948,0.8337890601813445,8.53510077183742,4.876367128976761,9.164503768689213,9506510.65371402
V6,6000000.0,450.0,480.0,14653.820973961103,1.164924332823196,14.277109760011756,5.530045937128804,6.088001723244099,12198597.014364056,14853.42271497948,1.754830137379258,7.189738742880329,6.7772276777787885,13.676691762879475,12314366.79207706
V10,10000000.0,420.0,420.0,14395.312244148521,,,,,16811726.16205316,15033.422714979744,9.193904556126181,21.470070759902093,11.103073669330632,24.21828852978971,17091266.490227517
