order,row,col,x,y,chainage_m,distance_to_route_m,terrain_z_m,adverse_rise_m
0,94,67,343182.0,3131452.0,16350.17839452217,15.457413129254773,2026.397827,0.0
1,95,66,343118.0,3131388.0,16450.178394522387,14.011398694225456,2034.641846,8.24401899999998
2,96,65,343054.0,3131324.0,16530.178394522314,15.948050903689156,2060.575684,34.177856999999904
3,97,64,342990.0,3131260.0,16630.1783945222,13.870124156446828,2079.928955,53.53112799999985
4,98,63,342926.0,3131196.0,16710.17839452213,16.48718167652196,2086.017334,59.61950700000011
5,99,62,342862.0,3131132.0,16809.37221980626,5.612066455970619,2087.756104,61.358277000000044
6,100,62,342862.0,3131068.0,16869.37221980629,14.30330724932,2089.533936,63.136108999999806
7,101,62,342862.0,3131004.0,16949.372219806326,22.266580448931926,2084.529053,58.1312260000002
8,102,62,342862.0,3130940.0,17008.954505154255,31.572446477507995,2074.807861,48.41003399999977
9,103,61,342798.0,3130876.0,17068.954505154335,21.50925098938379,2039.700562,13.302734999999984
10,104,60,342734.0,3130812.0,17168.954505154496,15.807515880111435,2015.567139,0.0
11,105,59,342670.0,3130748.0,17248.954505154234,15.632091097490385,2004.483154,0.0
12,106,58,342606.0,3130684.0,17348.954505154394,8.377849079244209,2008.137817,3.6546630000000278
13,107,57,342542.0,3130620.0,17448.95450515417,10.326864193455092,2012.716431,8.233277000000044
14,108,56,342478.0,3130556.0,17528.954505154292,1.5381875097978863,2013.512817,9.029663000000028
15,109,55,342414.0,3130492.0,17628.954505154452,8.79876085786852,2000.688843,0.0
16,110,54,342350.0,3130428.0,17708.95450515423,6.812529277835883,1994.816162,0.0
17,111,53,342286.0,3130364.0,17808.95450515435,12.651447740058805,1984.927612,0.0
18,112,52,342222.0,3130300.0,17888.95450515447,14.223992345340523,1972.182983,0.0
19,113,51,342158.0,3130236.0,17988.95450515425,18.829947847272607,1947.106323,0.0
20,114,50,342094.0,3130172.0,18068.95450515437,21.68179489900829,1938.736572,0.0
21,115,49,342030.0,3130108.0,18168.954505154186,25.7087846983666,1936.848389,0.0
22,116,48,341966.0,3130044.0,18248.954505154266,29.15039228845995,1945.779785,8.93139599999995
23,117,48,341966.0,3129980.0,18308.954505154346,16.755620813924995,1941.84375,4.995361000000003
24,118,47,341902.0,3129916.0,18388.954505154124,11.092106261463474,1916.320923,0.0
25,119,46,341838.0,3129852.0,18488.954505154285,10.279236380815345,1918.459595,2.1386720000000423
26,120,45,341774.0,3129788.0,18565.918211346183,22.307131170358044,1933.126709,16.805785999999898
27,120,44,341710.0,3129788.0,18605.918211346285,46.849076455739116,1921.661133,5.34021000000007
28,120,43,341646.0,3129788.0,18745.391214173585,37.36058124497399,1917.372681,1.0517580000000635
29,121,42,341582.0,3129724.0,18845.391214173484,31.045300684506817,1903.825195,0.0
30,122,41,341518.0,3129660.0,18925.391214173644,26.592384964185623,1882.055664,0.0
31,123,40,341454.0,3129596.0,19025.39121417354,19.739736833183105,1867.410034,0.0
32,124,39,341390.0,3129532.0,19105.391214173702,16.55867711156348,1854.906982,0.0
33,125,38,341326.0,3129468.0,19205.39121417364,8.437811823952941,1843.023193,0.0
34,126,37,341262.0,3129404.0,19285.39121417345,9.844672659607388,1833.403198,0.0
35,127,36,341198.0,3129340.0,19385.29575986699,5.3009526127510425,1832.82959,0.0
36,127,35,341134.0,3129340.0,19445.295759867007,23.6125236929323,1827.613037,0.0
