time_s,front_chainage_m,wet_cells,h_median,h_p90,h_max,speed_median,speed_p90,speed_max,head_median,head_p90,head_max
600.0,13775.611321880913,14,0.8405419561881047,3.9512500337200875,4.24594433692262,11.812094584556242,22.36562195357887,26.20283408345181,3002.3658592766146,3034.48736426409,3050.908959538654
630.0,14155.611321881272,14,1.1813944384901962,5.967679823031935,14.30723629451012,7.848070441051648,13.165652002866276,13.575995182055092,2853.977131761634,2916.880798966873,2942.9846961161875
660.0,14295.611321881068,13,2.224867237446278,5.276567870135803,6.722990733423447,12.909585063846947,15.57832412664874,16.017012094092106,2795.934617187843,2870.5254098485157,2898.165523647282
690.0,14395.312244148521,12,5.552288046101488,12.620164668933535,14.2508527508012,10.866598911007358,18.810324834028854,18.97593691096424,2769.2649727544594,2839.7137110736944,2861.6783143553102
720.0,14395.312244148521,12,11.16766606563774,18.972644978018756,19.45390549294808,2.4159308196543807,18.48659589355842,18.657964924941364,2774.275225944887,2840.199149513153,2861.6546936616987
750.0,14395.312244148521,12,16.690884052414326,22.611992394901478,24.423240980785,1.9560599434947596,8.307434811770314,14.121275203181314,2778.45061793762,2836.2891499834664,2857.6829171272975
780.0,14435.312244148674,12,21.039415145018374,26.356445090091764,28.69512831489379,1.492348077548423,3.844550518984654,5.041835173196095,2742.5543650287173,2808.5329612958694,2841.815652604984
810.0,14435.312244148674,13,22.7316755854632,28.75855771163781,31.3225590565834,0.8289344984048398,2.865972112088336,3.7215011779913234,2752.7665082497674,2810.211968512804,2843.369326807738
840.0,14435.312244148674,14,24.163465726471898,30.580409464840127,33.46345428805098,0.44171047312790856,1.6264257415965186,2.515891613240924,2742.4605125279286,2811.919568267875,2845.3597798535975
870.0,14435.312244148674,14,25.548954036652994,31.983256756457283,34.90931227357088,0.29372579398706933,1.093599393052842,1.1851390035024127,2743.8715474170876,2813.2985346436,2846.567908787967
900.0,14435.312244148674,15,25.60920228475163,32.7989294614555,35.60129501494053,0.1436784025512322,0.5774164444562391,5.066991082825442,2732.987638417167,2814.050519404773,2847.4733932075656
