K_u,time_first_reaches_saddle_s,time_local_sill_crossed_s,front_speed_before_crossing_ms,before_median_depth_m,before_p90_depth_m,before_median_speed_ms,before_p90_speed_ms,after_median_depth_m,after_p90_depth_m,after_median_speed_ms,after_p90_speed_ms
1.0,,,,,,,,,,,
1.5,,,,,,,,,,,
2.0,,,,,,,,,,,
3.0,,,,,,,,,,,
4.0,,,,,,,,,,,
