dataset,resolution_m,corridor_width_m,n_cells,maximum_adverse_rise_m,saddle_elevation_m,saddle_chainage_m,maximum_lateral_offset_m,cumulative_positive_gain_m,physical_path_length_m,wide_maximum_adverse_rise_m,wide_saddle_elevation_m,wide_maximum_lateral_offset_m,wide_sensitivity_adverse_rise_m
30m,30.0,768,79,60.6214599609375,2088.207763671875,16849.372219806282,36.23688868368956,102.8406982421875,3122.8636321800022,60.6214599609375,2088.207763671875,36.23688868368956,0.0
32m,32.0,768,74,63.6484375,2088.9365234375,16829.372219806268,127.63955946160034,102.150390625,3078.2707031040004,63.6484375,2088.9365234375,127.63955946160034,0.0
64m,64,768,37,63.136108999999806,2089.533936,16869.37221980629,46.849076455739116,97.90295399999968,3072.7803710720004,63.136108999999806,2089.533936,46.849076455739116,0.0
