time_s,route_front_chainage_m,front_x,front_y,front_distance_to_route_m,max_depth_m,max_speed_ms,p99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3
0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
30.0,788.4566329350557,353678.0,3131132.0,78.72495733765189,3.771933914959478,47.26269334068545,46.49952735537468,522267.38699490856,24535.107231310343
60.0,1148.4566329350996,353422.0,3131388.0,78.89875533473433,21.95759479875154,51.68988610864982,50.6361088146063,1628397.928717806,121311.23770649922
90.0,1808.3721406969867,353102.0,3131964.0,8.553279384564835,15.34831485690357,36.257502703949385,34.72047067916112,2265522.3335271133,248377.16574953758
120.0,2448.3721406969576,352718.0,3132476.0,33.25060955664965,18.58752763350608,38.20317211805045,36.95242279190626,2438247.923173442,403373.4572792138
150.0,2908.2890574906414,352398.0,3132796.0,40.5547588713482,24.86510813009334,34.22510532193759,33.26438743791985,2591367.681225124,561364.5337412135
180.0,3508.0946086676763,351886.0,3133116.0,69.78780626436023,20.41940324971915,29.85449014028965,27.499659010840187,2744297.671090282,725898.3711692572
210.0,4407.151096831415,351630.0,3133948.0,10.516883044666095,15.92522030519268,41.17800977302352,39.045723001479836,2974322.1889425204,989471.3350997259
240.0,5346.53532460291,351438.0,3134844.0,51.64517883329329,12.57168656180687,44.41265220411777,39.230360867296284,3271639.945128876,1343343.915619479
270.0,6204.29789913417,350734.0,3135036.0,19.080961864842628,22.22734596016583,40.86772751352004,37.4908969812077,3608300.63835306,1759687.158011122
300.0,7222.312205898195,349774.0,3135228.0,4.755828645842302,20.42338077875928,41.501520202711745,39.405285088417,3933931.44414865,2186454.3365716366
330.0,8239.898314904663,348814.0,3135356.0,80.62419437243443,17.86242064244909,40.67317951879411,38.840465675896944,4288280.028382383,2671239.931983631
360.0,9098.329285249327,347982.0,3135356.0,4.856834581539325,15.08776902132455,38.72688892909527,35.774489630830296,4656661.421859233,3201462.7196053695
390.0,10198.329285249281,346894.0,3135292.0,26.278965272401738,15.74554688962556,41.15755060455423,38.764359623243024,5002300.232535612,3728238.008196499
420.0,10897.450688263481,346318.0,3134908.0,9.432630320173798,13.37779653867865,41.545956725411216,38.66043890753486,5352664.632248415,4261540.897347446
450.0,11757.313119347922,345486.0,3134780.0,14.853120447252735,17.49908254644437,39.12218360828364,36.30064000357427,5682313.904383349,4777838.476669819
480.0,12396.735178407522,344910.0,3134524.0,18.985205957225514,18.08248221805717,37.57140818062065,34.54638093427085,5935705.338635399,5204922.480792099
510.0,12756.563800161313,344590.0,3134396.0,29.68359462610548,28.86262912000412,36.35417185285145,32.81543220360072,6173408.799555107,5555955.846426052
540.0,12896.563800161231,344526.0,3134268.0,8.902787700198765,34.99542248537895,35.66285760116326,31.046879968838354,6387903.9674026985,5802330.468143754
570.0,13135.658657199809,344398.0,3134076.0,17.219273401564045,44.14519720060021,34.49899795090205,30.039855238461392,6579039.402457614,6011988.909130663
600.0,13655.611321881093,344398.0,3133564.0,8.131153992518398,47.68705866168056,32.02542981713903,28.22482027799462,6684367.969023363,6160729.597243957
630.0,14035.611321880988,344398.0,3133180.0,30.457062421417188,49.32827133374853,30.522916206630164,27.86345929506937,6753084.028260816,6271317.887817296
660.0,14295.611321881068,344462.0,3132924.0,16.62964241473668,49.32413556321645,31.325979283871625,27.753391535243747,6823068.874143751,6406444.111807498
690.0,14395.312244148521,344398.0,3132860.0,37.507137791892006,49.25217892931724,31.625279303881886,26.75110335998923,6878219.6347502265,6492830.94212687
720.0,14395.312244148521,344398.0,3132860.0,37.507137791892006,48.82409860710586,31.917281903048128,25.82457976428927,6906183.280772543,6533821.325930879
750.0,14395.312244148521,344398.0,3132860.0,37.507137791892006,48.09855545287866,31.81291013843983,24.19235004832386,6921124.97857558,6557947.8134203805
780.0,14435.312244148674,344398.0,3132796.0,8.055063266670512,47.31817040815584,31.16884839668772,22.793827839814043,6933287.926812569,6586499.001144855
810.0,14435.312244148674,344398.0,3132796.0,8.055063266670512,46.43258009237592,30.031226501574295,21.90754640827857,6936720.350924505,6575161.035568677
840.0,14435.312244148674,344398.0,3132796.0,8.055063266670512,45.33325766199171,29.66693967125106,21.031951774567666,6936620.257109248,6585174.034258936
870.0,14435.312244148674,344398.0,3132796.0,8.055063266670512,44.46128645474207,29.250986684555986,20.520826798000044,6936195.040449566,6559022.096157597
900.0,14435.312244148674,344398.0,3132796.0,8.055063266670512,43.75355555892029,28.940112634088642,20.207836158803865,6934553.596809343,6536389.743187168
