time_s,route_front_chainage_m,front_x,front_y,front_distance_to_route_m,max_depth_m,max_speed_ms,p99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3
0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
30.0,668.4566329349177,353614.0,3130876.0,304.92262649931376,5.883425599533715,44.967507741522404,43.76169887218094,499669.94918908685,0.0
60.0,1208.4566329348393,353422.0,3131452.0,33.88236282123535,19.77207815537264,49.9940687346381,49.31395617639348,1499386.8019655866,0.0
90.0,1808.3721406969867,353102.0,3131964.0,8.553279384564835,15.21367150837654,35.28380353787404,34.81559435373546,1999114.11592684,0.0
120.0,2408.372140696895,352782.0,3132476.0,21.627876397379605,15.71659706346838,39.99156946325507,38.748710399303704,1998851.097538844,0.0
150.0,2968.249656549885,352334.0,3132796.0,69.06657759178364,20.7524547412679,29.558932716899605,28.857289939658287,1998545.2228948763,0.0
180.0,3468.094608667549,351950.0,3133116.0,25.272703363453658,14.25362942547809,25.582798926889684,24.78781944237786,1998189.237275657,0.0
210.0,4267.151096831302,351694.0,3133820.0,29.57047333277805,14.80006488262218,36.400609467822264,35.0589210253569,1997554.6323718606,0.0
240.0,5106.535324602665,351758.0,3134588.0,279.2331634311295,7.51751551313447,36.3255738639596,34.96645649781158,1997567.108000092,0.0
270.0,5684.29789913417,351246.0,3135036.0,21.111657204075378,7.866742276603977,34.73583188761704,32.63583074254071,1996638.4418098778,0.0
300.0,6404.29789913417,350542.0,3135036.0,20.259914646236034,14.21473728768661,32.52141521100843,31.036468333605153,1995870.8625845178,0.0
330.0,7162.312205898234,349838.0,3135228.0,10.582544833339599,11.91036084598612,35.39850519934672,32.741330891180525,1995134.1253024735,0.0
360.0,7859.8983149046635,349198.0,3135356.0,80.44485551493527,9.944311253196684,33.085233912590624,30.41102352764396,1994536.5082613598,0.0
390.0,8598.633178201617,348430.0,3135484.0,60.53723662877227,7.998922514281639,30.08669647255836,28.288153135333626,1993592.890992096,0.0
420.0,9238.329285249292,347854.0,3135292.0,63.178218288283574,7.127117464989859,28.339186450108738,27.175791740207778,1993249.4650470042,0.0
450.0,10058.329285249316,347022.0,3135292.0,30.58581654307207,5.68108582802662,34.55877081716615,26.483320849884183,2008834.529428346,0.0
480.0,10537.695727603335,346574.0,3135164.0,22.069981314759797,5.867196734221152,34.509054509512694,28.598108125266737,2015573.8415847041,0.0
510.0,10897.450688263481,346318.0,3134908.0,9.432630320173798,8.448594264090065,33.328592017442126,27.07670174641106,2018443.3337364765,0.0
540.0,11297.313119347837,345934.0,3134844.0,31.29485486939966,9.745504253096662,30.575250820156263,24.798756795096306,2039392.2341963518,0.0
570.0,11697.313119347888,345550.0,3134780.0,9.50658492335393,15.34061451261737,28.29570075387896,22.730054674662423,2041473.9611813985,0.0
600.0,12016.769096386,345230.0,3134716.0,23.515541686116947,15.59878779162515,27.211563436188918,23.538927320693034,2040872.7353957945,0.0
630.0,12256.769096385966,345038.0,3134588.0,25.511861626224906,17.7170853707751,25.566294032758314,22.17497981869839,2040390.8209272688,0.0
660.0,12476.735178407522,344846.0,3134524.0,17.64266975887323,18.98736930373785,24.292068460273946,21.053478522144875,2039950.077004544,0.0
690.0,12636.5638001613,344718.0,3134460.0,29.029347436940792,18.68306643939437,23.799980818491377,21.143783344034766,2039511.7596239522,0.0
720.0,12636.5638001613,344718.0,3134460.0,29.029347436940792,18.59412480966888,23.690380811087973,19.7997766968191,2039120.73879006,0.0
750.0,12636.5638001613,344718.0,3134460.0,29.029347436940792,18.49425091088255,23.26039000480818,18.63383384201915,2038750.5161250918,0.0
780.0,12756.563800161313,344590.0,3134396.0,29.68359462610548,18.59577695221338,22.831067266965984,19.352917899396243,2038418.9099277798,0.0
810.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,19.72789105538674,21.992600529360843,18.61175214383161,2038122.5914792223,0.0
840.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,19.69363328686916,21.199535397141254,17.758430397445952,2037739.5804931885,0.0
870.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,20.58294632236727,19.904888420300523,16.780691499325904,2037482.5415808193,0.0
900.0,2128.372140697166,352910.0,3132220.0,16.563076799525174,23.84041930947457,18.734465060557465,0.21113687218463634,70094.1676480638,0.0
