time_s,route_front_chainage_m,front_x,front_y,front_distance_to_route_m,max_depth_m,max_speed_ms,p99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3
0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
30.0,748.4566329351057,353678.0,3131068.0,123.74952467556744,3.771933914959478,47.70797283650781,46.84155870220828,499531.1384602794,0.0
60.0,1148.4566329350996,353422.0,3131388.0,78.89875533473433,20.58381027619379,51.67354290760027,50.66093059312555,1509999.9856496667,0.0
90.0,1768.372140696924,353166.0,3131964.0,56.774953173725116,14.64017429402729,36.207541199347524,34.84355050000436,2021267.8075971052,0.0
120.0,2348.372140696962,352782.0,3132412.0,14.514973301976342,16.50270529556545,37.571277606448724,36.4103399499781,2048583.3024092128,0.0
150.0,2808.2890574905664,352462.0,3132732.0,46.802010605731304,19.24064888855152,33.3877935729407,32.33351867036091,2048200.9242779377,0.0
180.0,3288.094608667511,352078.0,3132988.0,25.541487315909926,17.43787147862495,24.79382665454424,23.960521872763625,2047825.3462223,0.0
210.0,4027.457947973987,351822.0,3133628.0,30.421329763079143,14.2895282865645,35.65716095778212,34.11660857359882,2047580.5117791393,0.0
240.0,4906.535324602614,351758.0,3134396.0,287.58172011133604,10.56453507754081,36.37937296783239,35.37341242421869,2048747.3914981827,0.0
270.0,5525.057095857075,351374.0,3134972.0,32.01041580547829,9.617214450593947,35.824235178786694,32.623012608194735,2047790.9226185703,0.0
300.0,6144.29789913417,350798.0,3135036.0,19.268461889319916,14.88756216051026,32.88469873635664,30.817794065103904,2046912.429959202,0.0
330.0,6903.082514691729,350030.0,3135100.0,71.87880082663052,12.02361952067328,36.17460953272228,32.56850582427769,2046264.507349586,0.0
360.0,7680.225458078618,349326.0,3135292.0,98.96117112679018,10.52198889049895,33.39869434091163,30.65598897693414,2045699.7064475792,0.0
390.0,8379.898314904663,348686.0,3135484.0,47.99842218344973,7.662756934593681,30.756089785993098,28.646233144221146,2045038.9481689304,0.0
420.0,9038.329285249325,348046.0,3135292.0,70.3620573021487,7.218995429965474,28.546428888689867,27.003839738557076,2044797.4849265232,0.0
450.0,9878.32928524931,347214.0,3135292.0,38.42352590898462,6.711098305175508,34.589065555491594,26.64072876821617,2043997.9798735268,0.0
480.0,10397.803400648374,346702.0,3135228.0,9.004122701902133,6.459991553956694,34.55883261842215,28.12831771158319,2043239.323845782,0.0
510.0,10817.695727603223,346382.0,3134972.0,22.72435661782888,7.535415929653888,33.17540968936151,26.789415264851897,2042512.5832875648,0.0
540.0,11177.313119347877,346062.0,3134844.0,17.084464407991035,9.418185912962494,30.565490322846212,24.638173616656847,2062637.9536860061,0.0
570.0,11557.313119347897,345678.0,3134844.0,57.95718816554837,15.29321613246685,28.91722263174476,22.946212629491868,2062633.9872916935,0.0
600.0,11956.769096385957,345294.0,3134716.0,13.441250003520386,14.84053936954036,27.5949775916554,23.26223303620864,2061994.691012152,0.0
630.0,12096.769096386091,345166.0,3134652.0,9.911396852956717,16.72965366116803,26.14358474375524,22.24156163007377,2061492.366200976,0.0
660.0,12336.769096386057,344974.0,3134524.0,5.868410936280255,18.61863778419314,24.30916930024785,20.966989319256832,2061003.3073144697,0.0
690.0,12536.735178407522,344782.0,3134460.0,47.64758208415981,18.56725608242063,23.64529130476686,21.281770245351318,2060533.388344951,0.0
720.0,12636.5638001613,344718.0,3134460.0,29.029347436940792,18.51990208915671,23.620904119818277,19.519144488995273,2060135.8496360374,0.0
750.0,12636.5638001613,344718.0,3134460.0,29.029347436940792,18.50261418041791,23.251944751827587,18.53580820457239,2059744.0855967924,0.0
780.0,12716.563800161215,344654.0,3134396.0,22.033227961335026,18.17019302321716,22.92178847415682,19.065553786356404,2059384.2194739608,0.0
810.0,12756.563800161313,344590.0,3134396.0,29.68359462610548,19.51280630298523,22.147037649133484,18.34398593833371,2059092.9912516577,0.0
840.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,19.73609479482055,21.407265789330708,17.998643220584217,2058760.177100738,0.0
870.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,19.74016477905939,20.18477651619302,16.422741826113597,2058467.6213065267,0.0
900.0,12816.563800161319,344590.0,3134332.0,12.74513936442899,20.92163050281362,18.898018883700573,16.042115222939156,2058195.8431702964,0.0
