K_u,Q_peak_m3s,h_ref_peak_m,u_peak_ms,relative_momentum_factor,relative_kinetic_energy_per_mass_factor
1.0,34906.58503988659,14.991591987506865,12.12713970388081,1.0,1.0
1.5,34906.58503988659,14.991591987506865,18.190709555821215,1.5,2.25
2.0,34906.58503988659,14.991591987506865,24.25427940776162,2.0,4.0
3.0,34906.58503988659,14.991591987506865,36.38141911164243,3.0,9.0
4.0,34906.58503988659,14.991591987506865,48.50855881552324,4.0,16.0
