case,time_s,old_support_front_m,floorfix_front_m,old_max_depth_m,floorfix_max_depth_m,old_max_speed_ms,floorfix_max_speed_ms,old_p99_speed_ms,floorfix_p99_speed_ms
C3,90,1768.372140696924,1808.3721406969867,14.64017429402729,15.21367150837654,36.207541199347524,35.28380353787404,34.84355050000436,34.81559435373546
C3,180,3288.094608667511,3468.094608667549,17.43787147862495,14.25362942547809,24.79382665454424,25.582798926889684,23.960521872763625,24.78781944237786
C3,300,6144.29789913417,6404.29789913417,14.88756216051026,14.21473728768661,32.88469873635664,32.52141521100843,30.817794065103904,31.036468333605153
C3,420,9038.329285249325,9238.329285249292,7.218995429965474,7.127117464989859,28.546428888689867,28.339186450108738,27.003839738557076,27.175791740207778
C3,600,11956.769096385957,12016.769096386,14.84053936954036,15.59878779162515,27.5949775916554,27.211563436188918,23.26223303620864,23.538927320693034
C3,900,12816.563800161319,2128.372140697166,20.92163050281362,23.84041930947457,18.898018883700573,18.734465060557465,16.042115222939156,0.21113687218463634
E4,90,1808.3721406969867,1888.3721406971122,15.34831485690357,15.88540438359869,36.257502703949385,35.253090840634975,34.72047067916112,34.6852205772275
E4,180,3508.0946086676763,3907.457947973987,20.41940324971915,17.15025204680207,29.85449014028965,36.35365128057303,27.499659010840187,35.3192698007829
E4,300,7222.312205898195,7600.225458078729,20.42338077875928,20.14296981766888,41.501520202711745,41.543032952199056,39.405285088417,39.61601215538396
E4,420,10897.450688263481,11237.313119347911,13.37779653867865,13.69375491608506,41.545956725411216,40.73236408170307,38.66043890753486,38.138535656268154
E4,600,13655.611321881093,13775.611321880913,47.68705866168056,48.23752895548542,32.02542981713903,31.017472248079105,28.22482027799462,27.550542416360724
E4,900,14435.312244148674,14435.312244148674,43.75355555892029,43.49739950438772,28.940112634088642,28.83244097107105,20.207836158803865,19.7489888881735
