resolution_m,n_cells,adverse_rise_m,saddle_elevation_m,saddle_chainage_m,max_route_offset_m
30,43,38.46875,2172.345947265625,14515.312244148608,45.62428639080266
32,41,34.203857421875,2171.957763671875,14495.312244148532,22.74400678495599
64,21,29.613037000000077,2174.341797,14533.820973961103,45.46699184503083
