order,x,y,chainage_m,distance_to_route_m,terrain_z,adverse_rise_m
0,344462.0,3133244.0,13975.61132188108,38.24167230389319,2150.144043,0.0
1,344462.0,3133180.0,14035.611321880988,33.67264241991994,2148.309326,0.0
2,344462.0,3133116.0,14095.611321881364,29.55790013570142,2149.625,1.3156739999999445
3,344462.0,3133052.0,14155.611321881272,26.113087509574218,2149.125732,0.8164059999999154
4,344462.0,3132988.0,14235.611321881155,22.032968897188532,2144.72876,0.0
5,344462.0,3132924.0,14295.611321881068,16.62964241473668,2145.358154,0.6293940000000475
6,344462.0,3132860.0,14355.31224414874,12.338066501537128,2151.718018,6.9892580000000635
7,344398.0,3132796.0,14435.312244148674,8.055063266670512,2163.228027,18.499267000000145
8,344334.0,3132732.0,14533.820973961103,5.052961519626936,2174.341797,29.613037000000077
9,344334.0,3132668.0,14593.820973961103,3.5340388209519698,2171.33374,26.60498000000007
10,344334.0,3132604.0,14653.820973961103,5.607712604722234,2164.546631,19.817871000000196
11,344334.0,3132540.0,14713.820973961103,9.07763465481651,2145.091797,0.36303700000007666
12,344270.0,3132476.0,14813.422714979622,8.72419297830356,2131.259033,0.0
13,344206.0,3132412.0,14893.422714979723,16.234504294055988,2126.209961,0.0
14,344142.0,3132348.0,14993.42271497954,17.853900606028795,2116.3396,0.0
15,344078.0,3132284.0,15093.422714979704,24.51054765073769,2119.081055,2.7414550000003146
16,344014.0,3132220.0,15173.422714979804,27.046277787450823,2112.334229,0.0
17,343950.0,3132156.0,15273.422714979622,32.906399855074746,2110.219971,0.0
18,343886.0,3132092.0,15353.422714979684,36.25368490258756,2099.407471,0.0
19,343822.0,3132028.0,15453.42271497954,41.65314523859234,2090.248535,0.0
20,343758.0,3131964.0,15533.422714979602,45.46699184503083,2078.958496,0.0
