order,x,y,chainage_m,distance_to_route_m,terrain_z,adverse_rise_m
0,344446.0,3133228.0,13995.611321881046,22.74400678495599,2144.2197265625,0.0
1,344446.0,3133196.0,14015.611321881017,19.083661983859145,2144.521240234375,0.301513671875
2,344446.0,3133164.0,14055.611321880959,17.304157913510757,2143.3310546875,0.0
3,344446.0,3133132.0,14075.61132188093,16.046725065458848,2142.614990234375,0.0
4,344446.0,3133100.0,14115.611321881335,12.246598855039327,2142.177734375,0.0
5,344446.0,3133068.0,14155.611321881272,13.512762005951354,2140.356689453125,0.0
6,344446.0,3133036.0,14175.611321881242,8.302153448916561,2138.766357421875,0.0
7,344446.0,3133004.0,14215.611321881184,7.666510106153874,2137.75390625,0.0
8,344446.0,3132972.0,14235.611321881155,7.501572249753761,2138.054931640625,0.301025390625
9,344446.0,3132940.0,14275.611321881097,1.8322890992574932,2140.739013671875,2.985107421875
10,344446.0,3132908.0,14315.611321881033,9.517076010241908,2143.832275390625,6.078369140625
11,344446.0,3132876.0,14335.611321881004,4.04233291993927,2146.890869140625,9.136962890625
12,344414.0,3132844.0,14395.312244148521,15.22708225798938,2151.2880859375,13.5341796875
13,344382.0,3132812.0,14435.312244148674,14.688575192233335,2155.333740234375,17.579833984375
14,344382.0,3132780.0,14455.31224414875,8.807081596655141,2162.88525390625,25.13134765625
15,344350.0,3132748.0,14495.312244148532,12.014403562175444,2171.957763671875,34.203857421875
16,344318.0,3132716.0,14553.820973961103,14.632375673458489,2170.09814453125,32.34423828125
17,344318.0,3132684.0,14573.820973961103,13.227904167203318,2160.943359375,23.189453125
18,344318.0,3132652.0,14613.820973961103,13.002439314158895,2158.38623046875,20.63232421875
19,344318.0,3132620.0,14633.820973961103,15.031116356607713,2158.44970703125,20.69580078125
20,344318.0,3132588.0,14673.820973961103,12.490814160315967,2152.2666015625,14.5126953125
21,344318.0,3132556.0,14713.820973961103,14.632375673458489,2141.728515625,3.974609375
22,344318.0,3132524.0,14753.422714979662,10.246813544362091,2134.832275390625,0.0
23,344286.0,3132492.0,14793.42271497952,8.34265930295459,2128.853515625,0.0
24,344254.0,3132460.0,14833.422714979724,9.937970069619693,2129.4228515625,0.5693359375
25,344222.0,3132428.0,14873.422714979582,13.87396995741076,2125.48779296875,0.0
26,344190.0,3132396.0,14933.42271497958,16.49467096854018,2123.556396484375,0.0
27,344158.0,3132364.0,14973.422714979784,16.94281876164179,2116.666015625,0.0
28,344126.0,3132332.0,15013.422714979642,19.14692020213504,2108.833251953125,0.0
29,344094.0,3132300.0,15053.4227149795,22.598905001928856,2112.555908203125,3.72265625
30,344094.0,3132268.0,15093.422714979704,8.697604614184396,2106.0205078125,0.0
31,344062.0,3132236.0,15133.422714979562,4.1050106665558515,2107.01904296875,0.99853515625
32,344030.0,3132204.0,15173.422714979804,4.755460812967513,2099.777587890625,0.0
33,343998.0,3132172.0,15213.422714979662,9.640446614817613,2098.6201171875,0.0
34,343966.0,3132140.0,15273.422714979622,12.009757437028783,2095.023681640625,0.0
35,343934.0,3132108.0,15313.422714979826,11.654150378207474,2087.28125,0.0
36,343902.0,3132076.0,15353.422714979684,13.85513178539138,2085.48193359375,0.0
37,343870.0,3132044.0,15393.422714979542,17.68249532632326,2084.04248046875,0.0
38,343870.0,3132012.0,15433.422714979746,10.198181348347878,2080.5966796875,0.0
39,343838.0,3131980.0,15473.422714979642,4.6696573190965,2077.60205078125,0.0
40,343806.0,3131948.0,15513.4227149795,2.0418140372812252,2071.272216796875,0.0
