time_s,K_lower,K_higher,lower_reach_m,higher_reach_m,deficit_m
300,1.5,2.0,7600.225458078729,7380.237484001108,219.9879740776214
420,1.5,2.0,11237.313119347911,10957.450688263414,279.8624310844971
540,1.5,2.0,12996.563800161372,12896.563800161231,100.00000000014006
600,1.5,2.0,13775.611321880913,13575.61132188121,199.9999999997035
