time_s,instantaneous_published_route_reach_m,historical_published_route_reach_m,published_fraction,R4_h0001_reached,R4_h005_reached,R4_h010_reached,R4_h020_reached,R4_h050_reached,R4_h100_reached,post_R4_extension_reach_h0001_m,post_R4_extension_reach_h010_m,total_diagnostic_reach_h010_m,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,furthest_downstream_x,furthest_downstream_y,furthest_downstream_distance_from_R4_m,minimum_distance_wet_to_domain_boundary_m,wet_h010_touches_domain_boundary
0.0,0.0,0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338894.0,3127228.0,2853.5899694804243,,False
30.0,928.4566329349835,928.4566329349835,0.04711192383505557,False,False,False,False,False,False,0.0,0.0,928.4566329349835,26.84404103810857,51.349641626305996,51.17597753027899,2683001.035007426,191320.1352716973,338894.0,3127228.0,2853.5899694804243,2016.0,False
60.0,1768.372140696924,1768.372140696924,0.08973107698222632,False,False,False,False,False,False,0.0,0.0,1768.372140696924,56.54268143418071,52.15919255979428,51.688584978745425,8137878.816950911,656242.9996833678,338894.0,3127228.0,2853.5899694804243,2016.0,False
90.0,2808.2890574905664,2808.2890574905664,0.14249873983352793,False,False,False,False,False,False,0.0,0.0,2808.2890574905664,42.73863115312497,50.91140486450612,50.588177562027376,11466602.183344586,1497732.4971294403,338894.0,3127228.0,2853.5899694804243,2016.0,False
120.0,4087.457947973987,4087.457947973987,0.20740657203902796,False,False,False,False,False,False,0.0,0.0,4087.457947973987,26.83032484125101,50.791846867480224,50.47657758045564,12736424.28869309,2824364.1450618114,338894.0,3127228.0,2853.5899694804243,2016.0,False
150.0,5624.29789913417,5624.29789913417,0.28538919842928956,False,False,False,False,False,False,0.0,0.0,5624.29789913417,33.58827426938129,51.84989123551462,51.211374316349726,14602248.878494058,4797108.013300278,338894.0,3127228.0,2853.5899694804243,2016.0,False
180.0,6564.004030557351,6564.004030557351,0.33307194646566857,False,False,False,False,False,False,0.0,0.0,6564.004030557351,62.45849543037865,50.602318314373974,50.25370426432737,16351370.829552904,6659196.68236364,338894.0,3127228.0,2853.5899694804243,2016.0,False
210.0,7859.8983149046635,7859.8983149046635,0.398828461801727,False,False,False,False,False,False,0.0,0.0,7859.8983149046635,52.17284038218433,50.328096706689145,50.15190273088695,17807032.1183159,8296668.620240536,338894.0,3127228.0,2853.5899694804243,2016.0,False
240.0,9418.329285249298,9418.329285249298,0.4779066638120621,False,False,False,False,False,False,0.0,0.0,9418.329285249298,50.47871955324628,50.58909618307038,50.332292689009144,19223284.00478735,9945586.590177337,338894.0,3127228.0,2853.5899694804243,1952.0,False
270.0,10677.695727603259,10677.695727603259,0.5418096764116387,False,False,False,False,False,False,0.0,0.0,10677.695727603259,48.30142932630768,50.500859994697166,50.13615756847903,20575106.604348663,11583891.317803705,338894.0,3127228.0,2853.5899694804243,1888.0,False
300.0,12016.769096386,12016.769096386,0.6097571930987875,False,False,False,False,False,False,0.0,0.0,12016.769096386,61.37593140328592,51.81062335702436,50.37214089980062,21820637.31356003,13094855.71888912,338894.0,3127228.0,2853.5899694804243,1824.0,False
330.0,12896.563800161231,12896.563800161231,0.654399904028342,False,False,False,False,False,False,0.0,0.0,12896.563800161231,69.66451744741673,50.85575883615538,49.52766583284439,22767192.883405186,14346990.839956386,338894.0,3127228.0,2853.5899694804243,1824.0,False
360.0,14155.611321881272,14155.611321881272,0.7182867338961876,False,False,False,False,False,False,0.0,0.0,14155.611321881272,86.55246536635885,50.11016512027069,47.08448652097805,23461798.6139727,15333233.368133148,338894.0,3127228.0,2853.5899694804243,1824.0,False
390.0,14893.422714979723,14893.422714979723,0.7557249005517588,False,False,False,False,False,False,0.0,0.0,14893.422714979723,97.23032059627937,45.40772743814305,39.59580953531877,23988390.587289244,16121946.751873298,338894.0,3127228.0,2853.5899694804243,1824.0,False
420.0,15493.422714979744,15493.422714979744,0.7861702151720851,False,False,False,False,False,False,0.0,0.0,15493.422714979744,84.57995653069989,41.790549664295206,36.736198607910815,24365517.815261547,16707270.283948347,338894.0,3127228.0,2853.5899694804243,1824.0,False
450.0,16031.700040707938,16031.700040707938,0.8134835860633886,False,False,False,False,False,False,0.0,0.0,16031.700040707938,75.17579700609723,41.349033490129116,34.66747629563001,24551977.769783854,16932315.748741247,338894.0,3127228.0,2853.5899694804243,1824.0,False
480.0,16270.178394522243,16270.178394522243,0.8255845002500782,False,False,False,False,False,False,0.0,0.0,16270.178394522243,74.23655021452005,41.09661145018228,33.16817543776411,24645618.086010113,17170539.904369764,338894.0,3127228.0,2853.5899694804243,1824.0,False
510.0,16490.17839452235,16490.17839452235,0.8367477822775362,False,False,False,False,False,False,0.0,0.0,16490.17839452235,68.52901847690335,40.626271269302805,29.916980600683114,24716478.907118615,17288889.100630194,338894.0,3127228.0,2853.5899694804243,1824.0,False
540.0,16670.178394522165,16670.178394522165,0.8458813766636244,False,False,False,False,False,False,0.0,0.0,16670.178394522165,66.77813504603799,33.05523165330078,26.81228351231205,24786110.145390194,17472382.830278534,338894.0,3127228.0,2853.5899694804243,1824.0,False
570.0,16770.178394522423,16770.178394522423,0.850955595767025,False,False,False,False,False,False,0.0,0.0,16770.178394522423,65.83475631744503,31.867720695631736,24.89917896925324,24834347.041106943,17588240.62370322,338894.0,3127228.0,2853.5899694804243,1824.0,False
600.0,17128.954505154416,17128.954505154416,0.8691606817111043,False,False,False,False,False,False,0.0,0.0,17128.954505154416,67.98738828257014,29.93812946382556,23.447387910325386,24865521.620595198,17682372.4713806,338894.0,3127228.0,2853.5899694804243,1824.0,False
630.0,17308.954505154354,17308.954505154354,0.8782942760971988,False,False,False,False,False,False,0.0,0.0,17308.954505154354,67.33204419430561,30.594790719298878,22.8026503523049,24885827.904659305,17715455.32113395,338894.0,3127228.0,2853.5899694804243,1824.0,False
660.0,17308.954505154354,17308.954505154354,0.8782942760971988,False,False,False,False,False,False,0.0,0.0,17308.954505154354,65.72274633896818,29.536752279595632,22.668583630261683,24899565.983387917,17796512.778727017,338894.0,3127228.0,2853.5899694804243,1824.0,False
690.0,17388.954505154434,17388.954505154434,0.8823536513799128,False,False,False,False,False,False,0.0,0.0,17388.954505154434,66.27711361220635,29.38843201756578,21.405274874311605,24919116.003614705,17721721.348002277,338894.0,3127228.0,2853.5899694804243,1824.0,False
720.0,17388.954505154434,17388.954505154434,0.8823536513799128,False,False,False,False,False,False,0.0,0.0,17388.954505154434,68.69963263102245,28.68888145445669,21.26744495815733,24943897.21486707,17675283.74255813,338894.0,3127228.0,2853.5899694804243,1824.0,False
750.0,17668.95450515415,17668.95450515415,0.8965614648693835,False,False,False,False,False,False,0.0,0.0,17668.95450515415,70.87778290152465,30.184025843337267,20.60436028833571,24974559.909948163,17654267.26819609,338894.0,3127228.0,2853.5899694804243,1824.0,False
780.0,17848.95450515439,17848.95450515439,0.9056950592554932,False,False,False,False,False,False,0.0,0.0,17848.95450515439,72.25440540046884,30.74832738930618,20.53714100407314,24992993.977336377,17716753.13885498,338894.0,3127228.0,2853.5899694804243,1824.0,False
810.0,18028.95450515433,18028.95450515433,0.9148286536415876,False,False,False,False,False,False,0.0,0.0,18028.95450515433,73.36785725479741,30.657279226587814,20.106574374051963,25002659.687234025,17682454.00700088,338894.0,3127228.0,2853.5899694804243,1824.0,False
