__change_den_c,__change_den_dz,__change_den_h,__change_den_hu,__change_den_hv,__change_den_ice,__change_num_c,__change_num_dz,__change_num_h,__change_num_hu,__change_num_hv,__change_num_ice,__new_intersection,__new_pred,__new_truth,__new_union,active_cell_coverage_fraction,budget_fraction,budget_max_count,case_wall_runtime_seconds,change_region_c_rel_l2,change_region_dz_rel_l2,change_region_h_rel_l2,change_region_hu_rel_l2,change_region_hv_rel_l2,change_region_ice_rel_l2,change_region_momentum_rel_l2,debris_front_final_error_km,debris_front_mae_km,false_positive_wet_fraction,final_wet_iou,front_zone_h_rel_l2,front_zone_momentum_rel_l2,front_zone_wet_iou,mean_wet_iou,method,mixture_volume_relative_error,newly_wet_iou,newly_wet_precision,newly_wet_recall,scenario_id,selected_patch_count,trajectory_c_rel_l2,trajectory_dz_rel_l2,trajectory_h_rel_l2,trajectory_hu_rel_l2,trajectory_hv_rel_l2,trajectory_ice_rel_l2,trajectory_momentum_rel_l2,wet_overprediction_ratio
40222.31467985641,72501.22977417707,34331585.49860616,43822686784.623886,44527558414.58065,256.1750057976751,8072.902371048927,67863.95559954643,22097813.688766718,13250700877.66504,19421106778.436523,110.4657147085777,10700,1205710,15222,1210232,0.027150448091113985,0.1,19,15.431339499991736,0.4480034108719312,0.9674909211609736,0.8022832471507865,0.54988253325174,0.6604235433777402,0.6566672784180314,0.6081107800306346,5.340000152587891,15.243592045466665,0.5981609366657975,0.20961739737178742,0.9537053636692042,0.9478742313962302,0.5373226829202306,0.35253974131819094,FrontOnly_B10,0.17182716404070197,0.008841280019037672,0.008874439127153296,0.7029299697805808,JILONG_EI_0009,1.4375,1.6987197719428087,1.1384337206656818,4.4165259597087125,0.7936216689675215,4.135871972771955,1.0536378779971791,2.9364750624377636,1.6550277779832667
34723.52818476036,80957.28886890411,25376808.590233617,29555542556.124622,32695617830.375175,132.39841732103378,6891.379085242748,76027.26261806488,16303280.488676585,8689672532.805664,9151204995.588104,58.480857376773415,10291,1085366,13878,1088953,0.040484540792754986,0.1,19,15.225054499998805,0.4454932693911958,0.9690734583701497,0.8015285535807456,0.542228370697356,0.5290471361987449,0.664607853232498,0.5353457759957103,5.819999694824219,13.235531943962506,0.5821254546831356,0.21919054115507047,1.5030083343048444,0.9383025058826252,0.5275254468512385,0.3604539049200041,FrontOnly_B10,0.16273277914971246,0.009450361953178879,0.009481594227200778,0.7415333621559302,JILONG_EI_0019,2.1875,1.5746527255325433,1.128399794658833,1.2113087065689656,0.7640330776667554,4.289689798529662,1.065682422945547,3.0163499086963217,1.5868807835156276
37156.73530562222,92481.5048237443,28811680.589952502,36007318607.353355,38825466307.84117,337.49634789254924,8326.357201039791,86747.75945985317,18453728.91747245,10608729199.718693,13920414868.078026,150.30244207466342,10517,1228068,14980,1232531,0.04360076923796858,0.1,19,15.37905970000429,0.4733787349989935,0.968504603551362,0.8003091321447056,0.5427955656751766,0.5987806385969003,0.6673420324083338,0.5725260383293325,2.549999237060547,13.633732312267096,0.6169462436079702,0.20482279441817014,7.434218129224521,1.1278035238854593,0.5309745573128594,0.33750438742872035,FrontOnly_B10,0.058917996432179986,0.00853284826101737,0.008563858027405648,0.7020694259012016,JILONG_EI_0029,2.5069444444444446,1.80725285418007,1.1242630465288446,2.4992708678853464,0.7930208971848449,4.608592238471935,1.034171644876119,3.2768564102955393,1.7134533752308498
31955.091040883213,76885.32242523134,20727144.440217003,24945357901.363438,27596105776.552704,365.74111234099837,7622.808916211128,72001.58385241032,13356854.602124482,7368766425.119021,7223274244.901108,166.46138617760153,10019,1120464,13648,1124093,0.034733655288479125,0.1,19,15.291253300005337,0.48841330598161503,0.9677190824347709,0.8027537856144621,0.5435037257969091,0.5116148615484338,0.6746365442737028,0.526995530830064,5.819999694824219,15.19563404754014,0.6062309432131442,0.21570519004437586,1.5390072562957005,0.9480335904307641,0.5895724169997095,0.34183909785241356,FrontOnly_B10,0.09844915860934715,0.008912963607103683,0.008941831241342872,0.7341002344665886,JILONG_EI_0039,2.013888888888889,1.7985315146176526,1.1098344664436295,1.3030516091432809,0.7791703722109152,5.048530338537356,1.0011690747854751,3.565411788107036,1.6592466476494239
41456.80176700652,81330.60382030904,34403119.76943549,44620929967.68163,47197874190.75491,157.03875714167316,9332.874467015266,75560.39460420609,22523231.1277738,14348295723.311708,16931900445.80597,76.07361975008517,10108,1164258,15879,1170029,0.042209178954819924,0.1,19,15.381075199999032,0.4744711546195489,0.9638736554905591,0.8091265147303401,0.5670623989485476,0.5989514684348008,0.6960070136193864,0.5836720780989821,4.14000129699707,12.736783349639053,0.6039382550363435,0.20422195416164052,18.5712911910671,1.1426452318210458,0.540372579540938,0.33844412002154506,FrontOnly_B10,0.17209716859041163,0.008639102107725534,0.008681924453171033,0.636564015366207,JILONG_EI_0049,2.3541666666666665,1.656439523441983,1.1708166192896516,9.097532720890563,0.8043659186982364,3.044648306552167,1.1520140673096908,2.219491594062913,1.5996423643798907
35336.20548405871,71319.21658104658,25095066.9514793,30098298892.845074,32967696484.868633,158.63836451845418,7610.016537904739,66608.11164879799,16163735.72093904,8674734512.44165,10547862228.562717,68.30797289125803,10278,1098794,14334,1102850,0.03996399062722546,0.1,19,15.214285699999891,0.46406930569559685,0.9664074712134961,0.8025584859873349,0.5368551464957388,0.5656371464869521,0.656192990281284,0.5520881178911986,5.700000762939453,13.493239569858137,0.5905235050839761,0.21519881801246227,1.5270450096691794,0.9363916242852489,0.5473870296806645,0.35187640162596456,FrontOnly_B10,0.08937122325465799,0.009319490411207327,0.009353891630278287,0.7170364169108413,JILONG_EI_0059,2.2152777777777777,1.6380551258455434,1.1378939414238767,1.7153207992780712,0.7688263112254352,3.871454921572838,1.0813070527789597,2.7504485387634223,1.5944438010680049
41179.61009020358,93895.09017384052,32519565.917531945,41913293246.8365,43899213296.85787,56.4482686781848,9356.220881640911,88818.11270093918,21307688.394976526,13352815848.069918,14574515346.849808,65.00955212240501,10121,1150936,15482,1156297,0.04201162620531107,0.1,19,15.334694899996975,0.47666044922508644,0.9725889445441075,0.8094607565548935,0.5644305821901718,0.5761939477454675,1.073157027555005,0.570478686979412,2.309999465942383,11.83678335649567,0.6116847733614647,0.1994234143895713,13.098884675652066,1.07075384479054,0.48061330571968564,0.3294635331627677,FrontOnly_B10,0.13942936677114104,0.008752941502053538,0.008793712248118054,0.6537269086681308,JILONG_EI_0069,2.298611111111111,1.6525595762125411,1.1346630865312575,2.538731351203803,0.8123120020592225,3.264507698299871,1.4535020957271805,2.36505357738666,1.6024771157347804
34522.367499114014,70680.4330277443,22762082.71220981,27021347192.559578,30356389200.495186,84.34853874377063,7704.241039931774,66077.15847992897,14763116.358456075,7873078164.055362,8260560310.651138,47.08562598855134,10131,1055621,14159,1059649,0.040520222594887,0.1,19,15.410832300010952,0.4724051736800126,0.9668877958815708,0.8053469584146805,0.5397824780223,0.5216505829242432,0.7471458571424222,0.530266822263354,5.25,12.888380355424655,0.5933816669236405,0.21192276532541182,1.4920413939650516,0.9343607622640975,0.5118565398129298,0.3431520470878031,FrontOnly_B10,0.13918632262444897,0.009560713028559457,0.009597194447628457,0.715516632530546,JILONG_EI_0079,2.173611111111111,1.6072119885320968,1.132747209438983,1.3743608622562988,0.7731051292451908,3.5312569512899676,1.1856420934305412,2.520560263721698,1.556083465408089
41530.304752483964,92778.21813547611,36418069.187190264,48247420689.86666,49005519897.72861,335.1282274788109,8816.44164800644,86273.84356236458,23755700.351941645,15133754790.99768,19478938633.80371,150.09022222276235,10548,1231423,15977,1236852,0.03263369349087354,0.1,19,15.044355999998515,0.46074869065754426,0.9643097538786012,0.8076542094947515,0.5600622438109275,0.6304637839306205,0.6692227489444204,0.5965767542714785,1.6499996185302734,12.517552565027783,0.6057071780753951,0.2054617117117117,24.834242340484167,1.4265163468598827,0.5568962069089841,0.3455397032130344,FrontOnly_B10,0.10470941905166277,0.008528101987950053,0.00856570000722741,0.6601990361144144,JILONG_EI_0089,1.8263888888888888,1.701602199142812,1.1643563319077181,5.376501079854816,0.7959106020251576,3.6193477156962244,1.0354910801671244,2.6045481815527483,1.6633810335539039
35330.011182207614,81570.61096382141,25931617.838365976,31422612033.22519,34421923012.18359,374.22750192903914,7593.014045596123,76169.22787857056,16835810.087755203,9157929378.743896,11564023643.637695,169.59234098855268,10350,1106767,14577,1110994,0.041883150446814864,0.1,19,15.286057899997104,0.4635912327561346,0.9663243404996632,0.8057535038729838,0.5398554665926448,0.5796114030337226,0.6731862971523739,0.5609904585701054,5.55000114440918,13.329507116700562,0.5859547173251441,0.22036331855921093,1.7330533174727474,0.9420767923736674,0.582834119279722,0.3577554809334586,FrontOnly_B10,0.09008895433207514,0.009315981904492733,0.00935156180117405,0.7100226384029635,JILONG_EI_0099,2.3125,1.639075671278021,1.133069144876445,1.4939200687198853,0.756929822281012,4.243672379003062,0.9901208857710648,3.0079144957258532,1.5946458771952807
