method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,candidate_count,selected_count,actual_active_fraction,predicted_front_chainage_m,front_available,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count,first_pass_count,second_pass_count,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms
FrontOnly_B10,JILONG_EI_0009,10,B10,,0.1,19,0,0,0.0,,False,,0.0,,,,,0,0,317.0200000022305,34.30559999833349,0.0,21.072100003948435
FrontOnly_B10,JILONG_EI_0009,20,B10,,0.1,19,0,0,0.0,,False,,0.0,,,,,0,0,55.58439999003895,1.485000000684522,0.0,2.0967000018572435
FrontOnly_B10,JILONG_EI_0009,30,B10,195;179;196,0.1,19,3,3,0.0512975626191697,13860.0,True,,0.6666666666666666,,,,,1,2,53.78250000649132,12.326299998676404,60.84619999455754,2.5647000002209097
FrontOnly_B10,JILONG_EI_0009,40,B10,195;196;211,0.1,19,3,3,0.0480431270148785,14790.0,True,,0.6666666666666666,,,,,1,2,53.34199999924749,1.8251000001328064,11.34759999695234,2.8196000057505444
FrontOnly_B10,JILONG_EI_0009,50,B10,195;196;211,0.1,19,3,3,0.0480431270148785,14850.0,True,,0.6666666666666666,,,,,1,2,53.953299997374415,1.7682000034255907,12.027799995848907,2.178599999751896
FrontOnly_B10,JILONG_EI_0009,60,B10,195;196;211,0.1,19,3,3,0.0480431270148785,14850.0,True,,0.6666666666666666,,,,,1,2,53.17449998983648,1.767399997333996,11.74330001231283,2.1840000117663294
FrontOnly_B10,JILONG_EI_0009,70,B10,195;211;196,0.1,19,3,3,0.0480431270148785,15060.0,True,,0.6666666666666666,,,,,1,2,53.33650000102352,1.7413000023225322,11.934599999221971,2.1449999912874773
FrontOnly_B10,JILONG_EI_0009,80,B10,195;211,0.1,19,2,2,0.0346348523251985,15240.0,True,,0.75,,,,,1,1,56.40639999182895,1.7622000013943762,18.083900009514764,3.7577000039163977
FrontOnly_B10,JILONG_EI_0009,90,B10,195;211,0.1,19,2,2,0.0346348523251985,15240.0,True,,0.75,,,,,1,1,54.54959999769926,1.7311999981757251,8.946200003265403,2.2363999887602404
FrontOnly_B10,JILONG_EI_0009,100,B10,195;211,0.1,19,2,2,0.0346348523251985,15240.0,True,,0.75,,,,,1,1,54.47800000547432,1.99129999964498,8.792000007815659,2.252899997984059
FrontOnly_B10,JILONG_EI_0009,110,B10,195;211,0.1,19,2,2,0.0346348523251985,15240.0,True,,0.75,,,,,1,1,54.51760000141803,2.819500004989095,9.296100004576148,3.023099998245016
FrontOnly_B10,JILONG_EI_0009,120,B10,195;211,0.1,19,2,2,0.0346348523251985,15240.0,True,,0.75,,,,,1,1,54.625799995847046,1.7006999987643212,8.657200000016019,2.5744000013219197
