chainage_m,corridor_x,corridor_y,robust_offset_m,robust_low_x,robust_low_y,robust_floor_z
11600.0,337500.0,3134968.027,20.0,337519.8213175064,3134965.359534478,2104.028
11650.0,337500.0,3134918.027,20.0,337520.0,3134918.027,2102.712
11700.0,337500.0,3134868.027,20.0,337520.0,3134868.027,2088.265
11750.0,337500.0,3134818.027,-40.0,337461.1891920539,3134827.707970332,2085.515
11800.0,337477.392,3134777.392,-40.0,337445.5880710822,3134801.651227222,2077.675
11850.0,337442.036,3134742.036,-10.0,337434.96493218816,3134749.107067812,2071.423
11900.0,337406.681,3134706.681,-10.0,337397.7689849465,3134711.2170762434,2073.877
11950.0,337400.0,3134659.448,-40.0,337360.0940916493,3134662.1899844464,2073.376
12000.0,337400.0,3134609.448,-40.0,337360.0,3134609.448,2076.636
12050.0,337400.0,3134559.448,-40.0,337360.0,3134559.448,2079.481
12100.0,337400.0,3134509.448,-40.0,337361.96299798536,3134521.8248524973,2087.045
12150.0,337371.326,3134471.326,-10.0,337363.7868628647,3134477.895734489,2088.697
12200.0,337335.97,3134435.97,20.0,337350.1121356237,3134421.8278643764,2091.21
12250.0,337300.615,3134400.615,-10.0,337291.4039970074,3134404.508253636,2087.782
12300.0,337300.0,3134350.869,-70.0,337230.0013305001,3134351.300588051,2076.894
12350.0,337300.0,3134300.869,-70.0,337235.1372884287,3134327.1906383918,2075.565
12400.0,337265.259,3134265.259,-40.0,337236.8010247631,3134293.368493866,2064.744
12450.0,337229.904,3134229.904,-10.0,337222.2688840019,3134236.3619411346,2037.719
12500.0,337205.451,3134194.549,-10.0,337195.5677958012,3134193.0250988337,2028.707
12550.0,337240.807,3134159.193,-40.0,337212.52272875246,3134130.9087287528,2010.909
12600.0,337276.162,3134123.838,-70.0,337221.0795023923,3134080.6417217194,2012.964
12650.0,337300.0,3134083.712,-100.0,337203.3244686449,3134058.1416727197,2019.711
12700.0,337300.0,3134033.712,-70.0,337230.0,3134033.712,2012.73
12750.0,337300.0,3133983.712,-40.0,337260.0,3133983.712,2008.848
12800.0,337300.0,3133933.712,-10.0,337290.07233987923,3133932.511348291,2012.554
12850.0,337311.517,3133888.483,20.0,337328.8051619569,3133898.5388170304,2016.514
12900.0,337346.873,3133853.127,-40.0,337318.58872875257,3133824.842728752,2024.699
12950.0,337382.228,3133817.772,-40.0,337349.1690360779,3133795.253010138,2035.642
13000.0,337400.0,3133775.134,-70.0,337331.25363788,3133761.945455908,2034.657
13050.0,337400.0,3133725.134,-70.0,337330.0,3133725.134,2043.477
13100.0,337400.0,3133675.134,-70.0,337330.0,3133675.134,2055.477
13150.0,337400.0,3133625.134,-40.0,337360.7004413656,3133617.6811689176,2064.063
13200.0,337417.583,3133582.417,20.0,337434.1363670589,3133593.641350271,2085.442
13250.0,337452.939,3133547.061,-10.0,337445.86793218815,3133539.9899321883,2086.764
13300.0,337488.294,3133511.706,-10.0,337479.6608430159,3133506.659357503,2101.203
13350.0,337500.0,3133466.555,-40.0,337460.2993121312,3133461.670802754,2100.659
13400.0,337500.0,3133416.555,-10.0,337490.326912609,3133414.0189833743,2104.601
13450.0,337523.649,3133376.351,-10.0,337515.76742807473,3133370.1962600388,2109.125
13500.0,337559.005,3133340.995,20.0,337573.1471356237,3133355.137135624,2113.039
13550.0,337594.36,3133305.64,20.0,337612.29277734197,3133314.495252498,2103.581
13600.0,337600.0,3133257.976,50.0,337649.91683423327,3133260.85864811,2070.879
13650.0,337600.0,3133207.976,50.0,337647.3550608258,3133224.0227508917,2070.743
13700.0,337629.715,3133170.285,50.0,337667.0498291128,3133203.5432401085,2056.639
13750.0,337665.071,3133134.929,20.0,337679.2131356237,3133149.071135624,2058.343
13800.0,337700.426,3133099.574,-10.0,337693.3549321881,3133092.502932188,2047.718
13850.0,337735.781,3133064.219,-10.0,337728.70993218815,3133057.147932188,2048.736
13900.0,337771.137,3133028.863,-40.0,337741.0327127122,3133002.524209464,2016.979
13950.0,337800.0,3132990.819,-40.0,337761.99032183306,3132978.3584877457,2006.05
14000.0,337800.0,3132940.819,-10.0,337790.0,3132940.819,1993.639
14050.0,337800.0,3132890.819,-10.0,337790.0,3132890.819,1982.129
14100.0,337800.0,3132840.819,-10.0,337790.0,3132840.819,1982.164
14150.0,337800.0,3132790.819,-40.0,337760.0,3132790.819,1987.027
14200.0,337800.0,3132740.819,-40.0,337760.0,3132740.819,1989.748
14250.0,337800.0,3132690.819,-10.0,337790.0,3132690.819,1994.056
14300.0,337800.0,3132640.819,-40.0,337760.0,3132640.819,1989.282
14350.0,337800.0,3132590.819,-40.0,337760.0,3132590.819,1979.679
14400.0,337800.0,3132540.819,-40.0,337760.0,3132540.819,1979.476
14450.0,337800.0,3132490.819,-10.0,337790.0,3132490.819,1977.895
14500.0,337800.0,3132440.819,-10.0,337790.0,3132440.819,1964.616
14550.0,337800.0,3132390.819,-10.0,337790.0,3132390.819,1959.348
14600.0,337800.0,3132340.819,-10.0,337790.0,3132340.819,1963.177
14650.0,337800.0,3132290.819,-10.0,337790.0,3132290.819,1962.868
14700.0,337800.0,3132240.819,-10.0,337790.0221797375,3132240.15334032,1961.909
14750.0,337806.492,3132193.508,-10.0,337797.57002817997,3132188.9915391244,1964.481
14800.0,337841.847,3132158.153,-40.0,337813.56272875256,3132129.8687287522,1954.982
14850.0,337877.203,3132122.797,-70.0,337821.6339583461,3132080.228448114,1956.567
14900.0,337900.0,3132082.24,-70.0,337832.1179397942,3132065.1512346203,1956.0
14950.0,337900.0,3132032.24,-70.0,337830.0,3132032.24,1957.617
15000.0,337900.0,3131982.24,-40.0,337860.0,3131982.24,1939.679
15050.0,337900.0,3131932.24,-10.0,337890.06076233304,3131933.3407064094,1925.627
15100.0,337889.321,3131885.81,50.0,337934.5429340682,3131864.479817649,1917.282
15150.0,337859.256,3131845.859,110.0,337947.1484350951,3131779.7158230804,1913.259
15200.0,337829.191,3131805.908,110.0,337928.79515064816,3131759.2280988256,1934.338
15250.0,337827.313,3131777.7,170.0,337927.93093213055,3131914.725660859,1925.627
15300.0,337876.85,3131770.912,140.0,337901.4462065179,3131908.734446013,1920.814
15350.0,337924.476,3131760.36,50.0,337949.0774344251,3131803.888949266,1915.152
15400.0,337959.191,3131724.375,20.0,337973.584855415,3131738.260853459,1923.78
15450.0,337993.905,3131688.391,-40.0,337959.5531100371,3131667.8983755712,1942.301
15500.0,338008.231,3131642.169,-40.0,337969.2913866208,3131633.0198738193,1944.165
15550.0,338016.357,3131592.833,-40.0,337976.888784997,3131586.3322304706,1937.083
15600.0,338024.483,3131543.498,-70.0,337955.1515297883,3131533.846718309,1936.395
15650.0,338030.122,3131493.95,-40.0,337990.19486947614,3131491.5366520905,1941.036
15700.0,338030.5,3131443.951,-10.0,338020.50028652936,3131443.875299898,1968.929
15750.0,338030.879,3131393.953,-10.0,338020.8792865294,3131393.8772998983,1968.388
15800.0,338031.257,3131343.954,-10.0,338021.26135330886,3131344.249037668,1976.562
15850.0,338027.948,3131294.653,20.0,338047.4434683725,3131290.189065308,1969.838
15900.0,338009.342,3131248.244,50.0,338055.751095941,3131229.6376619954,1964.869
15950.0,337990.735,3131201.834,80.0,338066.0577831115,3131174.880737779,1959.529
16000.0,337975.676,3131154.162,80.0,338051.615458925,3131128.9985626717,1954.369
16050.0,337959.305,3131106.983,110.0,338061.7320654074,3131066.874443905,1952.739
16100.0,337939.264,3131061.175,110.0,338044.2661480819,3131028.3946873383,1943.473
16150.0,337930.0,3131013.113,110.0,338039.51240062655,3131002.7672709776,1952.535
16200.0,337930.0,3130963.113,140.0,338067.9821667365,3130986.796784805,1945.825
16250.0,337946.496,3130917.007,110.0,338047.6296926641,3130960.27334036,1945.825
16300.0,337968.857,3130872.286,50.0,338018.8021772981,3130874.626782916,1931.82
16350.0,337950.731,3130826.645,50.0,337996.81684250897,3130807.2518279995,1938.343
16400.0,337930.424,3130780.954,80.0,338010.0722593849,3130773.460350892,1920.642
16450.0,337941.874,3130732.506,20.0,337961.30770409334,3130737.2315841136,1920.63
16500.0,337954.0,3130683.999,20.0,337973.4028735322,3130688.8496183823,1918.88
16550.0,337966.127,3130635.492,-40.0,337926.2538953482,3130632.3083660025,1929.591
16600.0,337961.746,3130586.985,-40.0,337922.2389502043,3130593.245432608,1940.478
16650.0,337950.779,3130538.637,-40.0,337911.226364636,3130532.67134532,1915.493
16700.0,337975.586,3130495.225,-70.0,337917.3525890443,3130456.380826068,1916.206
16750.0,338005.764,3130456.206,-100.0,337932.9919770902,3130387.6185909393,1909.564
16800.0,338043.393,3130423.281,-130.0,337954.0960616372,3130328.8031888534,1903.736
16850.0,338078.124,3130387.814,-130.0,337977.1314083466,3130305.9574399013,1907.37
16900.0,338105.859,3130346.212,-130.0,337998.61849962984,3130272.730879429,1914.8
16950.0,338134.581,3130305.419,-130.0,338035.11199708644,3130221.7176412335,1890.454
17000.0,338169.937,3130270.063,-130.0,338078.01311844576,3130178.1391184456,1896.235
17050.0,338205.292,3130234.708,-100.0,338147.4793810771,3130153.1132630785,1903.495
17100.0,338250.008,3130213.33,-100.0,338209.20770363027,3130122.0319396914,1899.253
17150.0,338296.162,3130194.099,-100.0,338257.70067455806,3130101.7912189346,1895.787
17200.0,338342.315,3130174.869,-100.0,338303.85367455805,3130082.5612189346,1880.442
17250.0,338388.469,3130155.638,-100.0,338350.0071775165,3130063.330426035,1882.716
17300.0,338434.623,3130136.407,-70.0,338413.06972598494,3130069.8077779384,1875.637
17350.0,338482.973,3130125.054,-70.0,338469.77884271514,3130056.3087149723,1871.903
17400.0,338532.42,3130117.637,-40.0,338526.4864210025,3130078.0795400175,1867.457
17450.0,338581.867,3130110.22,-40.0,338575.9333623227,3130070.6625488196,1862.97
17500.0,338631.313,3130102.803,-40.0,338625.3793623228,3130063.245548819,1864.808
17550.0,338680.76,3130095.386,-40.0,338674.8264210026,3130055.8285400174,1868.753
17600.0,338730.207,3130087.969,-10.0,338728.7236052506,3130078.0796350045,1868.016
17650.0,338779.654,3130080.552,-10.0,338778.1706052506,3130070.6626350046,1872.888
17700.0,338829.101,3130073.135,-40.0,338823.7300755483,3130033.497225459,1878.461
17750.0,338878.724,3130067.128,-70.0,338871.03429197724,3129997.551650638,1867.942
17800.0,338928.475,3130062.152,-70.0,338921.509254517,3129992.499445202,1860.422
17850.0,338978.227,3130057.177,-40.0,338974.2470096548,3130017.3754965505,1867.622
17900.0,339027.979,3130052.202,-70.0,339021.9792543146,3129982.459595025,1862.649
17950.0,339077.835,3130048.608,-70.0,339073.57039220934,3129978.7380270474,1859.628
18000.0,339127.772,3130046.111,-100.0,339122.77898643736,3129946.2357287086,1872.97
18050.0,339177.71,3130043.615,-100.0,339172.7169864374,3129943.7397287088,1874.651
18100.0,339227.647,3130041.118,-100.0,339221.96563126275,3129941.2795201973,1867.135
18150.0,339277.542,3130037.934,-100.0,339270.6186496536,3129938.173951784,1867.712
18200.0,339327.402,3130034.195,-100.0,339319.92300517595,3129934.475069011,1863.48
18250.0,339377.262,3130030.455,-130.0,339367.53930672875,3129900.8190897144,1859.457
18300.0,339427.122,3130026.716,-70.0,339419.128613127,3129957.173884945,1839.351
18350.0,339476.398,3130019.06,-70.0,339463.3315111103,3129950.290334681,1843.112
18400.0,339525.178,3130008.085,-40.0,339516.3975978585,3129969.060590482,1842.817
18450.0,339573.959,3129997.109,-10.0,339571.7638994646,3129987.3528976208,1844.896
18500.0,339622.739,3129986.134,-10.0,339620.4594895756,3129976.39727405,1853.648
18550.0,339671.313,3129974.317,-10.0,339668.8425338989,3129964.6269640224,1854.262
18600.0,339719.625,3129961.433,20.0,339724.7784148372,3129980.757655638,1843.169
18650.0,339767.936,3129948.55,20.0,339773.0892281148,3129967.874705431,1842.539
18700.0,339816.248,3129935.667,50.0,339829.1309458067,3129983.9787967717,1839.997
18750.0,339864.56,3129922.784,20.0,339869.71317832265,3129942.1087187086,1846.446
18800.0,339912.872,3129909.901,50.0,339925.4016230774,3129958.3056335133,1841.234
18850.0,339961.349,3129897.73,50.0,339972.34266627027,3129946.5064215777,1840.286
18900.0,340010.379,3129887.924,50.0,340020.18490290985,3129936.953014554,1838.807
18950.0,340059.408,3129878.118,80.0,340075.52343651024,3129956.478019819,1829.746
19000.0,340108.313,3129867.783,80.0,340126.89648897917,3129945.594656822,1829.595
19050.0,340156.625,3129854.9,50.0,340169.5079458067,3129903.2117967717,1828.281
19100.0,340204.937,3129842.017,50.0,340218.4742788459,3129890.149547008,1828.916
19150.0,340252.625,3129827.9,50.0,340275.7936557499,3129872.2081639287,1823.793
19200.0,340291.669,3129796.665,50.0,340322.9038743282,3129835.7083429117,1820.486
19250.0,340330.712,3129765.43,50.0,340361.31051965704,3129804.9740336183,1819.132
19300.0,340370.726,3129735.492,50.0,340400.0426983369,3129775.9954714393,1814.261
19350.0,340411.688,3129706.819,50.0,340439.96886439127,3129748.0523931333,1816.407
19400.0,340453.078,3129679.009,50.0,340474.887680605,3129724.0016419753,1819.586
19450.0,340500.672,3129663.685,20.0,340506.80158306775,3129682.722547411,1816.821
19500.0,340548.266,3129648.361,-10.0,340545.20137798885,3129638.8421717146,1819.306
19524.751,340571.826,3129640.776,20.0,340577.95507618604,3129659.8137106057,1814.675
