i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
165,1,342478.000000,3127548.000000,2500.96753,19524.751000,2840.761845,1814.675000,686.292530,0
166,1,342542.000000,3127548.000000,2533.84009,19524.751000,2883.960751,1814.675000,719.165090,0
167,1,342606.000000,3127548.000000,2568.95337,19524.751000,2927.921338,1814.675000,754.278370,0
168,1,342670.000000,3127548.000000,2614.19775,19524.751000,2972.609815,1814.675000,799.522750,0
1,2,331982.000000,3127612.000000,3966.13013,16800.000000,6561.017523,1903.736000,2062.394130,0
2,2,332046.000000,3127612.000000,4001.18579,16800.000000,6502.816208,1903.736000,2097.449790,0
3,2,332110.000000,3127612.000000,4029.31689,16800.000000,6444.724846,1903.736000,2125.580890,0
4,2,332174.000000,3127612.000000,4051.74854,16800.000000,6386.746437,1903.736000,2148.012540,0
5,2,332238.000000,3127612.000000,4076.10303,16800.000000,6328.884084,1903.736000,2172.367030,0
6,2,332302.000000,3127612.000000,4087.8938,16800.000000,6271.141001,1903.736000,2184.157800,0
7,2,332366.000000,3127612.000000,4083.89844,16800.000000,6213.520513,1903.736000,2180.162440,0
8,2,332430.000000,3127612.000000,4076.70996,16800.000000,6156.026061,1903.736000,2172.973960,0
9,2,332494.000000,3127612.000000,4068.07422,16800.000000,6098.661211,1903.736000,2164.338220,0
10,2,332558.000000,3127612.000000,4061.66919,16800.000000,6041.429655,1903.736000,2157.933190,0
11,2,332622.000000,3127612.000000,4056.6543,16800.000000,5984.335216,1903.736000,2152.918300,0
12,2,332686.000000,3127612.000000,4043.44287,16800.000000,5927.381857,1903.736000,2139.706870,0
13,2,332750.000000,3127612.000000,4026.41284,16800.000000,5870.573685,1903.736000,2122.676840,0
14,2,332814.000000,3127612.000000,3995.49463,16800.000000,5813.914954,1903.736000,2091.758630,0
15,2,332878.000000,3127612.000000,3957.34424,16800.000000,5757.410077,1903.736000,2053.608240,0
16,2,332942.000000,3127612.000000,3913.36499,16800.000000,5701.063629,1903.736000,2009.628990,0
17,2,333006.000000,3127612.000000,3872.90625,16800.000000,5644.880353,1903.736000,1969.170250,0
18,2,333070.000000,3127612.000000,3834.61157,16800.000000,5588.865172,1903.736000,1930.875570,0
19,2,333134.000000,3127612.000000,3807.77954,16800.000000,5533.023189,1903.736000,1904.043540,0
20,2,333198.000000,3127612.000000,3796.27026,16800.000000,5477.359703,1903.736000,1892.534260,0
21,2,333262.000000,3127612.000000,3793.38428,16800.000000,5421.880211,1903.736000,1889.648280,0
22,2,333326.000000,3127612.000000,3795.08667,16800.000000,5366.590419,1903.736000,1891.350670,0
23,2,333390.000000,3127612.000000,3804.78394,16800.000000,5311.496251,1903.736000,1901.047940,0
24,2,333454.000000,3127612.000000,3817.62915,16800.000000,5256.603859,1903.736000,1913.893150,0
25,2,333518.000000,3127612.000000,3826.97852,16800.000000,5201.919630,1903.736000,1923.242520,0
26,2,333582.000000,3127612.000000,3845.53052,16800.000000,5147.450198,1903.736000,1941.794520,0
27,2,333646.000000,3127612.000000,3855.92798,16800.000000,5093.202455,1903.736000,1952.191980,0
28,2,333710.000000,3127612.000000,3810.71826,16800.000000,5039.183560,1903.736000,1906.982260,0
29,2,333774.000000,3127612.000000,3760.13647,16800.000000,4985.400952,1903.736000,1856.400470,0
30,2,333838.000000,3127612.000000,3690.17114,16800.000000,4931.862362,1903.736000,1786.435140,0
31,2,333902.000000,3127612.000000,3602.7627,16800.000000,4878.575823,1903.736000,1699.026700,0
32,2,333966.000000,3127612.000000,3566.14648,16800.000000,4825.549685,1903.736000,1662.410480,0
33,2,334030.000000,3127612.000000,3550.05786,16800.000000,4772.792628,1903.736000,1646.321860,0
34,2,334094.000000,3127612.000000,3516.66797,16800.000000,4720.313673,1903.736000,1612.931970,0
35,2,334158.000000,3127612.000000,3457.14648,16800.000000,4668.122200,1903.736000,1553.410480,0
