path_order,x,y,terrain_z,downstream_progress_m,running_min_z,adverse_rise_m
0,335745.0,3141045.0,2676.365234375,0.7557353248379185,2676.365234375,0.0
1,335715.0,3141015.0,2676.494140625,15.010898922422763,2676.365234375,0.12890625
2,335715.0,3140985.0,2674.475830078125,42.11841009300034,2674.475830078125,0.0
3,335715.0,3140955.0,2676.90087890625,69.22592126357792,2674.475830078125,2.425048828125
4,335715.0,3140925.0,2685.619384765625,96.33343243415548,2674.475830078125,11.1435546875
5,335715.0,3140895.0,2696.179443359375,123.44094360473306,2674.475830078125,21.70361328125
6,335715.0,3140865.0,2708.6064453125,150.54845477531063,2674.475830078125,34.130615234375
7,335715.0,3140835.0,2721.2587890625,177.65596594588823,2674.475830078125,46.782958984375
8,335685.0,3140805.0,2727.508056640625,191.91112954347307,2674.475830078125,53.0322265625
9,335685.0,3140775.0,2726.978271484375,219.01864071405063,2674.475830078125,52.50244140625
10,335655.0,3140745.0,2728.367431640625,233.27380431163547,2674.475830078125,53.8916015625
11,335655.0,3140715.0,2732.537841796875,260.38131548221304,2674.475830078125,58.06201171875
12,335625.0,3140685.0,2737.039306640625,274.6364790797979,2674.475830078125,62.5634765625
13,335625.0,3140655.0,2741.1787109375,301.7439902503755,2674.475830078125,66.702880859375
14,335625.0,3140625.0,2746.965576171875,328.85150142095307,2674.475830078125,72.48974609375
15,335625.0,3140595.0,2751.626953125,355.9590125915306,2674.475830078125,77.151123046875
16,335625.0,3140565.0,2754.738525390625,383.0665237621082,2674.475830078125,80.2626953125
17,335625.0,3140535.0,2756.083740234375,410.1740349326858,2674.475830078125,81.60791015625
18,335655.0,3140505.0,2755.232666015625,450.1338936762561,2674.475830078125,80.7568359375
19,335685.0,3140505.0,2749.64794921875,462.9862412492488,2674.475830078125,75.172119140625
20,335715.0,3140505.0,2749.127685546875,475.83858882224155,2674.475830078125,74.65185546875
21,335745.0,3140475.0,2749.549072265625,515.7984475658119,2674.475830078125,75.0732421875
22,335775.0,3140445.0,2760.0625,555.7583063093822,2674.475830078125,85.586669921875
23,335805.0,3140415.0,2770.642333984375,595.7181650529525,2674.475830078125,96.16650390625
24,335835.0,3140385.0,2773.445556640625,635.6780237965228,2674.475830078125,98.9697265625
25,335865.0,3140355.0,2771.97705078125,675.6378825400931,2674.475830078125,97.501220703125
26,335895.0,3140325.0,2770.309814453125,715.5977412836634,2674.475830078125,95.833984375
27,335925.0,3140295.0,2767.17041015625,755.5576000272337,2674.475830078125,92.694580078125
28,335955.0,3140265.0,2766.72802734375,795.517458770804,2674.475830078125,92.252197265625
29,335985.0,3140235.0,2761.650146484375,835.4773175143742,2674.475830078125,87.17431640625
30,336015.0,3140205.0,2755.681640625,875.4371762579445,2674.475830078125,81.205810546875
31,336045.0,3140175.0,2759.050537109375,915.3970350015148,2674.475830078125,84.57470703125
32,336075.0,3140145.0,2763.27734375,955.3568937450851,2674.475830078125,88.801513671875
33,336105.0,3140115.0,2762.16357421875,995.3167524886555,2674.475830078125,87.687744140625
34,336135.0,3140085.0,2767.835693359375,1035.2766112322258,2674.475830078125,93.35986328125
35,336165.0,3140055.0,2771.54638671875,1075.2364699757961,2674.475830078125,97.070556640625
36,336195.0,3140025.0,2765.380126953125,1115.1963287193664,2674.475830078125,90.904296875
37,336225.0,3139995.0,2759.353515625,1155.1561874629367,2674.475830078125,84.877685546875
38,336255.0,3139965.0,2752.78662109375,1195.116046206507,2674.475830078125,78.310791015625
39,336285.0,3139935.0,2746.80322265625,1235.0759049500773,2674.475830078125,72.327392578125
40,336315.0,3139905.0,2742.536376953125,1275.0357636936476,2674.475830078125,68.060546875
41,336345.0,3139875.0,2737.119873046875,1314.995622437218,2674.475830078125,62.64404296875
42,336375.0,3139845.0,2734.67626953125,1354.9554811807882,2674.475830078125,60.200439453125
43,336405.0,3139815.0,2733.171875,1394.9153399243585,2674.475830078125,58.696044921875
44,336435.0,3139785.0,2725.881591796875,1434.8751986679288,2674.475830078125,51.40576171875
45,336465.0,3139755.0,2715.005859375,1474.835057411499,2674.475830078125,40.530029296875
46,336495.0,3139725.0,2701.954833984375,1514.7949161550694,2674.475830078125,27.47900390625
47,336525.0,3139695.0,2694.235107421875,1554.7547748986397,2674.475830078125,19.75927734375
48,336555.0,3139665.0,2677.816162109375,1594.7146336422102,2674.475830078125,3.34033203125
49,336585.0,3139635.0,2652.4462890625,1634.6744923857802,2652.4462890625,0.0
50,336615.0,3139605.0,2633.323974609375,1674.6343511293508,2633.323974609375,0.0
51,336645.0,3139575.0,2617.601806640625,1714.594209872921,2617.601806640625,0.0
52,336675.0,3139545.0,2604.163818359375,1754.5540686164913,2604.163818359375,0.0
53,336705.0,3139515.0,2586.324951171875,1794.5139273600616,2586.324951171875,0.0
54,336735.0,3139485.0,2560.497802734375,1834.473786103632,2560.497802734375,0.0
