name,lat,lon,utm_x,utm_y
G0_E4,28.38552,85.323686,335757.95326816756,3141052.0228646398
G1_PREVIOUS_SADDLE,28.379753,85.32443,335821.974473558,3140411.982043852
G2_REFERENCE_2P5,28.390396,85.323756,335772.33022532804,3141592.2251534704
G3_REFERENCE_4P1,28.379516,85.334401,336798.75627953524,3140372.1748117777
